dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",192,3,23.9751,0.004363,1.72251,0.75264,26.5574,26.4546
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",192,4,24.0348,0.00435,1.603,0.751616,26.4892,26.3938
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",192,5,23.807,0.004412,1.638,0.753664,26.3051,26.2031
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",192,6,24.2792,0.004214,1.60217,0.75264,26.7359,26.6382
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",192,7,23.7666,0.004024,1.60402,0.75776,26.2318,26.1324
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",192,8,24.186,0.00429,1.59872,0.755712,26.6417,26.5447
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",192,9,23.7623,0.004521,1.60313,0.755712,26.2234,26.1257
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",192,10,23.875,0.004422,1.60298,0.751616,26.3332,26.234
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",192,11,24.0767,0.005177,1.60335,0.755712,26.5404,26.441
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",192,12,24.1186,0.004296,1.60121,0.758784,26.5848,26.4829
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",192,13,24.0205,0.004421,1.60174,0.750592,26.4754,26.3773
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",192,14,23.9301,0.004228,1.60398,0.753664,26.3913,26.292
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",192,15,24.1302,0.004545,1.60337,0.753664,26.5912,26.4918
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",192,16,24.1135,0.004427,1.60663,0.755712,26.5797,26.4803
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",192,17,23.6092,0.004591,1.60885,0.748544,26.0702,25.9711
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",192,18,24.098,0.004313,1.60458,0.750592,26.5568,26.4575
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",192,19,24.146,0.004363,1.6077,0.75264,26.6132,26.5107
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",256,0,55.691,0.003145,3.86207,1.76845,61.4217,61.3247
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",256,1,55.656,0.003033,3.7985,1.75923,61.3034,61.2167
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",256,2,55.7678,0.003199,3.80633,1.75821,61.4262,61.3355
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",256,3,56.0155,0.003262,3.80489,1.75923,61.6735,61.5829
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",256,4,55.5018,0.003384,3.81547,1.75923,61.1693,61.0799
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",256,5,55.4435,0.00323,3.7985,1.76026,61.0953,61.0054
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",256,6,55.386,0.003405,3.80024,1.75821,61.0345,60.9479
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",256,7,55.8972,0.003016,3.78675,1.75821,61.5306,61.4452
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",256,8,56.525,0.003386,3.79691,1.75616,62.1689,62.0815
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",256,9,56.3373,0.003756,3.79887,1.75923,61.9875,61.8992
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",256,10,56.4467,0.003016,3.7972,1.75616,62.0961,62.0031
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",256,11,55.2883,0.003231,3.79157,1.75923,60.9311,60.8424
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",256,12,55.6958,0.003126,3.79365,1.75514,61.3377,61.2477
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",256,13,55.614,0.003366,3.79759,1.75616,61.2573,61.1712
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",256,14,55.7613,0.003745,3.79635,1.75923,61.4112,61.3207
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",256,15,55.835,0.003181,3.78731,1.76128,61.4725,61.3867
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",256,16,56.2882,0.003072,3.79897,1.75514,61.9357,61.8454
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",256,17,56.366,0.003177,3.79687,1.75821,62.0165,61.9242
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",256,18,57.0661,0.00305,3.79209,1.75616,62.707,62.6174
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",256,19,56.3306,0.002925,3.79274,1.75923,61.9724,61.8855
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",320,0,107.984,0.003285,8.95347,3.43654,120.474,120.377
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",320,1,107.781,0.003135,8.9446,3.44064,120.26,120.169
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",320,2,107.309,0.00346,8.94306,3.43859,119.786,119.694
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",320,3,108.146,0.003293,8.93768,3.43654,120.616,120.524
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",320,4,106.147,0.003102,8.93784,3.43654,118.617,118.524
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",320,5,107.818,0.003089,8.93553,3.44166,120.29,120.198
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",320,6,107.968,0.003204,8.94293,3.43757,120.442,120.352
