dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"D | D",64,0,0.061728,0,0.074747,0.37376,0.603058,0.510235
1,double,uniform,CPU,"D | D",64,1,0.02912,0,0.029897,0.01536,0.13029,0.074377
1,double,uniform,CPU,"D | D",64,2,0.027136,0,0.025059,0.014336,0.118963,0.066531
1,double,uniform,CPU,"D | D",64,3,0.026144,0,0.025164,0.014336,0.116107,0.065644
1,double,uniform,CPU,"D | D",64,4,0.025856,0,0.025032,0.013312,0.114944,0.0642
1,double,uniform,CPU,"D | D",64,5,0.02576,0,0.025403,0.013312,0.114712,0.064475
1,double,uniform,CPU,"D | D",64,6,0.02624,0,0.025473,0.012288,0.11532,0.064001
1,double,uniform,CPU,"D | D",64,7,0.02512,0,0.025625,0.013312,0.115218,0.064057
1,double,uniform,CPU,"D | D",64,8,0.025248,0,0.025652,0.012288,0.114625,0.063188
1,double,uniform,CPU,"D | D",64,9,0.026176,0,0.025085,0.013312,0.114481,0.064573
1,double,uniform,CPU,"D | D",64,10,0.025792,0,0.024733,0.012288,0.113427,0.062813
1,double,uniform,CPU,"D | D",64,11,0.024832,0,0.02471,0.013312,0.11502,0.062854
1,double,uniform,CPU,"D | D",64,12,0.026272,0,0.024987,0.013312,0.11549,0.064571
1,double,uniform,CPU,"D | D",64,13,0.026272,0,0.02477,0.012288,0.115198,0.06333
1,double,uniform,CPU,"D | D",64,14,0.026144,0,0.024539,0.013312,0.114114,0.063995
1,double,uniform,CPU,"D | D",64,15,0.025984,0,0.024539,0.013312,0.119087,0.063835
1,double,uniform,CPU,"D | D",64,16,0.025312,0,0.024803,0.014336,0.113264,0.064451
1,double,uniform,CPU,"D | D",64,17,0.026656,0,0.02493,0.012288,0.114743,0.063874
1,double,uniform,CPU,"D | D",64,18,0.026176,0,0.025158,0.012288,0.113614,0.063622
1,double,uniform,CPU,"D | D",64,19,0.025888,0,0.025266,0.013312,0.114661,0.064466
1,double,uniform,CPU,"D | D",128,0,0.034848,0,0.03847,0.02048,0.157075,0.093798
1,double,uniform,CPU,"D | D",128,1,0.027936,0,0.029845,0.013312,0.124868,0.071093
1,double,uniform,CPU,"D | D",128,2,0.028,0,0.028228,0.013312,0.121159,0.06954
1,double,uniform,CPU,"D | D",128,3,0.032544,0,0.027432,0.013312,0.125228,0.073288
1,double,uniform,CPU,"D | D",128,4,0.026464,0,0.027815,0.012288,0.118496,0.066567
1,double,uniform,CPU,"D | D",128,5,0.026912,0,0.027621,0.012288,0.117446,0.066821
1,double,uniform,CPU,"D | D",128,6,0.026752,0,0.02714,0.013312,0.117531,0.067204
1,double,uniform,CPU,"D | D",128,7,0.027328,0,0.027681,0.012288,0.119443,0.067297
1,double,uniform,CPU,"D | D",128,8,0.02688,0,0.027861,0.012288,0.120465,0.067029
1,double,uniform,CPU,"D | D",128,9,0.027168,0,0.027025,0.013312,0.118323,0.067505
1,double,uniform,CPU,"D | D",128,10,0.025408,0,0.027261,0.014336,0.117266,0.067005
1,double,uniform,CPU,"D | D",128,11,0.025024,0,0.027843,0.011264,0.116855,0.064131
1,double,uniform,CPU,"D | D",128,12,0.08016,0,0.027256,0.013312,0.173388,0.120728
1,double,uniform,CPU,"D | D",128,13,0.027232,0,0.027618,0.013312,0.11997,0.068162
1,double,uniform,CPU,"D | D",128,14,0.026304,0,0.027984,0.012288,0.118097,0.066576
1,double,uniform,CPU,"D | D",128,15,0.029664,0,0.03025,0.012288,0.123406,0.072202
1,double,uniform,CPU,"D | D",128,16,0.026336,0,0.027748,0.011264,0.117181,0.065348
1,double,uniform,CPU,"D | D",128,17,0.025984,0,0.02746,0.012288,0.115551,0.065732
1,double,uniform,CPU,"D | D",128,18,0.02704,0,0.148457,0.013312,0.239713,0.188809
1,double,uniform,CPU,"D | D",128,19,0.026784,0,0.026875,0.014336,0.117571,0.067995
1,double,uniform,CPU,"D | D",192,0,0.038304,0,0.048013,0.022528,0.168428,0.108845
1,double,uniform,CPU,"D | D",192,1,0.030528,0,0.035139,0.016384,0.133546,0.082051
1,double,uniform,CPU,"D | D",192,2,0.028928,0,0.033958,0.014336,0.129992,0.077222
1,double,uniform,CPU,"D | D",192,3,0.027776,0,0.033173,0.014336,0.127498,0.075285
1,double,uniform,CPU,"D | D",192,4,0.027776,0,0.095248,0.013312,0.187208,0.136336
1,double,uniform,CPU,"D | D",192,5,0.026688,0,0.033375,0.014336,0.125006,0.074399
1,double,uniform,CPU,"D | D",192,6,0.026208,0,0.03438,0.013312,0.124163,0.0739
