dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,CPU,"D | D | D | D",64,0,0.087168,0,0.092239,0.364544,0.637268,0.543951
2,double,uniform,CPU,"D | D | D | D",64,1,0.05328,0,0.048896,0.014336,0.173194,0.116512
2,double,uniform,CPU,"D | D | D | D",64,2,0.055616,0,0.045249,0.013312,0.16761,0.114177
2,double,uniform,CPU,"D | D | D | D",64,3,0.047424,0,0.044483,0.014336,0.157699,0.106243
2,double,uniform,CPU,"D | D | D | D",64,4,0.046272,0,0.044197,0.011264,0.155542,0.101733
2,double,uniform,CPU,"D | D | D | D",64,5,0.04752,0,0.04374,0.013344,0.156318,0.104604
2,double,uniform,CPU,"D | D | D | D",64,6,0.047616,0,0.045253,0.013312,0.162027,0.106181
2,double,uniform,CPU,"D | D | D | D",64,7,0.047648,0,0.045659,0.012288,0.160201,0.105595
2,double,uniform,CPU,"D | D | D | D",64,8,0.046048,0,0.043713,0.013312,0.155641,0.103073
2,double,uniform,CPU,"D | D | D | D",64,9,0.046528,0,0.044467,0.012288,0.156161,0.103283
2,double,uniform,CPU,"D | D | D | D",64,10,0.053376,0,0.044263,0.011264,0.162967,0.108903
2,double,uniform,CPU,"D | D | D | D",64,11,0.047072,0,0.043658,0.013312,0.155814,0.104042
2,double,uniform,CPU,"D | D | D | D",64,12,0.045952,0,0.044041,0.012288,0.156414,0.102281
2,double,uniform,CPU,"D | D | D | D",64,13,0.04672,0,0.044086,0.012288,0.154841,0.103094
2,double,uniform,CPU,"D | D | D | D",64,14,0.048576,0,0.043927,0.012288,0.157442,0.104791
2,double,uniform,CPU,"D | D | D | D",64,15,0.046944,0,0.043497,0.012288,0.155584,0.102729
2,double,uniform,CPU,"D | D | D | D",64,16,0.05264,0,0.044081,0.013312,0.161998,0.110033
2,double,uniform,CPU,"D | D | D | D",64,17,0.047488,0,0.043723,0.014336,0.156691,0.105547
2,double,uniform,CPU,"D | D | D | D",64,18,0.046624,0,0.043924,0.012288,0.156705,0.102836
2,double,uniform,CPU,"D | D | D | D",64,19,0.04736,0,0.043785,0.012288,0.155371,0.103433
2,double,uniform,CPU,"D | D | D | D",128,0,0.111584,0,0.064502,0.017408,0.254925,0.193494
2,double,uniform,CPU,"D | D | D | D",128,1,0.10592,0,0.054939,0.014336,0.231596,0.175195
2,double,uniform,CPU,"D | D | D | D",128,2,0.101056,0,0.053543,0.013312,0.219804,0.167911
2,double,uniform,CPU,"D | D | D | D",128,3,0.101152,0,0.052328,0.013312,0.219311,0.166792
2,double,uniform,CPU,"D | D | D | D",128,4,0.100256,0,0.05264,0.013312,0.218724,0.166208
2,double,uniform,CPU,"D | D | D | D",128,5,0.106624,0,0.052919,0.013312,0.224149,0.172855
2,double,uniform,CPU,"D | D | D | D",128,6,0.100704,0,0.052438,0.01536,0.220478,0.168502
2,double,uniform,CPU,"D | D | D | D",128,7,0.101088,0,0.052534,0.012288,0.218213,0.16591
2,double,uniform,CPU,"D | D | D | D",128,8,0.099648,0,0.05193,0.012288,0.215591,0.163866
2,double,uniform,CPU,"D | D | D | D",128,9,0.100448,0,0.051603,0.013312,0.215673,0.165363
2,double,uniform,CPU,"D | D | D | D",128,10,0.101504,0,0.137638,0.014336,0.305405,0.253478
2,double,uniform,CPU,"D | D | D | D",128,11,0.102048,0,0.051599,0.012288,0.217019,0.165935
2,double,uniform,CPU,"D | D | D | D",128,12,0.10048,0,0.052056,0.012288,0.217475,0.164824
