dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"N | N",64,0,0.072704,0,0.04434,0.367616,0.574302,0.48466
1,float,uniform,GPU,"N | N",64,1,0.021504,0,0.021961,0.01536,0.107692,0.058825
1,float,uniform,GPU,"N | N",64,2,0.02048,0,0.019807,0.011264,0.099458,0.051551
1,float,uniform,GPU,"N | N",64,3,0.02048,0,0.019023,0.011264,0.098419,0.050767
1,float,uniform,GPU,"N | N",64,4,0.023552,0,0.01964,0.011264,0.102686,0.054456
1,float,uniform,GPU,"N | N",64,5,0.018432,0,0.019902,0.011264,0.096545,0.049598
1,float,uniform,GPU,"N | N",64,6,0.019456,0,0.019516,0.012288,0.097914,0.05126
1,float,uniform,GPU,"N | N",64,7,0.018432,0,0.019268,0.012288,0.097569,0.049988
1,float,uniform,GPU,"N | N",64,8,0.02048,0,0.019424,0.012288,0.097514,0.052192
1,float,uniform,GPU,"N | N",64,9,0.019456,0,0.019545,0.012288,0.096784,0.051289
1,float,uniform,GPU,"N | N",64,10,0.019456,0,0.020333,0.011264,0.10437,0.051053
1,float,uniform,GPU,"N | N",64,11,0.019456,0,0.019253,0.011264,0.096855,0.049973
1,float,uniform,GPU,"N | N",64,12,0.017408,0,0.019003,0.012288,0.096522,0.048699
1,float,uniform,GPU,"N | N",64,13,0.019456,0,0.019124,0.013312,0.096903,0.051892
1,float,uniform,GPU,"N | N",64,14,0.019456,0,0.019065,0.012288,0.096467,0.050809
1,float,uniform,GPU,"N | N",64,15,0.019456,0,0.019623,0.012288,0.096937,0.051367
1,float,uniform,GPU,"N | N",64,16,0.018432,0,0.019708,0.011264,0.096632,0.049404
1,float,uniform,GPU,"N | N",64,17,0.019456,0,0.01983,0.013312,0.098323,0.052598
1,float,uniform,GPU,"N | N",64,18,0.018432,0,0.019382,0.012288,0.097109,0.050102
1,float,uniform,GPU,"N | N",64,19,0.019456,0,0.019082,0.011264,0.096232,0.049802
1,float,uniform,GPU,"N | N",128,0,0.032768,0,0.041988,0.018432,0.145351,0.093188
1,float,uniform,GPU,"N | N",128,1,0.022528,0,0.028715,0.014336,0.113141,0.065579
1,float,uniform,GPU,"N | N",128,2,0.02048,0,0.027962,0.013312,0.109712,0.061754
1,float,uniform,GPU,"N | N",128,3,0.019456,0,0.027262,0.013312,0.106204,0.06003
1,float,uniform,GPU,"N | N",128,4,0.023552,0,0.027328,0.012288,0.109913,0.063168
1,float,uniform,GPU,"N | N",128,5,0.019456,0,0.027175,0.012288,0.104903,0.058919
1,float,uniform,GPU,"N | N",128,6,0.021504,0,0.027684,0.012288,0.106322,0.061476
1,float,uniform,GPU,"N | N",128,7,0.019456,0,0.028235,0.011264,0.105417,0.058955
1,float,uniform,GPU,"N | N",128,8,0.02048,0,0.027393,0.011264,0.105808,0.059137
1,float,uniform,GPU,"N | N",128,9,0.02048,0,0.02773,0.016384,0.110211,0.064594
1,float,uniform,GPU,"N | N",128,10,0.019456,0,0.028106,0.011264,0.10529,0.058826
1,float,uniform,GPU,"N | N",128,11,0.018432,0,0.027642,0.011264,0.10419,0.057338
1,float,uniform,GPU,"N | N",128,12,0.019456,0,0.027956,0.012288,0.106529,0.0597
1,float,uniform,GPU,"N | N",128,13,0.02048,0,0.0278,0.011264,0.106042,0.059544
1,float,uniform,GPU,"N | N",128,14,0.019456,0,0.02785,0.012288,0.109944,0.059594
1,float,uniform,GPU,"N | N",128,15,0.019456,0,0.027308,0.012288,0.104537,0.059052
