dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"Ds | Ns",64,0,0.06208,0,0.078922,0.371712,0.606256,0.512714
1,double,uniform,CPU,"Ds | Ns",64,1,0.030144,0,0.035235,0.016384,0.1365,0.081763
1,double,uniform,CPU,"Ds | Ns",64,2,0.028064,0,0.028758,0.01536,0.126545,0.072182
1,double,uniform,CPU,"Ds | Ns",64,3,0.025376,0,0.02801,0.012288,0.117673,0.065674
1,double,uniform,CPU,"Ds | Ns",64,4,0.02656,0,0.028309,0.013312,0.118572,0.068181
1,double,uniform,CPU,"Ds | Ns",64,5,0.026112,0,0.027868,0.013312,0.11854,0.067292
1,double,uniform,CPU,"Ds | Ns",64,6,0.026656,0,0.027687,0.013312,0.117869,0.067655
1,double,uniform,CPU,"Ds | Ns",64,7,0.02624,0,0.027752,0.012288,0.118211,0.06628
1,double,uniform,CPU,"Ds | Ns",64,8,0.02624,0,0.027669,0.012288,0.117748,0.066197
1,double,uniform,CPU,"Ds | Ns",64,9,0.027104,0,0.027945,0.013312,0.119931,0.068361
1,double,uniform,CPU,"Ds | Ns",64,10,0.025152,0,0.027623,0.012288,0.117174,0.065063
1,double,uniform,CPU,"Ds | Ns",64,11,0.024896,0,0.027545,0.014336,0.116939,0.066777
1,double,uniform,CPU,"Ds | Ns",64,12,0.026656,0,0.027567,0.013312,0.118652,0.067535
1,double,uniform,CPU,"Ds | Ns",64,13,0.026624,0,0.028797,0.014336,0.122336,0.069757
1,double,uniform,CPU,"Ds | Ns",64,14,0.025376,0,0.027497,0.012288,0.117575,0.065161
1,double,uniform,CPU,"Ds | Ns",64,15,0.0256,0,0.027808,0.012288,0.116731,0.065696
1,double,uniform,CPU,"Ds | Ns",64,16,0.02608,0,0.028074,0.012288,0.117173,0.066442
1,double,uniform,CPU,"Ds | Ns",64,17,0.025568,0,0.028366,0.013312,0.117108,0.067246
1,double,uniform,CPU,"Ds | Ns",64,18,0.026176,0,0.028032,0.011264,0.117198,0.065472
1,double,uniform,CPU,"Ds | Ns",64,19,0.02592,0,0.028739,0.012288,0.204086,0.066947
1,double,uniform,CPU,"Ds | Ns",128,0,0.034144,0,0.04735,0.019456,0.163285,0.10095
1,double,uniform,CPU,"Ds | Ns",128,1,0.029472,0,0.030098,0.016384,0.127961,0.075954
1,double,uniform,CPU,"Ds | Ns",128,2,0.026528,0,0.029284,0.014336,0.122506,0.070148
1,double,uniform,CPU,"Ds | Ns",128,3,0.02608,0,0.028462,0.01536,0.120501,0.069902
1,double,uniform,CPU,"Ds | Ns",128,4,0.025952,0,0.028646,0.013312,0.11937,0.06791
1,double,uniform,CPU,"Ds | Ns",128,5,0.02704,0,0.027922,0.013312,0.117279,0.068274
1,double,uniform,CPU,"Ds | Ns",128,6,0.025696,0,0.028252,0.012288,0.118482,0.066236
1,double,uniform,CPU,"Ds | Ns",128,7,0.025472,0,0.027882,0.013312,0.11829,0.066666
1,double,uniform,CPU,"Ds | Ns",128,8,0.02656,0,0.02785,0.012288,0.118292,0.066698
1,double,uniform,CPU,"Ds | Ns",128,9,0.025632,0,0.027693,0.013312,0.117948,0.066637
1,double,uniform,CPU,"Ds | Ns",128,10,0.026592,0,0.02754,0.013312,0.120156,0.067444
1,double,uniform,CPU,"Ds | Ns",128,11,0.025248,0,0.028415,0.012288,0.11773,0.065951
1,double,uniform,CPU,"Ds | Ns",128,12,0.026496,0,0.027717,0.012288,0.116941,0.066501
1,double,uniform,CPU,"Ds | Ns",128,13,0.026784,0,0.027142,0.013312,0.118762,0.067238
1,double,uniform,CPU,"Ds | Ns",128,14,0.026368,0,0.027806,0.012288,0.117967,0.066462
1,double,uniform,CPU,"Ds | Ns",128,15,0.025792,0,0.028099,0.012288,0.117818,0.066179
1,double,uniform,CPU,"Ds | Ns",128,16,0.02512,0,0.027714,0.013312,0.120045,0.066146
1,double,uniform,CPU,"Ds | Ns",128,17,0.02656,0,0.027895,0.012288,0.118964,0.066743
1,double,uniform,CPU,"Ds | Ns",128,18,0.027968,0,0.027628,0.012288,0.118955,0.067884
1,double,uniform,CPU,"Ds | Ns",128,19,0.02656,0,0.027647,0.013312,0.118492,0.067519
1,double,uniform,CPU,"Ds | Ns",192,0,0.036384,0,0.046846,0.021504,0.168125,0.104734
1,double,uniform,CPU,"Ds | Ns",192,1,0.029632,0,0.034,0.016384,0.133728,0.080016
1,double,uniform,CPU,"Ds | Ns",192,2,0.027264,0,0.030936,0.013312,0.125948,0.071512
1,double,uniform,CPU,"Ds | Ns",192,3,0.026368,0,0.030666,0.013312,0.120742,0.070346
1,double,uniform,CPU,"Ds | Ns",192,4,0.026656,0,0.030191,0.013312,0.121587,0.070159
1,double,uniform,CPU,"Ds | Ns",192,5,0.027872,0,0.030406,0.013312,0.122126,0.07159
1,double,uniform,CPU,"Ds | Ns",192,6,0.026912,0,0.030567,0.012288,0.121109,0.069767
1,double,uniform,CPU,"Ds | Ns",192,7,0.026688,0,0.029843,0.013312,0.120459,0.069843
1,double,uniform,CPU,"Ds | Ns",192,8,0.025728,0,0.030511,0.012288,0.124094,0.068527
1,double,uniform,CPU,"Ds | Ns",192,9,0.026656,0,0.036177,0.012288,0.126445,0.075121
1,double,uniform,CPU,"Ds | Ns",192,10,0.026496,0,0.030155,0.012288,0.119203,0.068939
1,double,uniform,CPU,"Ds | Ns",192,11,0.025792,0,0.029764,0.011264,0.119473,0.06682
1,double,uniform,CPU,"Ds | Ns",192,12,0.026784,0,0.029892,0.011264,0.127376,0.06794
1,double,uniform,CPU,"Ds | Ns",192,13,0.026368,0,0.030987,0.012288,0.121255,0.069643
1,double,uniform,CPU,"Ds | Ns",192,14,0.025792,0,0.029703,0.012288,0.119537,0.067783
1,double,uniform,CPU,"Ds | Ns",192,15,0.026464,0,0.03056,0.012288,0.124415,0.069312
1,double,uniform,CPU,"Ds | Ns",192,16,0.02704,0,0.029444,0.013312,0.11968,0.069796
1,double,uniform,CPU,"Ds | Ns",192,17,0.025984,0,0.030481,0.012288,0.120944,0.068753
1,double,uniform,CPU,"Ds | Ns",192,18,0.025856,0,0.03037,0.011264,0.119578,0.06749
1,double,uniform,CPU,"Ds | Ns",192,19,0.0256,0,0.029463,0.011264,0.119226,0.066327
1,double,uniform,CPU,"Ds | Ns",256,0,0.04336,0,0.055146,0.024576,0.197664,0.123082
1,double,uniform,CPU,"Ds | Ns",256,1,0.031936,0,0.032199,0.01536,0.135071,0.079495
1,double,uniform,CPU,"Ds | Ns",256,2,0.035136,0,0.030148,0.013312,0.130594,0.078596
1,double,uniform,CPU,"Ds | Ns",256,3,0.02672,0,0.030504,0.012288,0.124053,0.069512
1,double,uniform,CPU,"Ds | Ns",256,4,0.02752,0,0.029027,0.012288,0.121687,0.068835
1,double,uniform,CPU,"Ds | Ns",256,5,0.026848,0,0.028979,0.012288,0.120862,0.068115
1,double,uniform,CPU,"Ds | Ns",256,6,0.028032,0,0.029401,0.013312,0.121827,0.070745
1,double,uniform,CPU,"Ds | Ns",256,7,0.030496,0,0.029828,0.011264,0.127879,0.071588
1,double,uniform,CPU,"Ds | Ns",256,8,0.131872,0,0.029302,0.011264,0.224966,0.172438
1,double,uniform,CPU,"Ds | Ns",256,9,0.027712,0,0.029219,0.012288,0.121899,0.069219
1,double,uniform,CPU,"Ds | Ns",256,10,0.026304,0,0.028919,0.013312,0.121435,0.068535
1,double,uniform,CPU,"Ds | Ns",256,11,0.026432,0,0.029258,0.013312,0.121923,0.069002
1,double,uniform,CPU,"Ds | Ns",256,12,0.026912,0,0.029635,0.012288,0.12125,0.068835
1,double,uniform,CPU,"Ds | Ns",256,13,0.025696,0,0.029405,0.012288,0.120828,0.067389
1,double,uniform,CPU,"Ds | Ns",256,14,0.02848,0,0.036285,0.013312,0.129987,0.078077
1,double,uniform,CPU,"Ds | Ns",256,15,0.026784,0,0.029331,0.013312,0.121267,0.069427
1,double,uniform,CPU,"Ds | Ns",256,16,0.027264,0,0.029054,0.011264,0.121099,0.067582
1,double,uniform,CPU,"Ds | Ns",256,17,0.026464,0,0.029258,0.032768,0.142147,0.08849
1,double,uniform,CPU,"Ds | Ns",256,18,0.027488,0,0.029494,0.012288,0.121428,0.06927
1,double,uniform,CPU,"Ds | Ns",256,19,0.0256,0,0.029761,0.013312,0.121325,0.068673
1,double,uniform,CPU,"Ds | Ns",320,0,0.039168,0,0.044393,0.017408,0.165273,0.100969
1,double,uniform,CPU,"Ds | Ns",320,1,0.029376,0,0.03317,0.014336,0.133841,0.076882
1,double,uniform,CPU,"Ds | Ns",320,2,0.029824,0,0.030766,0.013312,0.129624,0.073902
1,double,uniform,CPU,"Ds | Ns",320,3,0.028,0,0.030475,0.013312,0.124537,0.071787
1,double,uniform,CPU,"Ds | Ns",320,4,0.032736,0,0.030146,0.012288,0.127874,0.07517
1,double,uniform,CPU,"Ds | Ns",320,5,0.028352,0,0.029744,0.011264,0.123019,0.06936
1,double,uniform,CPU,"Ds | Ns",320,6,0.027552,0,0.02976,0.012288,0.122364,0.0696
1,double,uniform,CPU,"Ds | Ns",320,7,0.032832,0,0.029925,0.014336,0.128137,0.077093
1,double,uniform,CPU,"Ds | Ns",320,8,0.02656,0,0.030591,0.012288,0.122958,0.069439
1,double,uniform,CPU,"Ds | Ns",320,9,0.027456,0,0.029671,0.013312,0.122455,0.070439
1,double,uniform,CPU,"Ds | Ns",320,10,0.027008,0,0.030286,0.013312,0.127763,0.070606
1,double,uniform,CPU,"Ds | Ns",320,11,0.028288,0,0.029981,0.012288,0.123637,0.070557
1,double,uniform,CPU,"Ds | Ns",320,12,0.031104,0,0.030542,0.012288,0.126658,0.073934
1,double,uniform,CPU,"Ds | Ns",320,13,0.02672,0,0.030302,0.013312,0.121608,0.070334
1,double,uniform,CPU,"Ds | Ns",320,14,0.027872,0,0.030318,0.012288,0.122923,0.070478
1,double,uniform,CPU,"Ds | Ns",320,15,0.027584,0,0.030913,0.013312,0.126244,0.071809
1,double,uniform,CPU,"Ds | Ns",320,16,0.028352,0,0.02979,0.013312,0.122551,0.071454
1,double,uniform,CPU,"Ds | Ns",320,17,0.027264,0,0.030139,0.012288,0.122451,0.069691
1,double,uniform,CPU,"Ds | Ns",320,18,0.027008,0,0.029787,0.012256,0.121046,0.069051
1,double,uniform,CPU,"Ds | Ns",320,19,0.027232,0,0.029703,0.013312,0.122444,0.070247
1,double,uniform,CPU,"Ds | Ns",384,0,0.03552,0,0.050378,0.019456,0.17579,0.105354
1,double,uniform,CPU,"Ds | Ns",384,1,0.028448,0,0.034756,0.01536,0.13517,0.078564
1,double,uniform,CPU,"Ds | Ns",384,2,0.029888,0,0.033917,0.013312,0.130753,0.077117
1,double,uniform,CPU,"Ds | Ns",384,3,0.027968,0,0.032636,0.014336,0.127284,0.07494
1,double,uniform,CPU,"Ds | Ns",384,4,0.028128,0,0.032722,0.012288,0.127277,0.073138
1,double,uniform,CPU,"Ds | Ns",384,5,0.02832,0,0.032356,0.012288,0.125874,0.072964
1,double,uniform,CPU,"Ds | Ns",384,6,0.027904,0,0.03254,0.013312,0.125945,0.073756
1,double,uniform,CPU,"Ds | Ns",384,7,0.027424,0,0.032709,0.012288,0.126541,0.072421
1,double,uniform,CPU,"Ds | Ns",384,8,0.028352,0,0.052553,0.014336,0.148938,0.095241
1,double,uniform,CPU,"Ds | Ns",384,9,0.028,0,0.032699,0.014336,0.126075,0.075035
1,double,uniform,CPU,"Ds | Ns",384,10,0.02752,0,0.033355,0.011264,0.126043,0.072139
