dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,0,0.313504,0.004152,1.36511,0.755712,2.58619,2.43848
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,1,0.311776,0.004026,1.32456,0.754688,2.54078,2.39505
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,2,0.312288,0.003976,1.32304,0.756736,2.54109,2.39604
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,3,0.313344,0.004151,1.32844,0.748544,2.54257,2.39448
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,4,0.309504,0.004104,1.32445,0.755712,2.53956,2.39377
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,5,0.311936,0.004116,1.3267,0.756736,2.54843,2.39949
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,6,0.314688,0.004459,1.32355,0.759808,2.5458,2.40251
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,7,0.308064,0.003996,1.32912,0.751616,2.53898,2.3928
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,8,0.311936,0.00405,1.32167,0.754688,2.53757,2.39234
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,9,0.314112,0.004066,1.33352,0.753664,2.55233,2.40536
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,10,0.328896,0.004387,1.32721,0.75776,2.62298,2.41825
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,11,0.310688,0.004132,1.33435,0.755712,2.55403,2.40489
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,12,0.31104,0.004209,1.32246,0.754688,2.5354,2.3924
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,13,0.31184,0.004034,1.32322,0.75264,2.53685,2.39173
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,14,0.308864,0.003816,1.32404,0.755712,2.53729,2.39244
