dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"N | N",64,0,0.056512,0,0.071989,0.374784,0.598244,0.503285
1,double,uniform,CPU,"N | N",64,1,0.031712,0,0.027511,0.016384,0.133181,0.075607
1,double,uniform,CPU,"N | N",64,2,0.026144,0,0.023684,0.01536,0.116048,0.065188
1,double,uniform,CPU,"N | N",64,3,0.026656,0,0.02323,0.012288,0.115039,0.062174
1,double,uniform,CPU,"N | N",64,4,0.026464,0,0.023911,0.012288,0.115641,0.062663
1,double,uniform,CPU,"N | N",64,5,0.025504,0,0.023585,0.011264,0.113691,0.060353
1,double,uniform,CPU,"N | N",64,6,0.025376,0,0.024409,0.011264,0.205783,0.061049
1,double,uniform,CPU,"N | N",64,7,0.024896,0,0.023801,0.012288,0.112995,0.060985
1,double,uniform,CPU,"N | N",64,8,0.025792,0,0.02321,0.012288,0.113264,0.06129
1,double,uniform,CPU,"N | N",64,9,0.033248,0,0.023634,0.011264,0.121699,0.068146
1,double,uniform,CPU,"N | N",64,10,0.02576,0,0.023865,0.012288,0.112478,0.061913
1,double,uniform,CPU,"N | N",64,11,0.026304,0,0.022984,0.013312,0.113314,0.0626
1,double,uniform,CPU,"N | N",64,12,0.025216,0,0.023913,0.013312,0.120591,0.062441
1,double,uniform,CPU,"N | N",64,13,0.0256,0,0.022801,0.012288,0.112379,0.060689
1,double,uniform,CPU,"N | N",64,14,0.0256,0,0.022689,0.013312,0.11244,0.061601
1,double,uniform,CPU,"N | N",64,15,0.025408,0,0.02279,0.012288,0.112676,0.060486
1,double,uniform,CPU,"N | N",64,16,0.02528,0,0.023424,0.012288,0.112164,0.060992
1,double,uniform,CPU,"N | N",64,17,0.026656,0,0.023335,0.011264,0.1136,0.061255
1,double,uniform,CPU,"N | N",64,18,0.03312,0,0.023607,0.011264,0.12015,0.067991
1,double,uniform,CPU,"N | N",64,19,0.025312,0,0.023507,0.012288,0.113512,0.061107
1,double,uniform,CPU,"N | N",128,0,0.050432,0,0.057647,0.026624,0.208908,0.134703
1,double,uniform,CPU,"N | N",128,1,0.028864,0,0.035621,0.01536,0.133096,0.079845
1,double,uniform,CPU,"N | N",128,2,0.028576,0,0.034168,0.012288,0.131176,0.075032
1,double,uniform,CPU,"N | N",128,3,0.026912,0,0.034007,0.013312,0.126941,0.074231
1,double,uniform,CPU,"N | N",128,4,0.025888,0,0.033163,0.013312,0.124142,0.072363
1,double,uniform,CPU,"N | N",128,5,0.026528,0,0.033796,0.013312,0.124428,0.073636
1,double,uniform,CPU,"N | N",128,6,0.025984,0,0.033388,0.013312,0.122654,0.072684
1,double,uniform,CPU,"N | N",128,7,0.026592,0,0.03283,0.012288,0.122952,0.07171
1,double,uniform,CPU,"N | N",128,8,0.026624,0,0.034943,0.013312,0.222155,0.074879
1,double,uniform,CPU,"N | N",128,9,0.025312,0,0.033234,0.011264,0.12181,0.06981
1,double,uniform,CPU,"N | N",128,10,0.02528,0,0.032734,0.013312,0.122815,0.071326
1,double,uniform,CPU,"N | N",128,11,0.026176,0,0.033223,0.011264,0.123048,0.070663
1,double,uniform,CPU,"N | N",128,12,0.025408,0,0.033343,0.011264,0.122295,0.070015
