dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | D | N",64,0,1.09024,0.004136,0.127458,0.463872,1.80098,1.68571
3,double,uniform,CPU,"P | P | P | P | D | N",64,1,1.10688,0.003691,0.085523,0.03072,1.29873,1.22681
3,double,uniform,CPU,"P | P | P | P | D | N",64,2,0.992672,0.003616,0.076593,0.027648,1.17164,1.10053
3,double,uniform,CPU,"P | P | P | P | D | N",64,3,0.98208,0.003529,0.076385,0.027648,1.15806,1.08964
3,double,uniform,CPU,"P | P | P | P | D | N",64,4,0.981696,0.003624,0.074873,0.027648,1.156,1.08784
3,double,uniform,CPU,"P | P | P | P | D | N",64,5,0.978432,0.00369,0.075263,0.027648,1.15536,1.08503
3,double,uniform,CPU,"P | P | P | P | D | N",64,6,0.980384,0.003643,0.075675,0.027648,1.15847,1.08735
3,double,uniform,CPU,"P | P | P | P | D | N",64,7,0.97504,0.003761,0.082203,0.031744,1.16318,1.09275
3,double,uniform,CPU,"P | P | P | P | D | N",64,8,0.97408,0.003582,0.075247,0.027648,1.14925,1.08056
3,double,uniform,CPU,"P | P | P | P | D | N",64,9,0.980416,0.003558,0.075854,0.026624,1.15455,1.08645
3,double,uniform,CPU,"P | P | P | P | D | N",64,10,0.98816,0.003508,0.074937,0.029696,1.16205,1.0963
3,double,uniform,CPU,"P | P | P | P | D | N",64,11,0.993056,0.003682,0.074912,0.028672,1.16757,1.10032
3,double,uniform,CPU,"P | P | P | P | D | N",64,12,1.0071,0.003593,0.07507,0.027648,1.18194,1.11341
3,double,uniform,CPU,"P | P | P | P | D | N",64,13,0.983808,0.003509,0.074958,0.026624,1.15814,1.0889
3,double,uniform,CPU,"P | P | P | P | D | N",64,14,1.06208,0.003633,0.075596,0.027648,1.23741,1.16896
3,double,uniform,CPU,"P | P | P | P | D | N",64,15,0.981568,0.00352,0.075182,0.027648,1.15629,1.08792
3,double,uniform,CPU,"P | P | P | P | D | N",64,16,0.971872,0.003513,0.07607,0.0256,1.14599,1.07705
3,double,uniform,CPU,"P | P | P | P | D | N",64,17,0.974464,0.003721,0.077024,0.032768,1.15865,1.08798
3,double,uniform,CPU,"P | P | P | P | D | N",64,18,0.989728,0.003675,0.074709,0.027648,1.16377,1.09576
3,double,uniform,CPU,"P | P | P | P | D | N",64,19,0.985536,0.003681,0.07547,0.027648,1.16076,1.09233
3,double,uniform,CPU,"P | P | P | P | D | N",128,0,6.87971,0.004351,0.55942,0.251904,7.79676,7.69539
3,double,uniform,CPU,"P | P | P | P | D | N",128,1,6.97786,0.003873,0.511105,0.24064,7.92243,7.73347
3,double,uniform,CPU,"P | P | P | P | D | N",128,2,6.98614,0.004139,0.5092,0.242688,7.82222,7.74217
3,double,uniform,CPU,"P | P | P | P | D | N",128,3,7.01414,0.004033,0.510784,0.24064,7.84984,7.7696
3,double,uniform,CPU,"P | P | P | P | D | N",128,4,6.95101,0.00451,0.513577,0.239616,7.79216,7.70871
3,double,uniform,CPU,"P | P | P | P | D | N",128,5,7.05334,0.003964,0.507437,0.24064,7.88527,7.80539
3,double,uniform,CPU,"P | P | P | P | D | N",128,6,7.06525,0.004031,0.515551,0.243712,7.90811,7.82854
