dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,CPU,"N | N | N | N",192,12,0.109472,0,0.057912,0.012288,0.232938,0.179672
2,float,uniform,CPU,"N | N | N | N",192,13,0.109792,0,0.057859,0.012288,0.232153,0.179939
2,float,uniform,CPU,"N | N | N | N",192,14,0.111296,0,0.057931,0.013312,0.235698,0.182539
2,float,uniform,CPU,"N | N | N | N",192,15,0.111136,0,0.057938,0.013312,0.237606,0.182386
2,float,uniform,CPU,"N | N | N | N",192,16,0.11216,0,0.057464,0.011264,0.23402,0.180888
2,float,uniform,CPU,"N | N | N | N",192,17,0.111584,0,0.057674,0.013312,0.234409,0.18257
2,float,uniform,CPU,"N | N | N | N",192,18,0.112064,0,0.057772,0.013312,0.235071,0.183148
2,float,uniform,CPU,"N | N | N | N",192,19,0.109856,0,0.057595,0.013312,0.231844,0.180763
2,float,uniform,CPU,"N | N | N | N",256,0,0.177568,0,0.072958,0.016384,0.332418,0.26691
2,float,uniform,CPU,"N | N | N | N",256,1,0.17136,0,0.051263,0.014336,0.291692,0.236959
2,float,uniform,CPU,"N | N | N | N",256,2,0.168224,0,0.049325,0.013312,0.283633,0.230861
2,float,uniform,CPU,"N | N | N | N",256,3,0.168512,0,0.048879,0.013312,0.282829,0.230703
2,float,uniform,CPU,"N | N | N | N",256,4,0.168224,0,0.049761,0.013312,0.283958,0.231297
2,float,uniform,CPU,"N | N | N | N",256,5,0.167424,0,0.048709,0.012288,0.281608,0.228421
2,float,uniform,CPU,"N | N | N | N",256,6,0.171904,0,0.048932,0.013312,0.28659,0.234148
2,float,uniform,CPU,"N | N | N | N",256,7,0.166816,0,0.0494,0.012288,0.282201,0.228504
2,float,uniform,CPU,"N | N | N | N",256,8,0.167776,0,0.048644,0.026624,0.296217,0.243044
2,float,uniform,CPU,"N | N | N | N",256,9,0.166816,0,0.049137,0.013312,0.281487,0.229265
2,float,uniform,CPU,"N | N | N | N",256,10,0.167456,0,0.049194,0.013312,0.281473,0.229962
2,float,uniform,CPU,"N | N | N | N",256,11,0.169952,0,0.047995,0.013312,0.28457,0.231259
2,float,uniform,CPU,"N | N | N | N",256,12,0.167808,0,0.048841,0.012288,0.282006,0.228937
2,float,uniform,CPU,"N | N | N | N",256,13,0.167072,0,0.048573,0.012288,0.281238,0.227933
2,float,uniform,CPU,"N | N | N | N",256,14,0.1672,0,0.048421,0.014336,0.285087,0.229957
2,float,uniform,CPU,"N | N | N | N",256,15,0.175872,0,0.048784,0.013312,0.291277,0.237968
2,float,uniform,CPU,"N | N | N | N",256,16,0.16768,0,0.047965,0.013312,0.281281,0.228957
2,float,uniform,CPU,"N | N | N | N",256,17,0.168768,0,0.048824,0.012288,0.284862,0.22988
2,float,uniform,CPU,"N | N | N | N",256,18,0.166784,0,0.048895,0.013312,0.281556,0.228991
