dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",192,6,0.166752,0.004097,0.841539,0.436224,1.59439,1.44861
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",192,7,0.166176,0.004108,0.840804,0.438272,1.59616,1.44936
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",192,8,0.166368,0.004155,0.838264,0.441312,1.59722,1.4501
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",192,9,0.165024,0.004023,0.837145,0.44032,1.59273,1.44651
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",192,10,0.165728,0.004082,0.841553,0.437248,1.59755,1.44861
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",192,11,0.162464,0.004098,0.835773,0.437248,1.58714,1.43958
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",192,12,0.163744,0.004056,0.836175,0.437248,1.59038,1.44122
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",192,13,0.165568,0.004105,0.831742,0.44032,1.59809,1.44174
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",192,14,0.171552,0.004061,0.837063,0.436224,1.59751,1.4489
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",192,15,0.168192,0.004112,0.841648,0.437248,1.59827,1.4512
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",192,16,0.170528,0.004048,0.834919,0.438272,1.59295,1.44777
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",192,17,0.170656,0.004095,0.838513,0.439296,1.59894,1.45256
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",192,18,0.169472,0.004191,0.83486,0.44544,1.59957,1.45396
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",192,19,0.168832,0.003966,0.837506,0.438272,1.59783,1.44858
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",256,0,0.365408,0.004085,2.10999,0.990208,3.61574,3.46969
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",256,1,0.363264,0.004004,2.06587,0.979968,3.55483,3.4131
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",256,2,0.364704,0.003979,2.07295,0.986112,3.57295,3.42775
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",256,3,0.368992,0.004485,2.07726,0.985088,3.58154,3.43582
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",256,4,0.36624,0.004091,2.07296,0.980992,3.57049,3.42428
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",256,5,0.365632,0.003555,2.07099,0.978944,3.56099,3.41912
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",256,6,0.364096,0.004104,2.0698,0.97792,3.56264,3.41592
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",256,7,0.365664,0.004072,2.07314,0.975872,3.56596,3.41875
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",256,8,0.36096,0.004073,2.11696,0.980992,3.61005,3.46298
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",256,9,0.364576,0.004024,2.0705,0.986112,3.57512,3.42521
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",256,10,0.35968,0.004363,2.07027,0.9728,3.5573,3.40711
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",256,11,0.365504,0.004027,2.06991,0.982016,3.5675,3.42145
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",256,12,0.363296,0.004107,2.06913,0.974848,3.58752,3.41138
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",256,13,0.360544,0.003475,2.0656,0.970752,3.5427,3.40037
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",256,14,0.366336,0.003992,2.06861,0.980992,3.56602,3.41993
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",256,15,0.367488,0.004052,2.0752,0.980992,3.57402,3.42774
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",256,16,0.364896,0.003462,2.07037,0.973824,3.55591,3.41255
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",256,17,0.360288,0.004136,2.0633,0.984064,3.55826,3.41179
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",256,18,0.363296,0.00387,2.06911,0.976896,3.55905,3.41317
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",256,19,0.359296,0.004007,2.07298,0.976896,3.55914,3.41318
