dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",192,3,11.9714,0.00429,0.799963,0.44032,13.3029,13.2159
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",192,4,11.9326,0.004192,0.802739,0.442368,13.2747,13.1819
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",192,5,11.9052,0.003968,0.801684,0.4352,13.2507,13.146
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",192,6,12.0116,0.004027,0.801347,0.4352,13.3404,13.2521
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",192,7,11.8751,0.003956,0.803503,0.4352,13.2083,13.1178
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",192,8,11.9688,0.004095,0.800454,0.431104,13.2912,13.2045
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",192,9,11.8715,0.004013,0.798834,0.438272,13.2015,13.1126
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",192,10,12.0364,0.003949,0.807295,0.442368,13.3793,13.29
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",192,11,11.902,0.003936,0.799448,0.434176,13.2266,13.1395
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",192,12,12.0736,0.004017,0.800395,0.433152,13.397,13.3112
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",192,13,12.1426,0.003881,0.802147,0.436224,13.4716,13.3848
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",192,14,12.0236,0.003953,0.80308,0.438272,13.3543,13.2689
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",192,15,11.9416,0.003958,0.801606,0.436224,13.2711,13.1834
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",192,16,11.8875,0.003982,0.800834,0.436224,13.2195,13.1286
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",192,17,11.9569,0.003904,0.799707,0.437248,13.2862,13.1977
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",192,18,12.0229,0.003948,0.801089,0.4352,13.3516,13.2631
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",192,19,11.879,0.003927,0.807125,0.438272,13.2136,13.1283
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",256,0,28.395,0.003892,2.5022,0.985088,31.984,31.8862
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",256,1,28.3806,0.007783,2.46486,0.968704,31.9118,31.822
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",256,2,28.3563,0.003934,2.46538,0.976896,31.8956,31.8025
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",256,3,28.4329,0.003965,2.48689,0.973824,31.9912,31.8975
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",256,4,28.3832,0.003991,2.47438,0.973824,31.9271,31.8354
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",256,5,28.4998,0.003888,2.47481,0.9728,32.0443,31.9513
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",256,6,28.5356,0.003882,2.47432,0.973824,32.0803,31.9876
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",256,7,28.3263,0.00396,2.47148,0.970752,31.8652,31.7725
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",256,8,28.4272,0.004088,2.49175,0.97792,31.9934,31.901
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",256,9,28.2699,0.004006,2.47716,0.973824,31.8206,31.7249
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",256,10,28.1089,0.004169,2.48437,0.974848,31.665,31.5723
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",256,11,28.2039,0.003842,2.47435,0.973824,31.7509,31.6559
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",256,12,28.422,0.00409,2.47131,0.968704,31.9593,31.8661
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",256,13,28.202,0.003899,2.4809,0.9728,31.7531,31.6596
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",256,14,28.0707,0.004118,2.46447,0.968704,31.6053,31.508
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",256,15,28.4545,0.004025,2.43204,0.968704,31.9538,31.8593
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",256,16,28.1032,0.003444,2.45291,0.966656,31.6142,31.5262
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",256,17,28.2621,0.004107,2.466,0.969728,31.7965,31.7019
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",256,18,28.6692,0.00399,2.46179,0.970752,32.2009,32.1058
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",256,19,28.4251,0.003813,2.4811,0.973824,31.9804,31.8838
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",320,0,54.6484,0.002789,4.39181,1.88928,61.0365,60.9323
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",320,1,53.6983,0.003059,4.37943,1.88211,60.0555,59.9629
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",320,2,56.1296,0.00295,4.38247,1.88109,62.4845,62.3961
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",320,3,54.462,0.003026,4.37745,1.87802,60.8074,60.7205
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",320,4,53.9706,0.002814,4.37399,1.87187,60.3032,60.2192
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",320,5,54.4692,0.002844,4.37126,1.87597,60.8135,60.7192
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",320,6,53.8568,0.002826,4.37913,1.87597,60.2011,60.1147
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",320,7,53.8429,0.002933,4.36694,1.87494,60.1704,60.0877
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",320,8,54.4341,0.002872,4.37895,1.87494,60.778,60.6908
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",320,9,54.3756,0.002649,4.36669,1.87699,60.7064,60.6219
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",320,10,55.2194,0.002868,4.37238,1.87802,61.5576,61.4727
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",320,11,54.6331,0.002873,4.37573,1.88006,60.9809,60.8918
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",320,12,54.5484,0.003063,4.37893,1.87494,60.8952,60.8054
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",320,13,53.9741,0.002818,4.36784,1.88109,60.3117,60.2259
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",320,14,54.0818,0.002768,4.38018,1.88211,60.4331,60.3469
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",320,15,54.2484,0.003059,4.37812,1.88211,60.6053,60.5117
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",320,16,54.6287,0.002876,4.37118,1.88314,60.973,60.8859
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",320,17,53.8113,0.002759,4.37173,1.87904,60.1503,60.0649
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",320,18,53.5628,0.003072,4.37545,1.88006,59.9086,59.8213
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",320,19,54.8111,0.002919,4.37361,1.88109,61.1589,61.0687
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",384,0,94.0513,0.003216,7.88506,3.26554,105.312,105.205
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",384,1,93.2153,0.00289,7.70775,3.25837,104.274,104.184
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",384,2,93.3803,0.002676,7.6693,3.24506,104.386,104.297
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",384,3,93.3282,0.003264,7.8006,3.25632,104.477,104.388
