dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",128,6,0.063616,0.003652,0.341228,0.135168,0.688155,0.543664
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",128,7,0.062688,0.003657,0.280383,0.13312,0.624389,0.479848
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",128,8,0.069088,0.003719,0.278818,0.132096,0.629581,0.483721
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",128,9,0.074592,0.003794,0.283089,0.131072,0.63828,0.492547
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",128,10,0.061568,0.003857,0.279453,0.131072,0.620724,0.47595
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",128,11,0.0744,0.0037,0.28006,0.131072,0.632713,0.489232
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",128,12,0.0704,0.003864,0.277046,0.130048,0.628693,0.481358
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",128,13,0.068224,0.003604,0.282372,0.130048,0.628789,0.484248
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",128,14,0.070112,0.003696,0.277323,0.135168,0.62813,0.486299
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",128,15,0.070496,0.003563,0.278317,0.131072,0.627063,0.483448
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",128,16,0.069184,0.003815,0.278426,0.132096,0.627679,0.483521
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",128,17,0.063008,0.00368,0.280588,0.131072,0.629432,0.478348
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",128,18,0.062784,0.003756,0.281334,0.131072,0.624219,0.478946
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",128,19,0.070624,0.003712,0.280261,0.131072,0.628546,0.485669
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",192,0,0.174272,0.004168,0.841485,0.444416,1.61919,1.46434
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",192,1,0.168608,0.004216,0.814089,0.441344,1.57534,1.42826
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",192,2,0.16672,0.004214,0.811181,0.443392,1.57352,1.42551
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",192,3,0.171232,0.004309,0.816046,0.444416,1.58586,1.436
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",192,4,0.167392,0.004085,0.815504,0.444416,1.57926,1.4314
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",192,5,0.167808,0.004215,0.818758,0.444416,1.584,1.4352
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",192,6,0.166368,0.004236,0.814031,0.44032,1.57242,1.42495
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",192,7,0.165312,0.004267,0.822835,0.44032,1.58075,1.43273
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",192,8,0.1656,0.004081,0.811402,0.442368,1.57015,1.42345
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",192,9,0.166112,0.00417,0.823327,0.446464,1.58487,1.44007
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",192,10,0.165632,0.004145,0.815071,0.44544,1.57699,1.43029
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",192,11,0.166784,0.004113,0.814963,0.444416,1.58653,1.43028
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",192,12,0.170528,0.004114,0.81632,0.45056,1.58786,1.44152
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",192,13,0.172064,0.004246,0.819467,0.444416,1.58536,1.44019
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",192,14,0.1672,0.004565,0.823812,0.449536,1.59201,1.44511
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",192,15,0.172768,0.004436,0.81569,0.443392,1.58294,1.43629
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",192,16,0.16624,0.004114,0.814137,0.44032,1.5738,1.42481
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",192,17,0.17232,0.00413,0.8113,0.442368,1.57709,1.43012
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",192,18,0.166912,0.004407,0.810154,0.446496,1.57498,1.42797
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",192,19,0.16544,0.004118,0.818381,0.448512,1.58302,1.43645
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",256,0,0.370688,0.004276,1.90465,0.99328,3.41918,3.2729
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",256,1,0.368032,0.004398,1.86865,0.985088,3.3743,3.22617
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",256,2,0.365984,0.004131,1.86748,0.98304,3.36698,3.22063
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",256,3,0.36288,0.003575,1.8677,0.991232,3.36754,3.22539
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",256,4,0.36624,0.004467,1.86841,0.99328,3.38061,3.2324
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",256,5,0.368416,0.00373,1.87819,0.986112,3.37774,3.23644
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",256,6,0.369376,0.00427,1.86783,0.98816,3.37557,3.22964
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",256,7,0.364896,0.004055,1.86632,0.9984,3.38629,3.23367
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",256,8,0.369088,0.003727,1.86888,0.989184,3.38704,3.23088
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",256,9,0.364384,0.004139,1.86665,0.989184,3.3697,3.22436
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",256,10,0.367296,0.004371,1.96082,0.992256,3.47124,3.32474
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",256,11,0.367104,0.003675,1.86828,0.987136,3.36761,3.2262
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",256,12,0.3632,0.004119,1.87053,0.992256,3.37626,3.2301
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",256,13,0.364448,0.003886,1.86553,0.987136,3.36846,3.221
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",256,14,0.36704,0.004534,1.86911,0.98816,3.37627,3.22885
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",256,15,0.36752,0.003524,1.87109,0.98816,3.39465,3.2303
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",256,16,0.36544,0.004483,1.86858,0.985088,3.38011,3.2236
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",256,17,0.364928,0.003739,1.86989,0.984064,3.37476,3.22262
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",256,18,0.3672,0.00432,1.9503,0.989184,3.46058,3.311
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",256,19,0.363616,0.003699,1.86536,0.987136,3.36202,3.21981
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",320,0,0.693248,0.003199,5.48422,1.91488,8.2338,8.09554
