dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"Ns | Ds",64,0,0.057504,0,0.079819,0.403456,0.63497,0.540779
1,double,uniform,CPU,"Ns | Ds",64,1,0.031008,0,0.03293,0.01536,0.134751,0.079298
1,double,uniform,CPU,"Ns | Ds",64,2,0.031776,0,0.02866,0.01536,0.139098,0.075796
1,double,uniform,CPU,"Ns | Ds",64,3,0.026592,0,0.027132,0.013312,0.116321,0.067036
1,double,uniform,CPU,"Ns | Ds",64,4,0.02784,0,0.026649,0.012288,0.118187,0.066777
1,double,uniform,CPU,"Ns | Ds",64,5,0.026432,0,0.026782,0.012288,0.116483,0.065502
1,double,uniform,CPU,"Ns | Ds",64,6,0.025952,0,0.026792,0.013312,0.117251,0.066056
1,double,uniform,CPU,"Ns | Ds",64,7,0.025696,0,0.026515,0.013312,0.115976,0.065523
1,double,uniform,CPU,"Ns | Ds",64,8,0.025568,0,0.026029,0.013312,0.11591,0.064909
1,double,uniform,CPU,"Ns | Ds",64,9,0.026112,0,0.026409,0.012288,0.116248,0.064809
1,double,uniform,CPU,"Ns | Ds",64,10,0.025536,0,0.026427,0.012288,0.116654,0.064251
1,double,uniform,CPU,"Ns | Ds",64,11,0.110016,0,0.026147,0.012288,0.200521,0.148451
1,double,uniform,CPU,"Ns | Ds",64,12,0.026112,0,0.026241,0.012288,0.115864,0.064641
1,double,uniform,CPU,"Ns | Ds",64,13,0.02688,0,0.026236,0.012288,0.117233,0.065404
1,double,uniform,CPU,"Ns | Ds",64,14,0.027616,0,0.025895,0.012288,0.116575,0.065799
1,double,uniform,CPU,"Ns | Ds",64,15,0.02672,0,0.026583,0.011264,0.115918,0.064567
1,double,uniform,CPU,"Ns | Ds",64,16,0.02608,0,0.026478,0.013312,0.116351,0.06587
1,double,uniform,CPU,"Ns | Ds",64,17,0.026624,0,0.026955,0.012288,0.117035,0.065867
1,double,uniform,CPU,"Ns | Ds",64,18,0.026304,0,0.026768,0.013312,0.117652,0.066384
1,double,uniform,CPU,"Ns | Ds",64,19,0.026304,0,0.026722,0.012288,0.116067,0.065314
1,double,uniform,CPU,"Ns | Ds",128,0,0.038336,0,0.04109,0.018432,0.158751,0.097858
1,double,uniform,CPU,"Ns | Ds",128,1,0.028032,0,0.029094,0.01536,0.127693,0.072486
1,double,uniform,CPU,"Ns | Ds",128,2,0.027936,0,0.028473,0.014336,0.120811,0.070745
1,double,uniform,CPU,"Ns | Ds",128,3,0.027424,0,0.028123,0.014336,0.122175,0.069883
1,double,uniform,CPU,"Ns | Ds",128,4,0.027424,0,0.02719,0.01536,0.119449,0.069974
1,double,uniform,CPU,"Ns | Ds",128,5,0.026432,0,0.026864,0.011264,0.115701,0.06456
1,double,uniform,CPU,"Ns | Ds",128,6,0.026976,0,0.026478,0.012288,0.118303,0.065742
1,double,uniform,CPU,"Ns | Ds",128,7,0.0264,0,0.026782,0.013312,0.117346,0.066494
1,double,uniform,CPU,"Ns | Ds",128,8,0.02624,0,0.027142,0.014336,0.121142,0.067718
1,double,uniform,CPU,"Ns | Ds",128,9,0.027104,0,0.026813,0.011264,0.115799,0.065181
1,double,uniform,CPU,"Ns | Ds",128,10,0.025856,0,0.026449,0.013312,0.127243,0.065617
1,double,uniform,CPU,"Ns | Ds",128,11,0.02736,0,0.027058,0.011264,0.116306,0.065682
1,double,uniform,CPU,"Ns | Ds",128,12,0.02688,0,0.027266,0.012288,0.11671,0.066434
1,double,uniform,CPU,"Ns | Ds",128,13,0.026848,0,0.032519,0.013312,0.122912,0.072679
1,double,uniform,CPU,"Ns | Ds",128,14,0.027136,0,0.026128,0.012288,0.117437,0.065552
1,double,uniform,CPU,"Ns | Ds",128,15,0.026208,0,0.026872,0.013312,0.115933,0.066392
1,double,uniform,CPU,"Ns | Ds",128,16,0.026464,0,0.026768,0.013312,0.119553,0.066544
1,double,uniform,CPU,"Ns | Ds",128,17,0.026656,0,0.026363,0.013312,0.116536,0.066331
1,double,uniform,CPU,"Ns | Ds",128,18,0.027264,0,0.026696,0.013312,0.116921,0.067272
1,double,uniform,CPU,"Ns | Ds",128,19,0.025504,0,0.028437,0.011264,0.11749,0.065205
1,double,uniform,CPU,"Ns | Ds",192,0,0.03568,0,0.046105,0.019456,0.162694,0.101241
1,double,uniform,CPU,"Ns | Ds",192,1,0.034784,0,0.032341,0.01536,0.137271,0.082485
1,double,uniform,CPU,"Ns | Ds",192,2,0.02736,0,0.030055,0.013312,0.125419,0.070727
1,double,uniform,CPU,"Ns | Ds",192,3,0.026848,0,0.029312,0.014336,0.122296,0.070496
1,double,uniform,CPU,"Ns | Ds",192,4,0.026688,0,0.030379,0.012288,0.120582,0.069355
1,double,uniform,CPU,"Ns | Ds",192,5,0.027808,0,0.029534,0.012288,0.120669,0.06963
1,double,uniform,CPU,"Ns | Ds",192,6,0.02592,0,0.029813,0.012288,0.118404,0.068021
1,double,uniform,CPU,"Ns | Ds",192,7,0.027648,0,0.029394,0.012288,0.11954,0.06933
1,double,uniform,CPU,"Ns | Ds",192,8,0.027136,0,0.02894,0.012288,0.122772,0.068364
1,double,uniform,CPU,"Ns | Ds",192,9,0.026688,0,0.030012,0.012288,0.119625,0.068988
