dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"D | N",64,0,0.069568,0,0.073565,0.361472,0.596395,0.504605
1,float,uniform,CPU,"D | N",64,1,0.027488,0,0.029723,0.016384,0.130053,0.073595
1,float,uniform,CPU,"D | N",64,2,0.028352,0,0.024505,0.013312,0.120171,0.066169
1,float,uniform,CPU,"D | N",64,3,0.026688,0,0.023876,0.013312,0.116621,0.063876
1,float,uniform,CPU,"D | N",64,4,0.026048,0,0.024042,0.012288,0.122387,0.062378
1,float,uniform,CPU,"D | N",64,5,0.026048,0,0.023802,0.012288,0.115228,0.062138
1,float,uniform,CPU,"D | N",64,6,0.025792,0,0.024544,0.014336,0.115916,0.064672
1,float,uniform,CPU,"D | N",64,7,0.025952,0,0.024582,0.012288,0.115228,0.062822
1,float,uniform,CPU,"D | N",64,8,0.025216,0,0.024509,0.012288,0.114478,0.062013
1,float,uniform,CPU,"D | N",64,9,0.0256,0,0.024688,0.012288,0.11454,0.062576
1,float,uniform,CPU,"D | N",64,10,0.12096,0,0.02437,0.012288,0.210019,0.157618
1,float,uniform,CPU,"D | N",64,11,0.025856,0,0.024129,0.011264,0.113794,0.061249
1,float,uniform,CPU,"D | N",64,12,0.025888,0,0.024081,0.012288,0.114089,0.062257
1,float,uniform,CPU,"D | N",64,13,0.025504,0,0.028797,0.011264,0.118616,0.065565
1,float,uniform,CPU,"D | N",64,14,0.024992,0,0.023582,0.012288,0.112851,0.060862
1,float,uniform,CPU,"D | N",64,15,0.027072,0,0.023908,0.013312,0.11476,0.064292
1,float,uniform,CPU,"D | N",64,16,0.026144,0,0.023583,0.013312,0.11431,0.063039
1,float,uniform,CPU,"D | N",64,17,0.026592,0,0.023858,0.013312,0.114798,0.063762
1,float,uniform,CPU,"D | N",64,18,0.026016,0,0.02369,0.013312,0.114212,0.063018
1,float,uniform,CPU,"D | N",64,19,0.024928,0,0.027978,0.013312,0.119225,0.066218
