dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"Ns | Ns",64,0,0.072832,0,0.076067,0.365568,0.610098,0.514467
1,float,uniform,CPU,"Ns | Ns",64,1,0.029376,0,0.029608,0.017408,0.137245,0.076392
1,float,uniform,CPU,"Ns | Ns",64,2,0.02848,0,0.02476,0.014336,0.121932,0.067576
1,float,uniform,CPU,"Ns | Ns",64,3,0.02688,0,0.024126,0.014336,0.116491,0.065342
1,float,uniform,CPU,"Ns | Ns",64,4,0.02752,0,0.024248,0.014336,0.117232,0.066104
1,float,uniform,CPU,"Ns | Ns",64,5,0.027904,0,0.024354,0.013312,0.118016,0.06557
1,float,uniform,CPU,"Ns | Ns",64,6,0.026752,0,0.02393,0.013312,0.116157,0.063994
1,float,uniform,CPU,"Ns | Ns",64,7,0.025792,0,0.023406,0.013312,0.115415,0.06251
1,float,uniform,CPU,"Ns | Ns",64,8,0.02752,0,0.023448,0.012288,0.114125,0.063256
1,float,uniform,CPU,"Ns | Ns",64,9,0.032256,0,0.023709,0.012288,0.120915,0.068253
1,float,uniform,CPU,"Ns | Ns",64,10,0.027168,0,0.023515,0.012288,0.11575,0.062971
1,float,uniform,CPU,"Ns | Ns",64,11,0.027808,0,0.023772,0.012288,0.116258,0.063868
1,float,uniform,CPU,"Ns | Ns",64,12,0.026912,0,0.024286,0.013312,0.116569,0.06451
1,float,uniform,CPU,"Ns | Ns",64,13,0.025888,0,0.024638,0.012288,0.115499,0.062814
1,float,uniform,CPU,"Ns | Ns",64,14,0.02592,0,0.024074,0.012288,0.115414,0.062282
1,float,uniform,CPU,"Ns | Ns",64,15,0.026304,0,0.024332,0.013312,0.115774,0.063948
1,float,uniform,CPU,"Ns | Ns",64,16,0.025696,0,0.024507,0.013312,0.11533,0.063515
1,float,uniform,CPU,"Ns | Ns",64,17,0.07696,0,0.024453,0.012288,0.168465,0.113701
1,float,uniform,CPU,"Ns | Ns",64,18,0.027136,0,0.024357,0.012288,0.117542,0.063781
1,float,uniform,CPU,"Ns | Ns",64,19,0.026624,0,0.023592,0.013312,0.115984,0.063528
1,float,uniform,CPU,"Ns | Ns",128,0,0.036128,0,0.037675,0.018432,0.155936,0.092235
1,float,uniform,CPU,"Ns | Ns",128,1,0.029088,0,0.027051,0.01536,0.123233,0.071499
1,float,uniform,CPU,"Ns | Ns",128,2,0.036416,0,0.025571,0.014336,0.128247,0.076323
1,float,uniform,CPU,"Ns | Ns",128,3,0.02768,0,0.024657,0.012288,0.11783,0.064625
1,float,uniform,CPU,"Ns | Ns",128,4,0.028096,0,0.024873,0.013312,0.117342,0.066281
1,float,uniform,CPU,"Ns | Ns",128,5,0.026112,0,0.024331,0.013312,0.116295,0.063755
1,float,uniform,CPU,"Ns | Ns",128,6,0.025664,0,0.024478,0.013312,0.116829,0.063454
1,float,uniform,CPU,"Ns | Ns",128,7,0.026624,0,0.031512,0.013312,0.124066,0.071448
1,float,uniform,CPU,"Ns | Ns",128,8,0.025888,0,0.024261,0.012288,0.114877,0.062437
1,float,uniform,CPU,"Ns | Ns",128,9,0.0256,0,0.023839,0.013312,0.114518,0.062751
1,float,uniform,CPU,"Ns | Ns",128,10,0.026912,0,0.024477,0.012288,0.119172,0.063677
