dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,0,0.641536,0.004362,0.11086,0.380928,1.2455,1.13769
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,1,0.678784,0.003917,0.064881,0.017408,0.829183,0.76499
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,2,0.608832,0.003742,0.059037,0.016384,0.747932,0.687995
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,3,0.605248,0.003848,0.058645,0.016384,0.80894,0.684125
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,4,0.609632,0.003856,0.058729,0.016384,0.748864,0.688601
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,5,0.607584,0.003793,0.057161,0.014336,0.745293,0.682874
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,6,0.603104,0.003688,0.057077,0.016384,0.740158,0.680253
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,7,0.605088,0.004071,0.057354,0.01536,0.852943,0.681873
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,8,0.603904,0.00377,0.057179,0.01536,0.74101,0.680213
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,9,0.601792,0.003729,0.057014,0.01536,0.745548,0.677895
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,10,0.602912,0.00377,0.055934,0.016384,0.738725,0.679
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,11,0.604,0.003699,0.057144,0.014336,0.746824,0.679179
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,12,0.6128,0.003733,0.056417,0.01536,0.748061,0.68831
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,13,0.675776,0.003729,0.057022,0.01536,0.812913,0.751887
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,14,0.698144,0.00367,0.056846,0.016384,0.834645,0.775044
