dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,0,0.038208,0,0.071902,0.362496,0.604676,0.472606
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,1,0.029216,0,0.046792,0.028672,0.234256,0.10468
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,2,0.0256,0,0.042572,0.016384,0.212759,0.084556
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,3,0.02752,0,0.040675,0.016384,0.212379,0.084579
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,4,0.026432,0,0.040687,0.016384,0.21232,0.083503
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,5,0.026624,0,0.040794,0.016384,0.211372,0.083802
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,6,0.02672,0,0.040585,0.016384,0.210051,0.083689
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,7,0.025696,0,0.041602,0.016384,0.211764,0.083682
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,8,0.026848,0,0.040795,0.016384,0.210821,0.084027
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,9,0.023296,0,0.042467,0.017408,0.21158,0.083171
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,10,0.02656,0,0.040891,0.016384,0.211416,0.083835
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,11,0.026944,0,0.040781,0.01536,0.211082,0.083085
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,12,0.025632,0,0.041352,0.01536,0.210205,0.082344
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,13,0.027616,0,0.040946,0.01536,0.212595,0.083922
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,14,0.026016,0,0.04105,0.018432,0.211755,0.085498
