dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"Ns | Ns",192,12,0.019456,0,0.023608,0.012288,0.107419,0.055352
1,double,uniform,GPU,"Ns | Ns",192,13,0.019456,0,0.023196,0.011264,0.099097,0.053916
1,double,uniform,GPU,"Ns | Ns",192,14,0.018432,0,0.02287,0.011264,0.100566,0.052566
1,double,uniform,GPU,"Ns | Ns",192,15,0.017408,0,0.023624,0.011264,0.099865,0.052296
1,double,uniform,GPU,"Ns | Ns",192,16,0.018432,0,0.023305,0.011264,0.099389,0.053001
1,double,uniform,GPU,"Ns | Ns",192,17,0.023552,0,0.024374,0.012288,0.108049,0.060214
1,double,uniform,GPU,"Ns | Ns",192,18,0.017408,0,0.023095,0.012288,0.098596,0.052791
1,double,uniform,GPU,"Ns | Ns",192,19,0.018432,0,0.023914,0.011264,0.099491,0.05361
1,double,uniform,GPU,"Ns | Ns",256,0,0.029696,0,0.030015,0.018432,0.131847,0.078143
1,double,uniform,GPU,"Ns | Ns",256,1,0.022528,0,0.02367,0.013312,0.106987,0.05951
1,double,uniform,GPU,"Ns | Ns",256,2,0.019456,0,0.023716,0.011264,0.102429,0.054436
1,double,uniform,GPU,"Ns | Ns",256,3,0.018432,0,0.022235,0.012288,0.101363,0.052955
1,double,uniform,GPU,"Ns | Ns",256,4,0.019456,0,0.022262,0.012288,0.099669,0.054006
1,double,uniform,GPU,"Ns | Ns",256,5,0.017408,0,0.022903,0.011264,0.099767,0.051575
1,double,uniform,GPU,"Ns | Ns",256,6,0.017408,0,0.022102,0.011264,0.098755,0.050774
1,double,uniform,GPU,"Ns | Ns",256,7,0.018432,0,0.022446,0.012288,0.099973,0.053166
1,double,uniform,GPU,"Ns | Ns",256,8,0.019456,0,0.022579,0.012288,0.10057,0.054323
1,double,uniform,GPU,"Ns | Ns",256,9,0.019456,0,0.022414,0.011264,0.098603,0.053134
1,double,uniform,GPU,"Ns | Ns",256,10,0.019456,0,0.022775,0.012288,0.10179,0.054519
1,double,uniform,GPU,"Ns | Ns",256,11,0.017408,0,0.022069,0.011264,0.098855,0.050741
1,double,uniform,GPU,"Ns | Ns",256,12,0.019456,0,0.022457,0.011264,0.09932,0.053177
1,double,uniform,GPU,"Ns | Ns",256,13,0.018432,0,0.02242,0.012288,0.099485,0.05314
1,double,uniform,GPU,"Ns | Ns",256,14,0.018432,0,0.022036,0.011264,0.098685,0.051732
1,double,uniform,GPU,"Ns | Ns",256,15,0.019456,0,0.02232,0.011264,0.099113,0.05304
1,double,uniform,GPU,"Ns | Ns",256,16,0.018432,0,0.023059,0.011264,0.105589,0.052755
1,double,uniform,GPU,"Ns | Ns",256,17,0.018432,0,0.022453,0.011264,0.098687,0.052149
1,double,uniform,GPU,"Ns | Ns",256,18,0.018432,0,0.022155,0.011264,0.098694,0.051851
1,double,uniform,GPU,"Ns | Ns",256,19,0.018432,0,0.02274,0.011264,0.09894,0.052436
1,double,uniform,GPU,"Ns | Ns",320,0,0.027648,0,0.030425,0.01536,0.128552,0.073433
1,double,uniform,GPU,"Ns | Ns",320,1,0.02048,0,0.024045,0.013312,0.105747,0.057837
1,double,uniform,GPU,"Ns | Ns",320,2,0.019456,0,0.023576,0.013312,0.101911,0.056344
1,double,uniform,GPU,"Ns | Ns",320,3,0.018432,0,0.023455,0.012288,0.100533,0.054175
1,double,uniform,GPU,"Ns | Ns",320,4,0.019456,0,0.023274,0.011264,0.100569,0.053994
1,double,uniform,GPU,"Ns | Ns",320,5,0.019456,0,0.023449,0.012288,0.09928,0.055193
1,double,uniform,GPU,"Ns | Ns",320,6,0.018432,0,0.022849,0.012288,0.098639,0.053569
1,double,uniform,GPU,"Ns | Ns",320,7,0.017408,0,0.022922,0.011264,0.099009,0.051594
1,double,uniform,GPU,"Ns | Ns",320,8,0.017408,0,0.022863,0.011264,0.098566,0.051535
1,double,uniform,GPU,"Ns | Ns",320,9,0.018432,0,0.023536,0.012288,0.099943,0.054256
1,double,uniform,GPU,"Ns | Ns",320,10,0.018432,0,0.023413,0.011264,0.100537,0.053109
1,double,uniform,GPU,"Ns | Ns",320,11,0.019456,0,0.022599,0.012288,0.099778,0.054343
1,double,uniform,GPU,"Ns | Ns",320,12,0.019456,0,0.022443,0.012288,0.098888,0.054187
1,double,uniform,GPU,"Ns | Ns",320,13,0.018432,0,0.02265,0.012288,0.100055,0.05337
1,double,uniform,GPU,"Ns | Ns",320,14,0.019456,0,0.022851,0.012288,0.104764,0.054595
1,double,uniform,GPU,"Ns | Ns",320,15,0.018432,0,0.022766,0.013312,0.099443,0.05451
1,double,uniform,GPU,"Ns | Ns",320,16,0.019456,0,0.022531,0.012288,0.100367,0.054275
1,double,uniform,GPU,"Ns | Ns",320,17,0.019456,0,0.022824,0.012288,0.100166,0.054568
1,double,uniform,GPU,"Ns | Ns",320,18,0.019456,0,0.022586,0.013312,0.099459,0.055354
1,double,uniform,GPU,"Ns | Ns",320,19,0.019456,0,0.022843,0.012288,0.100939,0.054587
1,double,uniform,GPU,"Ns | Ns",384,0,0.041984,0,0.038428,0.022528,0.167145,0.10294
1,double,uniform,GPU,"Ns | Ns",384,1,0.02048,0,0.026615,0.014336,0.109362,0.061431
