dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"Ds | Ns",64,0,0.07088,0,0.078981,0.380928,0.623232,0.530789
1,float,uniform,CPU,"Ds | Ns",64,1,0.027296,0,0.035466,0.014336,0.13325,0.077098
1,float,uniform,CPU,"Ds | Ns",64,2,0.026624,0,0.027568,0.01536,0.121353,0.069552
1,float,uniform,CPU,"Ds | Ns",64,3,0.025024,0,0.026746,0.011264,0.1168,0.063034
1,float,uniform,CPU,"Ds | Ns",64,4,0.02608,0,0.026391,0.012288,0.117587,0.064759
1,float,uniform,CPU,"Ds | Ns",64,5,0.025824,0,0.026461,0.012288,0.123448,0.064573
1,float,uniform,CPU,"Ds | Ns",64,6,0.025376,0,0.026693,0.012288,0.115731,0.064357
1,float,uniform,CPU,"Ds | Ns",64,7,0.025632,0,0.027364,0.013312,0.122443,0.066308
1,float,uniform,CPU,"Ds | Ns",64,8,0.026976,0,0.02608,0.012288,0.117951,0.065344
1,float,uniform,CPU,"Ds | Ns",64,9,0.0256,0,0.026152,0.012288,0.114851,0.06404
1,float,uniform,CPU,"Ds | Ns",64,10,0.02592,0,0.026298,0.012288,0.116223,0.064506
1,float,uniform,CPU,"Ds | Ns",64,11,0.025888,0,0.026299,0.012288,0.116098,0.064475
1,float,uniform,CPU,"Ds | Ns",64,12,0.02528,0,0.026202,0.012288,0.115347,0.06377
1,float,uniform,CPU,"Ds | Ns",64,13,0.026208,0,0.026128,0.012288,0.116336,0.064624
1,float,uniform,CPU,"Ds | Ns",64,14,0.02592,0,0.025511,0.013312,0.114878,0.064743
1,float,uniform,CPU,"Ds | Ns",64,15,0.026336,0,0.026875,0.011264,0.116829,0.064475
1,float,uniform,CPU,"Ds | Ns",64,16,0.025952,0,0.026324,0.011264,0.115206,0.06354
1,float,uniform,CPU,"Ds | Ns",64,17,0.02544,0,0.026107,0.012288,0.114827,0.063835
1,float,uniform,CPU,"Ds | Ns",64,18,0.02592,0,0.026528,0.013312,0.11613,0.06576
1,float,uniform,CPU,"Ds | Ns",64,19,0.027232,0,0.026696,0.012288,0.117644,0.066216
1,float,uniform,CPU,"Ds | Ns",128,0,0.035424,0,0.04234,0.021504,0.162568,0.099268
1,float,uniform,CPU,"Ds | Ns",128,1,0.029344,0,0.028915,0.017408,0.133314,0.075667
1,float,uniform,CPU,"Ds | Ns",128,2,0.028544,0,0.027077,0.014336,0.122875,0.069957
1,float,uniform,CPU,"Ds | Ns",128,3,0.026528,0,0.026767,0.012288,0.118703,0.065583
1,float,uniform,CPU,"Ds | Ns",128,4,0.026016,0,0.026472,0.012288,0.117529,0.064776
1,float,uniform,CPU,"Ds | Ns",128,5,0.0264,0,0.026022,0.012288,0.116413,0.06471
1,float,uniform,CPU,"Ds | Ns",128,6,0.027712,0,0.026718,0.012288,0.11873,0.066718
1,float,uniform,CPU,"Ds | Ns",128,7,0.0264,0,0.026943,0.012288,0.117521,0.065631
1,float,uniform,CPU,"Ds | Ns",128,8,0.025536,0,0.026707,0.012288,0.116453,0.064531
1,float,uniform,CPU,"Ds | Ns",128,9,0.026176,0,0.026859,0.013312,0.116966,0.066347
1,float,uniform,CPU,"Ds | Ns",128,10,0.025024,0,0.106907,0.013312,0.200261,0.145243
1,float,uniform,CPU,"Ds | Ns",128,11,0.024896,0,0.028187,0.013312,0.121321,0.066395
1,float,uniform,CPU,"Ds | Ns",128,12,0.027488,0,0.025692,0.012288,0.116454,0.065468
1,float,uniform,CPU,"Ds | Ns",128,13,0.026304,0,0.025996,0.011264,0.11615,0.063564
1,float,uniform,CPU,"Ds | Ns",128,14,0.026048,0,0.026289,0.012288,0.117187,0.064625
1,float,uniform,CPU,"Ds | Ns",128,15,0.027104,0,0.025909,0.012288,0.11757,0.065301
1,float,uniform,CPU,"Ds | Ns",128,16,0.026592,0,0.026363,0.012288,0.119985,0.065243
1,float,uniform,CPU,"Ds | Ns",128,17,0.02448,0,0.026193,0.012288,0.115365,0.062961
1,float,uniform,CPU,"Ds | Ns",128,18,0.025888,0,0.026787,0.132096,0.234667,0.184771
1,float,uniform,CPU,"Ds | Ns",128,19,0.0248,0,0.026377,0.012288,0.115874,0.063465
1,float,uniform,CPU,"Ds | Ns",192,0,0.036416,0,0.04808,0.019456,0.169109,0.103952
1,float,uniform,CPU,"Ds | Ns",192,1,0.028544,0,0.032356,0.016384,0.131409,0.077284
1,float,uniform,CPU,"Ds | Ns",192,2,0.027296,0,0.031117,0.017408,0.128819,0.075821
1,float,uniform,CPU,"Ds | Ns",192,3,0.032224,0,0.030886,0.014336,0.128448,0.077446
1,float,uniform,CPU,"Ds | Ns",192,4,0.026208,0,0.030074,0.012288,0.120493,0.06857
1,float,uniform,CPU,"Ds | Ns",192,5,0.026816,0,0.030198,0.011264,0.121628,0.068278
1,float,uniform,CPU,"Ds | Ns",192,6,0.026752,0,0.02939,0.012288,0.12033,0.06843
1,float,uniform,CPU,"Ds | Ns",192,7,0.02624,0,0.029421,0.011264,0.120087,0.066925
1,float,uniform,CPU,"Ds | Ns",192,8,0.02528,0,0.029265,0.013312,0.119014,0.067857
1,float,uniform,CPU,"Ds | Ns",192,9,0.035872,0,0.029447,0.013312,0.128907,0.078631
1,float,uniform,CPU,"Ds | Ns",192,10,0.024992,0,0.030058,0.012288,0.118658,0.067338
1,float,uniform,CPU,"Ds | Ns",192,11,0.026304,0,0.029819,0.011264,0.119613,0.067387
1,float,uniform,CPU,"Ds | Ns",192,12,0.025312,0,0.029517,0.012288,0.119486,0.067117
1,float,uniform,CPU,"Ds | Ns",192,13,0.025792,0,0.029271,0.012288,0.11897,0.067351
1,float,uniform,CPU,"Ds | Ns",192,14,0.028832,0,0.030974,0.012288,0.125861,0.072094
1,float,uniform,CPU,"Ds | Ns",192,15,0.02704,0,0.029777,0.014336,0.123227,0.071153
1,float,uniform,CPU,"Ds | Ns",192,16,0.026912,0,0.029254,0.011264,0.118822,0.06743
1,float,uniform,CPU,"Ds | Ns",192,17,0.02688,0,0.029257,0.011264,0.118729,0.067401
1,float,uniform,CPU,"Ds | Ns",192,18,0.026464,0,0.029003,0.012288,0.119593,0.067755
1,float,uniform,CPU,"Ds | Ns",192,19,0.03168,0,0.029795,0.012288,0.125863,0.073763
1,float,uniform,CPU,"Ds | Ns",256,0,0.039232,0,0.055056,0.024576,0.196368,0.118864
1,float,uniform,CPU,"Ds | Ns",256,1,0.026848,0,0.028975,0.017408,0.124854,0.073231
1,float,uniform,CPU,"Ds | Ns",256,2,0.027744,0,0.027198,0.013312,0.118996,0.068254
1,float,uniform,CPU,"Ds | Ns",256,3,0.027072,0,0.026948,0.013312,0.118203,0.067332
1,float,uniform,CPU,"Ds | Ns",256,4,0.026368,0,0.026655,0.012288,0.119559,0.065311
1,float,uniform,CPU,"Ds | Ns",256,5,0.02624,0,0.027948,0.012256,0.119999,0.066444
1,float,uniform,CPU,"Ds | Ns",256,6,0.02864,0,0.026701,0.014336,0.122277,0.069677
1,float,uniform,CPU,"Ds | Ns",256,7,0.025408,0,0.026771,0.012288,0.117486,0.064467
1,float,uniform,CPU,"Ds | Ns",256,8,0.031072,0,0.02642,0.011264,0.120644,0.068756
1,float,uniform,CPU,"Ds | Ns",256,9,0.026592,0,0.026233,0.012288,0.115847,0.065113
1,float,uniform,CPU,"Ds | Ns",256,10,0.02736,0,0.026581,0.013312,0.117488,0.067253
1,float,uniform,CPU,"Ds | Ns",256,11,0.02464,0,0.027141,0.012288,0.116971,0.064069
1,float,uniform,CPU,"Ds | Ns",256,12,0.026016,0,0.026966,0.012288,0.116005,0.06527
1,float,uniform,CPU,"Ds | Ns",256,13,0.026592,0,0.026776,0.013312,0.116803,0.06668
1,float,uniform,CPU,"Ds | Ns",256,14,0.027136,0,0.027001,0.012288,0.118452,0.066425
1,float,uniform,CPU,"Ds | Ns",256,15,0.025664,0,0.027094,0.012288,0.116681,0.065046
1,float,uniform,CPU,"Ds | Ns",256,16,0.028864,0,0.026718,0.012288,0.119133,0.06787
1,float,uniform,CPU,"Ds | Ns",256,17,0.02496,0,0.02685,0.013312,0.116012,0.065122
1,float,uniform,CPU,"Ds | Ns",256,18,0.026016,0,0.044151,0.013312,0.134167,0.083479
1,float,uniform,CPU,"Ds | Ns",256,19,0.024736,0,0.027063,0.012288,0.115342,0.064087
1,float,uniform,CPU,"Ds | Ns",320,0,0.034272,0,0.044874,0.018432,0.160162,0.097578
1,float,uniform,CPU,"Ds | Ns",320,1,0.028896,0,0.028449,0.013312,0.126078,0.070657
1,float,uniform,CPU,"Ds | Ns",320,2,0.02688,0,0.027495,0.014336,0.120256,0.068711
1,float,uniform,CPU,"Ds | Ns",320,3,0.026336,0,0.027145,0.014336,0.118434,0.067817
1,float,uniform,CPU,"Ds | Ns",320,4,0.027168,0,0.026995,0.012288,0.118526,0.066451
1,float,uniform,CPU,"Ds | Ns",320,5,0.026176,0,0.026693,0.012288,0.11707,0.065157
