dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"N | N",64,0,0.071072,0,0.071404,0.367616,0.603758,0.510092
1,float,uniform,CPU,"N | N",64,1,0.028864,0,0.027214,0.01536,0.126852,0.071438
1,float,uniform,CPU,"N | N",64,2,0.027136,0,0.024173,0.013312,0.120122,0.064621
1,float,uniform,CPU,"N | N",64,3,0.02656,0,0.023301,0.013312,0.114955,0.063173
1,float,uniform,CPU,"N | N",64,4,0.027168,0,0.023687,0.013312,0.122293,0.064167
1,float,uniform,CPU,"N | N",64,5,0.026656,0,0.023379,0.012288,0.11497,0.062323
1,float,uniform,CPU,"N | N",64,6,0.026432,0,0.023154,0.011264,0.113601,0.06085
1,float,uniform,CPU,"N | N",64,7,0.026304,0,0.023228,0.013312,0.113277,0.062844
1,float,uniform,CPU,"N | N",64,8,0.028896,0,0.022746,0.013312,0.116296,0.064954
1,float,uniform,CPU,"N | N",64,9,0.027488,0,0.022679,0.012288,0.114596,0.062455
1,float,uniform,CPU,"N | N",64,10,0.026912,0,0.022259,0.012288,0.11289,0.061459
1,float,uniform,CPU,"N | N",64,11,0.026688,0,0.022276,0.013312,0.113651,0.062276
1,float,uniform,CPU,"N | N",64,12,0.027328,0,0.022495,0.014336,0.114489,0.064159
1,float,uniform,CPU,"N | N",64,13,0.026208,0,0.022381,0.013312,0.113641,0.061901
1,float,uniform,CPU,"N | N",64,14,0.025472,0,0.022798,0.012288,0.112432,0.060558
1,float,uniform,CPU,"N | N",64,15,0.02608,0,0.022253,0.013312,0.113305,0.061645
1,float,uniform,CPU,"N | N",64,16,0.027136,0,0.022514,0.011264,0.11399,0.060914
1,float,uniform,CPU,"N | N",64,17,0.026656,0,0.022548,0.011264,0.112953,0.060468
1,float,uniform,CPU,"N | N",64,18,0.026112,0,0.022733,0.011264,0.113168,0.060109
1,float,uniform,CPU,"N | N",64,19,0.026432,0,0.02239,0.012288,0.113583,0.06111
1,float,uniform,CPU,"N | N",128,0,0.039584,0,0.061648,0.031744,0.216477,0.132976
1,float,uniform,CPU,"N | N",128,1,0.028384,0,0.034703,0.016384,0.132502,0.079471
1,float,uniform,CPU,"N | N",128,2,0.027968,0,0.033744,0.014336,0.131133,0.076048
1,float,uniform,CPU,"N | N",128,3,0.027104,0,0.032804,0.013312,0.125752,0.07322
1,float,uniform,CPU,"N | N",128,4,0.025984,0,0.032443,0.013312,0.123318,0.071739
1,float,uniform,CPU,"N | N",128,5,0.026432,0,0.032312,0.013312,0.123539,0.072056
1,float,uniform,CPU,"N | N",128,6,0.025216,0,0.032421,0.013312,0.123585,0.070949
1,float,uniform,CPU,"N | N",128,7,0.02592,0,0.033088,0.011264,0.1236,0.070272
1,float,uniform,CPU,"N | N",128,8,0.025856,0,0.033011,0.013312,0.13247,0.072179
1,float,uniform,CPU,"N | N",128,9,0.02576,0,0.032559,0.011264,0.123117,0.069583
1,float,uniform,CPU,"N | N",128,10,0.026528,0,0.032817,0.013312,0.122936,0.072657
1,float,uniform,CPU,"N | N",128,11,0.025504,0,0.03347,0.012288,0.25585,0.071262
1,float,uniform,CPU,"N | N",128,12,0.026656,0,0.032648,0.012288,0.124105,0.071592
1,float,uniform,CPU,"N | N",128,13,0.025184,0,0.032641,0.012288,0.122613,0.070113
