dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,0,0.034688,0.004085,0.051661,0.293888,0.715266,0.384322
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,1,0.023552,0.003819,0.03826,0.053248,0.301115,0.118879
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,2,0.028384,0.003897,0.031423,0.0512,0.415197,0.114904
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,3,0.025984,0.003705,0.030382,0.050176,0.291158,0.110247
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,4,0.02672,0.00374,0.03005,0.0512,0.292177,0.11171
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,5,0.0272,0.003673,0.029939,0.050176,0.290443,0.110988
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,6,0.027008,0.00363,0.030595,0.0512,0.291011,0.112433
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,7,0.028672,0.003738,0.029702,0.050176,0.291601,0.112288
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,8,0.026848,0.003707,0.029898,0.050176,0.29018,0.110629
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,9,0.027424,0.003652,0.030233,0.050176,0.290863,0.111485
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,10,0.028768,0.003766,0.031525,0.050176,0.299466,0.114235
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,11,0.028224,0.003759,0.029879,0.050176,0.290981,0.112038
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,12,0.026688,0.003725,0.030248,0.050176,0.291024,0.110837
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,13,0.02704,0.003835,0.030159,0.050176,0.29094,0.11121
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,14,0.027296,0.003634,0.030318,0.0512,0.291699,0.112448
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,15,0.028576,0.003843,0.029724,0.050176,0.29226,0.112319
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,16,0.028,0.003939,0.030157,0.050176,0.295312,0.112272
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,17,0.028192,0.003763,0.030432,0.055296,0.297346,0.117683
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,18,0.027136,0.003588,0.030077,0.050176,0.289826,0.110977
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,19,0.028192,0.003761,0.02943,0.050176,0.291143,0.111559
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,0,0.06944,0.004285,0.20682,0.198656,0.821487,0.479201
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,1,0.067488,0.003796,0.19316,0.195584,0.793808,0.460028
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,2,0.067808,0.003757,0.19422,0.192512,0.792994,0.458297
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,3,0.072064,0.004301,0.193925,0.193536,0.803124,0.463826
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,4,0.068256,0.003823,0.193507,0.192512,0.794157,0.458098
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,5,0.066496,0.003813,0.191396,0.19456,0.788963,0.456265
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,6,0.06752,0.003996,0.192639,0.193536,0.794372,0.457691
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,7,0.06688,0.003866,0.192381,0.193536,0.796987,0.456663
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,8,0.06832,0.00421,0.192839,0.195584,0.796179,0.460953
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,9,0.066528,0.003833,0.193611,0.193536,0.79097,0.457508
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,10,0.066528,0.003868,0.196596,0.191488,0.793545,0.45848
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,11,0.067936,0.003827,0.190755,0.192512,0.790415,0.45503
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,12,0.067968,0.003767,0.19255,0.198656,0.797185,0.462941
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,13,0.06672,0.004133,0.192693,0.19456,0.791275,0.458106
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,14,0.067584,0.011985,0.191265,0.19456,0.804499,0.465394
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,15,0.066368,0.003783,0.191493,0.192512,0.790494,0.454156
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,16,0.067872,0.003995,0.191342,0.195584,0.7942,0.458793
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,17,0.067008,0.003737,0.191429,0.192512,0.793366,0.454686
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,18,0.067264,0.003924,0.194492,0.19456,0.794696,0.46024
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,19,0.066272,0.003866,0.192827,0.19456,0.797329,0.457525
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,0,0.171424,0.00444,0.608611,0.385024,1.76873,1.1695
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,1,0.16304,0.00462,0.589081,0.37888,1.72816,1.13562
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,2,0.164736,0.004747,0.590038,0.37888,1.72743,1.1384
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,3,0.165952,0.004234,0.588002,0.37888,1.72517,1.13707
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,4,0.16592,0.004285,0.589366,0.37888,1.72523,1.13845
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,5,0.17152,0.004252,0.591549,0.376832,1.72939,1.14415
