dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | D | N",64,0,0.039232,0.004044,0.106478,0.442368,0.740825,0.592122
3,double,uniform,GPU,"P | P | P | P | D | N",64,1,0.029632,0.003855,0.082921,0.028672,0.296018,0.14508
3,double,uniform,GPU,"P | P | P | P | D | N",64,2,0.027392,0.003724,0.072823,0.027648,0.278978,0.131587
3,double,uniform,GPU,"P | P | P | P | D | N",64,3,0.028448,0.003669,0.072751,0.029696,0.277228,0.134564
3,double,uniform,GPU,"P | P | P | P | D | N",64,4,0.027232,0.003706,0.072956,0.028672,0.277807,0.132566
3,double,uniform,GPU,"P | P | P | P | D | N",64,5,0.028768,0.003642,0.072662,0.029696,0.275626,0.134768
3,double,uniform,GPU,"P | P | P | P | D | N",64,6,0.027168,0.003663,0.072617,0.029696,0.277132,0.133144
3,double,uniform,GPU,"P | P | P | P | D | N",64,7,0.0296,0.003799,0.075159,0.027648,0.278959,0.136206
3,double,uniform,GPU,"P | P | P | P | D | N",64,8,0.02816,0.003786,0.073218,0.028672,0.274967,0.133836
3,double,uniform,GPU,"P | P | P | P | D | N",64,9,0.027904,0.003679,0.073015,0.028672,0.277911,0.13327
3,double,uniform,GPU,"P | P | P | P | D | N",64,10,0.029024,0.003681,0.07344,0.028672,0.276605,0.134817
3,double,uniform,GPU,"P | P | P | P | D | N",64,11,0.02912,0.003538,0.0724,0.026624,0.273774,0.131682
3,double,uniform,GPU,"P | P | P | P | D | N",64,12,0.027168,0.00371,0.07376,0.028672,0.275787,0.13331
3,double,uniform,GPU,"P | P | P | P | D | N",64,13,0.028768,0.003723,0.073033,0.027648,0.279634,0.133172
3,double,uniform,GPU,"P | P | P | P | D | N",64,14,0.026688,0.003673,0.073009,0.0256,0.273318,0.12897
3,double,uniform,GPU,"P | P | P | P | D | N",64,15,0.030624,0.003726,0.072736,0.027648,0.361311,0.134734
3,double,uniform,GPU,"P | P | P | P | D | N",64,16,0.027616,0.003652,0.077345,0.027648,0.279138,0.136261
3,double,uniform,GPU,"P | P | P | P | D | N",64,17,0.029632,0.003645,0.073202,0.0256,0.275573,0.132079
3,double,uniform,GPU,"P | P | P | P | D | N",64,18,0.027392,0.003655,0.073289,0.028672,0.278122,0.133008
3,double,uniform,GPU,"P | P | P | P | D | N",64,19,0.027936,0.003609,0.07383,0.026624,0.275314,0.131999
3,double,uniform,GPU,"P | P | P | P | D | N",128,0,0.109888,0.004082,0.524155,0.247808,1.03855,0.885933
3,double,uniform,GPU,"P | P | P | P | D | N",128,1,0.106592,0.003932,0.49779,0.241664,0.995152,0.849978
3,double,uniform,GPU,"P | P | P | P | D | N",128,2,0.10112,0.00397,0.495124,0.239616,0.986509,0.83983
3,double,uniform,GPU,"P | P | P | P | D | N",128,3,0.100832,0.004265,0.505836,0.241664,0.999358,0.852597
3,double,uniform,GPU,"P | P | P | P | D | N",128,4,0.107552,0.003906,0.498341,0.243712,0.999702,0.853511
3,double,uniform,GPU,"P | P | P | P | D | N",128,5,0.107392,0.004264,0.500954,0.238592,1.00657,0.851202
3,double,uniform,GPU,"P | P | P | P | D | N",128,6,0.102304,0.00407,0.50151,0.241664,0.995936,0.849548
3,double,uniform,GPU,"P | P | P | P | D | N",128,7,0.11344,0.003966,0.499638,0.239616,1.00234,0.85666
3,double,uniform,GPU,"P | P | P | P | D | N",128,8,0.104288,0.004111,0.500514,0.243712,1.00073,0.852625
3,double,uniform,GPU,"P | P | P | P | D | N",128,9,0.102336,0.004057,0.501546,0.237568,0.997343,0.845507
3,double,uniform,GPU,"P | P | P | P | D | N",128,10,0.103008,0.004031,0.497579,0.24064,0.993917,0.845258
3,double,uniform,GPU,"P | P | P | P | D | N",128,11,0.107456,0.004044,0.508534,0.241664,1.00784,0.861698
3,double,uniform,GPU,"P | P | P | P | D | N",128,12,0.10288,0.004023,0.502503,0.24064,0.997803,0.850046
3,double,uniform,GPU,"P | P | P | P | D | N",128,13,0.108352,0.003902,0.502584,0.243712,1.00346,0.85855
3,double,uniform,GPU,"P | P | P | P | D | N",128,14,0.106688,0.003908,0.499934,0.241664,0.9979,0.852194
3,double,uniform,GPU,"P | P | P | P | D | N",128,15,0.111424,0.004042,0.502905,0.24064,1.04018,0.859011
3,double,uniform,GPU,"P | P | P | P | D | N",128,16,0.10816,0.004008,0.497632,0.241664,0.997286,0.851464
3,double,uniform,GPU,"P | P | P | P | D | N",128,17,0.105504,0.010751,0.499356,0.237568,1.00069,0.853179
3,double,uniform,GPU,"P | P | P | P | D | N",128,18,0.108768,0.003849,0.498894,0.237568,0.99589,0.849079
3,double,uniform,GPU,"P | P | P | P | D | N",128,19,0.107936,0.003941,0.498168,0.24064,0.996164,0.850685
3,double,uniform,GPU,"P | P | P | P | D | N",192,0,0.314272,0.00419,1.60436,0.760832,2.83065,2.68365
