dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,11,1.36064,0,6.37153,1.53907,9.39592,9.27124
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,12,1.36304,0,6.37679,1.53907,9.40519,9.2789
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,13,1.3625,0,6.37652,1.54522,9.40792,9.28423
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,14,1.36074,0,6.37467,1.54112,9.40087,9.27652
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,15,1.36096,0,6.36544,1.54112,9.39122,9.26752
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,16,1.36301,0,6.3653,1.54112,9.39414,9.26943
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,17,1.36896,0,6.37109,1.54419,9.40834,9.28424
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,18,1.36371,0,6.36247,1.54829,9.39956,9.27447
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,19,1.36637,0,6.36432,1.54112,9.39665,9.27181
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,0,2.42275,0,11.3875,2.68595,16.6205,16.4962
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,1,2.41021,0,11.3346,2.68595,16.5574,16.4307
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,2,2.40947,0,11.3492,2.6839,16.5669,16.4426
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,3,2.41056,0,11.3493,2.6839,16.5675,16.4438
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,4,2.41581,0,11.3433,2.69312,16.577,16.4522
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,5,2.41642,0,11.3319,2.68698,16.5596,16.4353
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,6,2.4151,0,11.346,2.68186,16.5678,16.4429
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,7,2.40957,0,11.3189,2.68595,16.5388,16.4145
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,8,2.41085,0,11.325,2.69517,16.556,16.431
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,9,2.41027,0,11.3374,2.69005,16.5633,16.4377
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,10,2.40662,0,11.3401,2.68083,16.5522,16.4275
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,11,2.41517,0,11.3296,2.68698,16.5576,16.4318
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,12,2.41152,0,11.3358,2.6839,16.5571,16.4312
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,13,2.40886,0,11.3342,2.69005,16.5579,16.4331
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,14,2.40781,0,11.331,2.688,16.5505,16.4268
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,15,2.4137,0,11.3334,2.68186,16.5548,16.4289
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,16,2.40867,0,11.3395,2.67776,16.5516,16.4259
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,17,2.41462,0,11.3343,2.6839,16.5559,16.4329
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,18,2.412,0,11.335,2.67878,16.5514,16.4257
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,19,2.41213,0,11.342,2.688,16.5638,16.4421
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,0,3.7615,0,27.9101,4.35814,36.1545,36.0298
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,1,3.75888,0,27.892,4.36736,36.1446,36.0183
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,2,3.75811,0,27.9084,4.37043,36.1622,36.037
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,3,3.75981,0,27.9118,4.35712,36.1511,36.0287
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,4,3.75718,0,27.8953,4.36224,36.1376,36.0148
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,5,3.75222,0,27.8932,4.35917,36.131,36.0046
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,6,3.74858,0,27.8992,4.36838,36.1434,36.0162
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,7,3.75261,0,27.9029,4.36941,36.1511,36.0249
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,8,3.7545,0,27.9004,4.36531,36.1459,36.0202
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,9,3.75171,0,27.8973,4.36736,36.1426,36.0163
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,10,3.74864,0,27.9021,4.36224,36.1384,36.013
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,11,3.75376,0,27.8962,4.36326,36.14,36.0133
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,12,3.74886,0,27.9014,4.37248,36.1506,36.0227
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,13,3.75162,0,27.9018,4.3817,36.1596,36.0351
