dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"Ns | Ds",64,0,0.074752,0,0.055347,0.364544,0.579597,0.494643
1,float,uniform,GPU,"Ns | Ds",64,1,0.02048,0,0.032129,0.012288,0.115487,0.064897
1,float,uniform,GPU,"Ns | Ds",64,2,0.02048,0,0.025329,0.012288,0.105558,0.058097
1,float,uniform,GPU,"Ns | Ds",64,3,0.019456,0,0.024464,0.013312,0.104378,0.057232
1,float,uniform,GPU,"Ns | Ds",64,4,0.018432,0,0.024591,0.013312,0.103377,0.056335
1,float,uniform,GPU,"Ns | Ds",64,5,0.018432,0,0.024301,0.012288,0.103461,0.055021
1,float,uniform,GPU,"Ns | Ds",64,6,0.018432,0,0.024573,0.012288,0.103537,0.055293
1,float,uniform,GPU,"Ns | Ds",64,7,0.018432,0,0.025215,0.012288,0.111082,0.055935
1,float,uniform,GPU,"Ns | Ds",64,8,0.018432,0,0.024958,0.011264,0.10258,0.054654
1,float,uniform,GPU,"Ns | Ds",64,9,0.018432,0,0.024721,0.011264,0.102367,0.054417
1,float,uniform,GPU,"Ns | Ds",64,10,0.024576,0,0.024371,0.013312,0.109061,0.062259
1,float,uniform,GPU,"Ns | Ds",64,11,0.018432,0,0.024146,0.012288,0.102278,0.054866
1,float,uniform,GPU,"Ns | Ds",64,12,0.019456,0,0.025,0.012288,0.103977,0.056744
1,float,uniform,GPU,"Ns | Ds",64,13,0.018432,0,0.025063,0.011264,0.103001,0.054759
1,float,uniform,GPU,"Ns | Ds",64,14,0.017408,0,0.025588,0.012288,0.103768,0.055284
1,float,uniform,GPU,"Ns | Ds",64,15,0.019456,0,0.024657,0.012288,0.103042,0.056401
1,float,uniform,GPU,"Ns | Ds",64,16,0.108544,0,0.024337,0.011264,0.191799,0.144145
1,float,uniform,GPU,"Ns | Ds",64,17,0.021504,0,0.024092,0.011264,0.103556,0.05686
1,float,uniform,GPU,"Ns | Ds",64,18,0.019456,0,0.024738,0.011264,0.103216,0.055458
1,float,uniform,GPU,"Ns | Ds",64,19,0.019456,0,0.030613,0.012288,0.110073,0.062357
1,float,uniform,GPU,"Ns | Ds",128,0,0.032768,0,0.036946,0.018432,0.143317,0.088146
1,float,uniform,GPU,"Ns | Ds",128,1,0.021504,0,0.025748,0.013312,0.110194,0.060564
1,float,uniform,GPU,"Ns | Ds",128,2,0.024576,0,0.025462,0.013312,0.110464,0.06335
1,float,uniform,GPU,"Ns | Ds",128,3,0.019456,0,0.025813,0.012288,0.105687,0.057557
1,float,uniform,GPU,"Ns | Ds",128,4,0.017408,0,0.025238,0.011264,0.104032,0.05391
1,float,uniform,GPU,"Ns | Ds",128,5,0.021504,0,0.025431,0.012288,0.10804,0.059223
1,float,uniform,GPU,"Ns | Ds",128,6,0.018432,0,0.024781,0.011264,0.102946,0.054477
1,float,uniform,GPU,"Ns | Ds",128,7,0.019456,0,0.024894,0.012288,0.103918,0.056638
1,float,uniform,GPU,"Ns | Ds",128,8,0.018432,0,0.024411,0.011264,0.102241,0.054107
1,float,uniform,GPU,"Ns | Ds",128,9,0.018432,0,0.024575,0.012288,0.103055,0.055295
1,float,uniform,GPU,"Ns | Ds",128,10,0.019456,0,0.024469,0.016384,0.107715,0.060309
1,float,uniform,GPU,"Ns | Ds",128,11,0.019456,0,0.02533,0.013312,0.104116,0.058098
1,float,uniform,GPU,"Ns | Ds",128,12,0.019456,0,0.02469,0.013312,0.102841,0.057458
1,float,uniform,GPU,"Ns | Ds",128,13,0.019456,0,0.024372,0.013312,0.102991,0.05714
1,float,uniform,GPU,"Ns | Ds",128,14,0.02048,0,0.02514,0.012288,0.104978,0.057908
1,float,uniform,GPU,"Ns | Ds",128,15,0.019456,0,0.024678,0.013312,0.106698,0.057446
1,float,uniform,GPU,"Ns | Ds",128,16,0.019456,0,0.024295,0.011264,0.102581,0.055015
1,float,uniform,GPU,"Ns | Ds",128,17,0.02048,0,0.024931,0.018432,0.111143,0.063843
1,float,uniform,GPU,"Ns | Ds",128,18,0.019456,0,0.024416,0.013312,0.102367,0.057184
