dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"D | D | D | D | N | D",64,0,0.036736,0.00407,0.11752,0.375808,0.672575,0.534134
3,double,uniform,GPU,"D | D | D | D | N | D",64,1,0.028256,0.003854,0.09453,0.019456,0.28097,0.146096
3,double,uniform,GPU,"D | D | D | D | N | D",64,2,0.025632,0.003659,0.0908,0.016384,0.27194,0.136475
3,double,uniform,GPU,"D | D | D | D | N | D",64,3,0.025024,0.003766,0.089237,0.016384,0.2689,0.134411
3,double,uniform,GPU,"D | D | D | D | N | D",64,4,0.025248,0.003654,0.091667,0.016384,0.362101,0.136953
3,double,uniform,GPU,"D | D | D | D | N | D",64,5,0.023264,0.003704,0.089388,0.01536,0.266854,0.131716
3,double,uniform,GPU,"D | D | D | D | N | D",64,6,0.023776,0.003632,0.090434,0.017408,0.269032,0.13525
3,double,uniform,GPU,"D | D | D | D | N | D",64,7,0.025088,0.003706,0.089715,0.016384,0.270884,0.134893
3,double,uniform,GPU,"D | D | D | D | N | D",64,8,0.026176,0.003734,0.089476,0.016384,0.270026,0.13577
3,double,uniform,GPU,"D | D | D | D | N | D",64,9,0.030144,0.003694,0.090895,0.016384,0.276391,0.141117
3,double,uniform,GPU,"D | D | D | D | N | D",64,10,0.025376,0.003719,0.090299,0.016384,0.269834,0.135778
3,double,uniform,GPU,"D | D | D | D | N | D",64,11,0.029376,0.003662,0.089765,0.017408,0.27421,0.140211
3,double,uniform,GPU,"D | D | D | D | N | D",64,12,0.028896,0.003711,0.09004,0.016384,0.27361,0.139031
3,double,uniform,GPU,"D | D | D | D | N | D",64,13,0.02448,0.003677,0.088724,0.016384,0.267345,0.133265
3,double,uniform,GPU,"D | D | D | D | N | D",64,14,0.025632,0.003672,0.088765,0.016384,0.266854,0.134453
3,double,uniform,GPU,"D | D | D | D | N | D",64,15,0.024128,0.003666,0.089367,0.02048,0.271471,0.137641
3,double,uniform,GPU,"D | D | D | D | N | D",64,16,0.024192,0.003656,0.089335,0.01536,0.267968,0.132543
3,double,uniform,GPU,"D | D | D | D | N | D",64,17,0.030496,0.003612,0.090068,0.0256,0.284929,0.149776
3,double,uniform,GPU,"D | D | D | D | N | D",64,18,0.02448,0.003665,0.08894,0.016384,0.26781,0.133469
3,double,uniform,GPU,"D | D | D | D | N | D",64,19,0.030048,0.003674,0.089194,0.018432,0.277211,0.141348
3,double,uniform,GPU,"D | D | D | D | N | D",128,0,0.104672,0.004413,0.616721,0.111616,0.97394,0.837422
3,double,uniform,GPU,"D | D | D | D | N | D",128,1,0.106912,0.003955,0.599423,0.103424,0.949932,0.813714
3,double,uniform,GPU,"D | D | D | D | N | D",128,2,0.107776,0.003969,0.597565,0.1024,0.948194,0.81171
3,double,uniform,GPU,"D | D | D | D | N | D",128,3,0.105952,0.00397,0.595171,0.104448,0.946329,0.809541
3,double,uniform,GPU,"D | D | D | D | N | D",128,4,0.10944,0.003898,0.594434,0.1024,0.946492,0.810172
3,double,uniform,GPU,"D | D | D | D | N | D",128,5,0.106432,0.00384,0.593933,0.1024,0.942351,0.806605
3,double,uniform,GPU,"D | D | D | D | N | D",128,6,0.105888,0.004003,0.600833,0.104448,0.952388,0.815172
3,double,uniform,GPU,"D | D | D | D | N | D",128,7,0.11264,0.003964,0.595563,0.100352,0.946265,0.812519
3,double,uniform,GPU,"D | D | D | D | N | D",128,8,0.10352,0.004002,0.59924,0.105472,0.952335,0.812234
