dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",256,12,0.023968,0,0.045678,0.013312,0.169603,0.082958
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",256,13,0.024928,0,0.05323,0.013312,0.177785,0.09147
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",256,14,0.0232,0,0.044697,0.014336,0.169402,0.082233
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",256,15,0.024256,0,0.04543,0.012288,0.169365,0.081974
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",256,16,0.023872,0,0.043834,0.013312,0.167842,0.081018
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",256,17,0.022848,0,0.044445,0.014336,0.167351,0.081629
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",256,18,0.023168,0,0.044329,0.013312,0.167829,0.080809
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",256,19,0.023552,0,0.044191,0.014336,0.168107,0.082079
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",320,0,0.021312,0,0.054554,0.019456,0.210497,0.095322
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",320,1,0.021312,0,0.048002,0.016384,0.198967,0.085698
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",320,2,0.02,0,0.04865,0.014336,0.194653,0.082986
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",320,3,0.020544,0,0.046978,0.013312,0.193029,0.080834
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",320,4,0.019392,0,0.048123,0.01536,0.193516,0.082875
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",320,5,0.021056,0,0.047062,0.01536,0.193784,0.083478
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",320,6,0.019136,0,0.047455,0.014336,0.199313,0.080927
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",320,7,0.020032,0,0.047594,0.021504,0.20074,0.08913
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",320,8,0.019776,0,0.047534,0.01536,0.193845,0.08267
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",320,9,0.02016,0,0.047327,0.014336,0.193338,0.081823
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",320,10,0.019584,0,0.047325,0.013312,0.192686,0.080221
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",320,11,0.019616,0,0.047103,0.014336,0.192444,0.081055
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",320,12,0.02032,0,0.047817,0.013312,0.19318,0.081449
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",320,13,0.018112,0,0.047558,0.013312,0.191812,0.078982
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",320,14,0.019712,0,0.047094,0.013312,0.19307,0.080118
