dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | P | P",64,0,1.08554,0,0.089138,0.48704,1.77423,1.66171
3,double,uniform,CPU,"P | P | P | P | P | P",64,1,1.05296,0,0.07599,0.039456,1.23572,1.16841
3,double,uniform,CPU,"P | P | P | P | P | P",64,2,0.977632,0,0.065544,0.035968,1.16094,1.07914
3,double,uniform,CPU,"P | P | P | P | P | P",64,3,1.02042,0,0.066326,0.034976,1.18699,1.12172
3,double,uniform,CPU,"P | P | P | P | P | P",64,4,0.9864,0,0.067347,0.037152,1.15767,1.0909
3,double,uniform,CPU,"P | P | P | P | P | P",64,5,0.995584,0,0.064754,0.035328,1.15908,1.09567
3,double,uniform,CPU,"P | P | P | P | P | P",64,6,0.985888,0,0.064916,0.036192,1.15107,1.087
3,double,uniform,CPU,"P | P | P | P | P | P",64,7,0.969824,0,0.065453,0.035008,1.13625,1.07028
3,double,uniform,CPU,"P | P | P | P | P | P",64,8,1.05395,0,0.064842,0.03632,1.22123,1.15511
3,double,uniform,CPU,"P | P | P | P | P | P",64,9,0.992704,0,0.064759,0.035296,1.15699,1.09276
3,double,uniform,CPU,"P | P | P | P | P | P",64,10,0.988128,0,0.065112,0.034368,1.15712,1.08761
3,double,uniform,CPU,"P | P | P | P | P | P",64,11,0.978816,0,0.065144,0.035968,1.14362,1.07993
3,double,uniform,CPU,"P | P | P | P | P | P",64,12,0.96928,0,0.065678,0.034688,1.13466,1.06965
3,double,uniform,CPU,"P | P | P | P | P | P",64,13,0.978976,0,0.066602,0.045184,1.16088,1.09076
3,double,uniform,CPU,"P | P | P | P | P | P",64,14,0.993312,0,0.065235,0.035296,1.16077,1.09384
3,double,uniform,CPU,"P | P | P | P | P | P",64,15,0.995104,0,0.065397,0.036608,1.16438,1.09711
3,double,uniform,CPU,"P | P | P | P | P | P",64,16,1.05056,0,0.064812,0.036576,1.21816,1.15195
3,double,uniform,CPU,"P | P | P | P | P | P",64,17,1.1328,0,0.064788,0.036288,1.29998,1.23388
3,double,uniform,CPU,"P | P | P | P | P | P",64,18,0.991872,0,0.064887,0.036384,1.15868,1.09314
3,double,uniform,CPU,"P | P | P | P | P | P",64,19,0.976128,0,0.064652,0.03744,1.15251,1.07822
3,double,uniform,CPU,"P | P | P | P | P | P",128,0,6.8832,0,0.61045,0.262368,7.83957,7.75602
3,double,uniform,CPU,"P | P | P | P | P | P",128,1,6.95315,0,0.552323,0.254688,7.83949,7.76016
3,double,uniform,CPU,"P | P | P | P | P | P",128,2,6.91699,0,0.551253,0.257408,7.80179,7.72565
3,double,uniform,CPU,"P | P | P | P | P | P",128,3,7.02797,0,0.552636,0.255392,7.91053,7.836
3,double,uniform,CPU,"P | P | P | P | P | P",128,4,6.97312,0,0.549367,0.256608,7.85472,7.77909
