dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,0,0.033632,0.004072,0.11338,0.365568,0.656185,0.516652
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,1,0.02976,0.003828,0.058154,0.016384,0.242435,0.108126
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,2,0.027808,0.003702,0.054246,0.01536,0.233998,0.101116
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,3,0.028768,0.003665,0.053909,0.01536,0.234175,0.101702
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,4,0.02768,0.003681,0.054692,0.01536,0.235048,0.101413
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,5,0.027552,0.003554,0.05262,0.016384,0.236949,0.10011
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,6,0.118656,0.003625,0.053132,0.01536,0.323755,0.190773
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,7,0.026592,0.0036,0.054303,0.01536,0.234346,0.099855
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,8,0.026944,0.003661,0.053188,0.01536,0.2315,0.099153
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,9,0.026816,0.003721,0.054123,0.01536,0.233645,0.10002
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,10,0.026816,0.003684,0.053333,0.01536,0.232324,0.099193
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,11,0.026752,0.003605,0.052764,0.01536,0.230774,0.098481
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,12,0.027456,0.003669,0.053823,0.01536,0.233281,0.100308
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,13,0.026048,0.003663,0.053021,0.014336,0.231388,0.097068
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,14,0.026432,0.003606,0.053159,0.014336,0.231309,0.097533
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,15,0.027424,0.003721,0.052903,0.01536,0.231685,0.099408
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,16,0.028512,0.003673,0.052612,0.018432,0.237804,0.103229
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,17,0.023264,0.003854,0.054719,0.014336,0.330647,0.096173
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,18,0.026336,0.003618,0.053034,0.01536,0.230154,0.098348
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,19,0.02624,0.003542,0.053996,0.016384,0.232335,0.100162
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,0,0.078464,0.004393,0.259715,0.069632,0.555408,0.412204
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,1,0.07792,0.003798,0.3222,0.063488,0.604096,0.467406
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,2,0.074816,0.003744,0.222373,0.063488,0.49935,0.364421
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,3,0.075712,0.003706,0.220011,0.060416,0.496165,0.359845
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,4,0.074272,0.003581,0.215115,0.060416,0.488064,0.353384
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,5,0.074944,0.003693,0.216514,0.060416,0.567404,0.355567
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,6,0.076992,0.003702,0.218603,0.060416,0.499366,0.359713
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,7,0.074176,0.00365,0.218474,0.062464,0.496602,0.358764
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,8,0.073856,0.003579,0.217039,0.06144,0.490738,0.355914
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,9,0.073184,0.003662,0.216899,0.060416,0.491006,0.354161
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,10,0.072736,0.003647,0.217574,0.059392,0.498213,0.353349
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,11,0.073824,0.003707,0.323405,0.062464,0.601697,0.4634
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,12,0.07264,0.003602,0.218478,0.060416,0.492453,0.355136
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,13,0.073536,0.00357,0.217227,0.059392,0.489696,0.353725
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,14,0.073792,0.003605,0.215915,0.059392,0.489211,0.352704
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,15,0.074912,0.003655,0.223265,0.060416,0.4969,0.362248
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,16,0.074848,0.003638,0.221055,0.059392,0.499236,0.358933
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,17,0.07408,0.003662,0.285583,0.060416,0.56204,0.423741
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,18,0.074272,0.003649,0.216251,0.060416,0.490313,0.354588
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,19,0.073824,0.003617,0.21767,0.060416,0.489665,0.355527
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,0,0.172192,0.004076,0.65277,0.224256,1.19258,1.05329
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,1,0.176128,0.004306,0.613884,0.223232,1.15545,1.01755
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,2,0.169728,0.00408,0.61883,0.222208,1.15569,1.01485
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,3,0.167552,0.004033,0.627548,0.221184,1.15914,1.02032
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,4,0.16864,0.004396,0.613877,0.224256,1.14883,1.01117
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,5,0.170208,0.004097,0.617055,0.22016,1.14895,1.01152
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,6,0.168768,0.00406,0.614857,0.221184,1.14762,1.00887
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,7,0.16656,0.003998,0.609352,0.221184,1.15098,1.00109
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,8,0.167776,0.004073,0.612748,0.222208,1.15305,1.00681
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,9,0.169824,0.004151,0.610393,0.224256,1.14716,1.00862
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,10,0.171936,0.004103,0.609731,0.221184,1.14765,1.00695
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,11,0.170912,0.004052,0.614769,0.221184,1.14647,1.01092
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,12,0.171808,0.004297,0.61336,0.223232,1.15156,1.0127
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,13,0.168768,0.004123,0.612805,0.222208,1.14739,1.0079
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,14,0.169248,0.00433,0.615144,0.222208,1.15068,1.01093
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,15,0.169792,0.004084,0.614811,0.222208,1.14968,1.01089
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,16,0.168544,0.004292,0.611926,0.219136,1.14168,1.0039
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,17,0.16912,0.004048,0.60758,0.224256,1.142,1.005
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,18,0.167648,0.003966,0.62158,0.221184,1.15163,1.01438
