dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",192,4,11.7454,0.004056,0.823028,0.443392,13.1105,13.0159
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",192,5,11.8044,0.003954,0.824296,0.446464,13.1691,13.0792
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",192,6,11.9405,0.004123,0.821605,0.444416,13.3033,13.2106
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",192,7,11.9777,0.004301,0.823925,0.442368,13.3386,13.2483
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",192,8,11.8508,0.004043,0.821753,0.447488,13.214,13.124
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",192,9,11.9296,0.003993,0.823768,0.439296,13.2886,13.1966
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",192,10,11.9532,0.004225,0.821577,0.444416,13.3133,13.2234
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",192,11,11.8094,0.004093,0.823614,0.44544,13.1707,13.0825
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",192,12,11.9961,0.004072,0.826721,0.444416,13.3627,13.2713
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",192,13,12.0207,0.004058,0.827907,0.442368,13.3875,13.295
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",192,14,11.8962,0.004322,0.821436,0.444416,13.2591,13.1664
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",192,15,11.8475,0.004212,0.819682,0.447488,13.2066,13.1188
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",192,16,11.9502,0.004716,0.825753,0.44032,13.3184,13.221
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",192,17,11.9303,0.003997,0.826,0.44544,13.2967,13.2057
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",192,18,11.8008,0.003976,0.826718,0.446464,13.1662,13.078
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",192,19,11.9915,0.00413,0.820992,0.448512,13.3565,13.2651
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",256,0,28.1801,0.004028,1.9341,0.997376,31.2114,31.1156
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",256,1,28.238,0.004273,1.87379,0.987136,31.1933,31.1033
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",256,2,28.2389,0.003838,1.87529,0.990208,31.1992,31.1083
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",256,3,28.4269,0.003948,1.88263,0.98816,31.3928,31.3017
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",256,4,28.2246,0.004322,1.95705,0.991232,31.2722,31.1772
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",256,5,28.2454,0.004109,1.88015,0.989184,31.2144,31.1188
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",256,6,28.5078,0.00412,1.87744,0.994304,31.4797,31.3836
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",256,7,28.4443,0.004212,1.87928,0.992256,31.4161,31.3201
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",256,8,28.3952,0.004275,1.93959,0.997376,31.4333,31.3364
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",256,9,28.2687,0.004129,1.87744,0.989184,31.239,31.1395
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",256,10,28.5113,0.004144,1.87681,0.985088,31.4718,31.3773
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",256,11,27.9225,0.003882,1.87746,0.986112,30.8866,30.79
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",256,12,28.432,0.004028,1.87651,0.9984,31.4082,31.311
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",256,13,28.4137,0.004058,1.87902,0.990208,31.3834,31.287
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",256,14,28.3591,0.00404,1.8789,0.991232,31.3308,31.2333
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",256,15,28.5399,0.004047,1.87598,0.985088,31.5018,31.405
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",256,16,28.4984,0.004015,1.87943,0.99328,31.4703,31.3751
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",256,17,28.134,0.003965,1.88911,0.994304,31.115,31.0214
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",256,18,28.263,0.00413,1.8765,0.991232,31.2296,31.1348
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",256,19,28.3883,0.004,1.88066,0.994304,31.3627,31.2672
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",320,0,54.3335,0.003089,5.49828,1.9159,61.8483,61.7508
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",320,1,53.7015,0.003221,5.47883,1.91693,61.1934,61.1005
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",320,2,53.3074,0.002968,5.47117,1.90976,60.7813,60.6913
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",320,3,53.8583,0.003919,5.51431,1.92922,61.4289,61.3057
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",320,4,53.8233,0.002979,5.47378,1.91488,61.31,61.215
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",320,5,54.2222,0.003111,5.46884,1.90874,61.6946,61.6029
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",320,6,54.1433,0.002994,5.46435,1.92,61.6209,61.5306
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",320,7,54.1192,0.003033,5.47371,1.91078,61.5933,61.5067
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",320,8,54.1363,0.003094,5.47133,1.91386,61.6205,61.5246
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",320,9,53.8346,0.002925,5.48039,1.90874,61.3214,61.2266
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",320,10,53.6721,0.003175,5.47693,1.91078,61.1528,61.063
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",320,11,53.4546,0.002934,5.47643,1.90566,60.9268,60.8397
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",320,12,54.252,0.003346,5.47528,1.91898,61.7433,61.6496
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",320,13,54.0623,0.003093,5.46954,1.91283,61.5386,61.4478
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",320,14,53.9051,0.00296,5.46615,1.9159,61.3815,61.2901
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",320,15,54.1323,0.002999,5.47466,1.91283,61.6155,61.5228
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",320,16,54.6011,0.002986,5.47402,1.90976,62.08,61.9878
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",320,17,54.1995,0.003249,5.47245,1.91488,61.6812,61.5901
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",320,18,54.2792,0.002967,5.47359,1.91283,61.756,61.6686
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",320,19,54.1571,0.002909,5.47411,1.90771,61.6326,61.5418
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",384,0,93.3925,0.003167,10.2366,3.2983,107.024,106.931
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",384,1,92.3108,0.003188,10.055,3.31571,105.774,105.685
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",384,2,93.712,0.003088,10.1111,3.31264,107.243,107.139
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",384,3,93.3696,0.003025,10.0223,3.31059,106.798,106.706
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",384,4,92.4722,0.003285,10.1586,3.30445,106.04,105.939
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",384,5,92.8825,0.003046,10.3584,3.2983,106.634,106.542
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",384,6,92.9207,0.003015,10.1142,3.31571,106.444,106.354
