dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | D | N",64,0,0.044352,0.00397,0.086968,0.434176,0.716832,0.569466
3,float,uniform,GPU,"P | P | P | P | D | N",64,1,0.028416,0.003773,0.060001,0.0256,0.263674,0.11779
3,float,uniform,GPU,"P | P | P | P | D | N",64,2,0.025856,0.003546,0.054374,0.023552,0.250203,0.107328
3,float,uniform,GPU,"P | P | P | P | D | N",64,3,0.026016,0.003487,0.053151,0.022528,0.249157,0.105182
3,float,uniform,GPU,"P | P | P | P | D | N",64,4,0.026688,0.003594,0.054111,0.023552,0.251403,0.107945
3,float,uniform,GPU,"P | P | P | P | D | N",64,5,0.026496,0.003527,0.053601,0.029696,0.258235,0.11332
3,float,uniform,GPU,"P | P | P | P | D | N",64,6,0.026496,0.003395,0.053492,0.023552,0.250391,0.106935
3,float,uniform,GPU,"P | P | P | P | D | N",64,7,0.026208,0.003379,0.053198,0.023552,0.249554,0.106337
3,float,uniform,GPU,"P | P | P | P | D | N",64,8,0.0248,0.003425,0.052945,0.024576,0.248321,0.105746
3,float,uniform,GPU,"P | P | P | P | D | N",64,9,0.027136,0.00336,0.053304,0.022528,0.249328,0.106328
3,float,uniform,GPU,"P | P | P | P | D | N",64,10,0.025152,0.003382,0.052617,0.023552,0.247611,0.104703
3,float,uniform,GPU,"P | P | P | P | D | N",64,11,0.02688,0.00341,0.053444,0.022528,0.250214,0.106262
3,float,uniform,GPU,"P | P | P | P | D | N",64,12,0.025984,0.003379,0.053452,0.023552,0.248943,0.106367
3,float,uniform,GPU,"P | P | P | P | D | N",64,13,0.02624,0.003507,0.061405,0.022528,0.259027,0.11368
3,float,uniform,GPU,"P | P | P | P | D | N",64,14,0.025376,0.003602,0.057103,0.022528,0.26064,0.108609
3,float,uniform,GPU,"P | P | P | P | D | N",64,15,0.026368,0.003494,0.052752,0.022528,0.247208,0.105142
3,float,uniform,GPU,"P | P | P | P | D | N",64,16,0.024704,0.003532,0.052544,0.021504,0.247214,0.102284
3,float,uniform,GPU,"P | P | P | P | D | N",64,17,0.02656,0.003486,0.051946,0.024576,0.251386,0.106568
3,float,uniform,GPU,"P | P | P | P | D | N",64,18,0.02736,0.003507,0.052159,0.022528,0.249089,0.105554
3,float,uniform,GPU,"P | P | P | P | D | N",64,19,0.02576,0.003368,0.053241,0.022528,0.247653,0.104897
3,float,uniform,GPU,"P | P | P | P | D | N",128,0,0.068352,0.003959,0.315112,0.141312,0.678414,0.528735
3,float,uniform,GPU,"P | P | P | P | D | N",128,1,0.070272,0.003779,0.28074,0.134144,0.739281,0.488935
3,float,uniform,GPU,"P | P | P | P | D | N",128,2,0.066752,0.003598,0.280379,0.132096,0.627817,0.482825
3,float,uniform,GPU,"P | P | P | P | D | N",128,3,0.069888,0.004323,0.310294,0.131072,0.664696,0.515577
3,float,uniform,GPU,"P | P | P | P | D | N",128,4,0.066016,0.003631,0.279229,0.132096,0.624772,0.480972
3,float,uniform,GPU,"P | P | P | P | D | N",128,5,0.06896,0.003676,0.277195,0.132096,0.626309,0.481927
3,float,uniform,GPU,"P | P | P | P | D | N",128,6,0.06608,0.003586,0.280606,0.134144,0.63179,0.484416
3,float,uniform,GPU,"P | P | P | P | D | N",128,7,0.064352,0.003607,0.276889,0.130048,0.620029,0.474896
3,float,uniform,GPU,"P | P | P | P | D | N",128,8,0.067136,0.003553,0.279452,0.132096,0.625975,0.482237
3,float,uniform,GPU,"P | P | P | P | D | N",128,9,0.068672,0.003625,0.277352,0.13312,0.736143,0.482769
3,float,uniform,GPU,"P | P | P | P | D | N",128,10,0.066944,0.003592,0.277431,0.132096,0.623659,0.480063
3,float,uniform,GPU,"P | P | P | P | D | N",128,11,0.06384,0.003598,0.283642,0.132096,0.627975,0.483176
3,float,uniform,GPU,"P | P | P | P | D | N",128,12,0.064832,0.003738,0.279861,0.132096,0.62534,0.480527
3,float,uniform,GPU,"P | P | P | P | D | N",128,13,0.066464,0.004311,0.280606,0.13312,0.633263,0.484501
3,float,uniform,GPU,"P | P | P | P | D | N",128,14,0.063808,0.00361,0.279084,0.131072,0.6217,0.477574
3,float,uniform,GPU,"P | P | P | P | D | N",128,15,0.07504,0.003586,0.278075,0.131072,0.631329,0.487773
3,float,uniform,GPU,"P | P | P | P | D | N",128,16,0.067456,0.00368,0.276525,0.132096,0.623144,0.479757
3,float,uniform,GPU,"P | P | P | P | D | N",128,17,0.069248,0.004307,0.278367,0.134144,0.63216,0.486066
3,float,uniform,GPU,"P | P | P | P | D | N",128,18,0.066912,0.003622,0.27739,0.13312,0.625669,0.481044
3,float,uniform,GPU,"P | P | P | P | D | N",128,19,0.067232,0.003659,0.279124,0.13312,0.627375,0.483135
3,float,uniform,GPU,"P | P | P | P | D | N",192,0,0.163552,0.004629,0.855277,0.436224,1.60718,1.45968
3,float,uniform,GPU,"P | P | P | P | D | N",192,1,0.166976,0.003885,0.824478,0.4352,1.57019,1.43054
