dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"Ds | Ds",64,0,0.054176,0,0.074006,0.36864,0.588592,0.496822
1,double,uniform,CPU,"Ds | Ds",64,1,0.026976,0,0.03096,0.017408,0.129439,0.075344
1,double,uniform,CPU,"Ds | Ds",64,2,0.027008,0,0.024719,0.013312,0.118159,0.065039
1,double,uniform,CPU,"Ds | Ds",64,3,0.027968,0,0.024319,0.013312,0.11774,0.065599
1,double,uniform,CPU,"Ds | Ds",64,4,0.026144,0,0.024825,0.013312,0.116586,0.064281
1,double,uniform,CPU,"Ds | Ds",64,5,0.025856,0,0.02497,0.013312,0.11499,0.064138
1,double,uniform,CPU,"Ds | Ds",64,6,0.026688,0,0.02535,0.012288,0.115038,0.064326
1,double,uniform,CPU,"Ds | Ds",64,7,0.026688,0,0.025076,0.013312,0.115771,0.065076
1,double,uniform,CPU,"Ds | Ds",64,8,0.026016,0,0.02491,0.012288,0.115327,0.063214
1,double,uniform,CPU,"Ds | Ds",64,9,0.025312,0,0.024772,0.012288,0.114682,0.062372
1,double,uniform,CPU,"Ds | Ds",64,10,0.026048,0,0.02501,0.012288,0.121022,0.063346
1,double,uniform,CPU,"Ds | Ds",64,11,0.026432,0,0.024099,0.012288,0.1146,0.062819
1,double,uniform,CPU,"Ds | Ds",64,12,0.026368,0,0.024735,0.011264,0.114334,0.062367
1,double,uniform,CPU,"Ds | Ds",64,13,0.026624,0,0.024465,0.012288,0.114779,0.063377
1,double,uniform,CPU,"Ds | Ds",64,14,0.025888,0,0.02442,0.011264,0.114733,0.061572
1,double,uniform,CPU,"Ds | Ds",64,15,0.025312,0,0.024339,0.012288,0.1145,0.061939
1,double,uniform,CPU,"Ds | Ds",64,16,0.02576,0,0.02473,0.013312,0.117522,0.063802
1,double,uniform,CPU,"Ds | Ds",64,17,0.0288,0,0.033504,0.016384,0.137314,0.078688
1,double,uniform,CPU,"Ds | Ds",64,18,0.027168,0,0.024562,0.013312,0.11613,0.065042
1,double,uniform,CPU,"Ds | Ds",64,19,0.026528,0,0.024231,0.013312,0.114746,0.064071
1,double,uniform,CPU,"Ds | Ds",128,0,0.036768,0,0.038802,0.02048,0.156688,0.09605
1,double,uniform,CPU,"Ds | Ds",128,1,0.029952,0,0.028725,0.014336,0.126181,0.073013
1,double,uniform,CPU,"Ds | Ds",128,2,0.027488,0,0.026393,0.013312,0.118313,0.067193
1,double,uniform,CPU,"Ds | Ds",128,3,0.028,0,0.025726,0.012288,0.118278,0.066014
1,double,uniform,CPU,"Ds | Ds",128,4,0.026112,0,0.025617,0.012288,0.115779,0.064017
1,double,uniform,CPU,"Ds | Ds",128,5,0.025984,0,0.025842,0.013312,0.115273,0.065138
1,double,uniform,CPU,"Ds | Ds",128,6,0.02784,0,0.025493,0.014336,0.2314,0.067669
1,double,uniform,CPU,"Ds | Ds",128,7,0.0264,0,0.025794,0.012288,0.116693,0.064482
1,double,uniform,CPU,"Ds | Ds",128,8,0.025952,0,0.025907,0.012288,0.115059,0.064147
1,double,uniform,CPU,"Ds | Ds",128,9,0.031904,0,0.025494,0.013312,0.119418,0.07071
1,double,uniform,CPU,"Ds | Ds",128,10,0.028896,0,0.025782,0.012288,0.122379,0.066966
1,double,uniform,CPU,"Ds | Ds",128,11,0.026848,0,0.025398,0.012288,0.11438,0.064534
1,double,uniform,CPU,"Ds | Ds",128,12,0.026208,0,0.024846,0.012288,0.11468,0.063342
1,double,uniform,CPU,"Ds | Ds",128,13,0.0264,0,0.02504,0.013312,0.11458,0.064752
1,double,uniform,CPU,"Ds | Ds",128,14,0.025504,0,0.025954,0.012288,0.114794,0.063746
1,double,uniform,CPU,"Ds | Ds",128,15,0.02608,0,0.025375,0.013312,0.114062,0.064767
1,double,uniform,CPU,"Ds | Ds",128,16,0.026848,0,0.025858,0.013312,0.120103,0.066018
1,double,uniform,CPU,"Ds | Ds",128,17,0.026592,0,0.025666,0.012288,0.114892,0.064546
1,double,uniform,CPU,"Ds | Ds",128,18,0.026016,0,0.025635,0.012288,0.114551,0.063939
1,double,uniform,CPU,"Ds | Ds",128,19,0.025888,0,0.02514,0.012288,0.113985,0.063316
1,double,uniform,CPU,"Ds | Ds",192,0,0.03696,0,0.041307,0.019456,0.159512,0.097723
1,double,uniform,CPU,"Ds | Ds",192,1,0.028448,0,0.029813,0.016384,0.134756,0.074645
1,double,uniform,CPU,"Ds | Ds",192,2,0.027136,0,0.027917,0.012288,0.123227,0.067341
1,double,uniform,CPU,"Ds | Ds",192,3,0.026976,0,0.027153,0.013312,0.118599,0.067441
1,double,uniform,CPU,"Ds | Ds",192,4,0.02752,0,0.026765,0.013312,0.117552,0.067597
1,double,uniform,CPU,"Ds | Ds",192,5,0.02784,0,0.026623,0.012288,0.118106,0.066751
1,double,uniform,CPU,"Ds | Ds",192,6,0.02592,0,0.027023,0.012288,0.117946,0.065231
1,double,uniform,CPU,"Ds | Ds",192,7,0.026816,0,0.027314,0.012288,0.116652,0.066418
1,double,uniform,CPU,"Ds | Ds",192,8,0.02704,0,0.026942,0.013312,0.120167,0.067294
1,double,uniform,CPU,"Ds | Ds",192,9,0.02704,0,0.388286,0.013312,0.480349,0.428638
1,double,uniform,CPU,"Ds | Ds",192,10,0.026784,0,0.026778,0.113664,0.218898,0.167226
1,double,uniform,CPU,"Ds | Ds",192,11,0.026208,0,0.026333,0.012288,0.116053,0.064829
1,double,uniform,CPU,"Ds | Ds",192,12,0.027424,0,0.026748,0.012288,0.117502,0.06646
1,double,uniform,CPU,"Ds | Ds",192,13,0.027392,0,0.026664,0.012288,0.117299,0.066344
