dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"P | P",64,0,0.074752,0,0.038008,0.4352,0.643849,0.54796
1,double,uniform,GPU,"P | P",64,1,0.028672,0,0.02103,0.023552,0.131603,0.073254
1,double,uniform,GPU,"P | P",64,2,0.019456,0,0.019459,0.019456,0.115485,0.058371
1,double,uniform,GPU,"P | P",64,3,0.019456,0,0.018725,0.018432,0.113137,0.056613
1,double,uniform,GPU,"P | P",64,4,0.018432,0,0.018879,0.019456,0.112724,0.056767
1,double,uniform,GPU,"P | P",64,5,0.019456,0,0.01836,0.019456,0.112257,0.057272
1,double,uniform,GPU,"P | P",64,6,0.018432,0,0.018512,0.019456,0.116745,0.0564
1,double,uniform,GPU,"P | P",64,7,0.018432,0,0.019118,0.018432,0.11287,0.055982
1,double,uniform,GPU,"P | P",64,8,0.019456,0,0.018771,0.019456,0.113016,0.057683
1,double,uniform,GPU,"P | P",64,9,0.019456,0,0.024824,0.017408,0.118055,0.061688
1,double,uniform,GPU,"P | P",64,10,0.018432,0,0.018243,0.018432,0.112373,0.055107
1,double,uniform,GPU,"P | P",64,11,0.018432,0,0.018685,0.017408,0.1113,0.054525
1,double,uniform,GPU,"P | P",64,12,0.019456,0,0.01988,0.017408,0.115603,0.056744
1,double,uniform,GPU,"P | P",64,13,0.019456,0,0.018358,0.019456,0.112365,0.05727
1,double,uniform,GPU,"P | P",64,14,0.018432,0,0.018775,0.018432,0.113177,0.055639
1,double,uniform,GPU,"P | P",64,15,0.017408,0,0.018676,0.019456,0.119449,0.05554
1,double,uniform,GPU,"P | P",64,16,0.019456,0,0.019114,0.019456,0.113092,0.058026
1,double,uniform,GPU,"P | P",64,17,0.022528,0,0.018574,0.019456,0.115599,0.060558
1,double,uniform,GPU,"P | P",64,18,0.017408,0,0.018713,0.018432,0.110334,0.054553
1,double,uniform,GPU,"P | P",64,19,0.019456,0,0.018811,0.019456,0.111039,0.057723
1,double,uniform,GPU,"P | P",128,0,0.029696,0,0.024256,0.026624,0.147609,0.080576
1,double,uniform,GPU,"P | P",128,1,0.022528,0,0.020376,0.022528,0.125012,0.065432
1,double,uniform,GPU,"P | P",128,2,0.02048,0,0.019296,0.017408,0.12169,0.057184
1,double,uniform,GPU,"P | P",128,3,0.019456,0,0.019213,0.02048,0.114814,0.059149
1,double,uniform,GPU,"P | P",128,4,0.019456,0,0.019804,0.017408,0.113664,0.056668
1,double,uniform,GPU,"P | P",128,5,0.018432,0,0.020124,0.022528,0.116571,0.061084
1,double,uniform,GPU,"P | P",128,6,0.018432,0,0.019468,0.017408,0.112028,0.055308
1,double,uniform,GPU,"P | P",128,7,0.018432,0,0.01987,0.017408,0.113348,0.05571
1,double,uniform,GPU,"P | P",128,8,0.019456,0,0.018992,0.018432,0.11252,0.05688
1,double,uniform,GPU,"P | P",128,9,0.019456,0,0.021949,0.019456,0.116931,0.060861
1,double,uniform,GPU,"P | P",128,10,0.021504,0,0.021349,0.018432,0.119519,0.061285
1,double,uniform,GPU,"P | P",128,11,0.019456,0,0.019634,0.018432,0.113798,0.057522
1,double,uniform,GPU,"P | P",128,12,0.018432,0,0.019045,0.017408,0.112959,0.054885
1,double,uniform,GPU,"P | P",128,13,0.019456,0,0.019855,0.022528,0.116014,0.061839
1,double,uniform,GPU,"P | P",128,14,0.018432,0,0.019068,0.017408,0.111787,0.054908
1,double,uniform,GPU,"P | P",128,15,0.018432,0,0.018965,0.027648,0.119748,0.065045
1,double,uniform,GPU,"P | P",128,16,0.019456,0,0.019195,0.018432,0.112738,0.057083
1,double,uniform,GPU,"P | P",128,17,0.018432,0,0.01995,0.021504,0.116225,0.059886
1,double,uniform,GPU,"P | P",128,18,0.017408,0,0.018916,0.017408,0.112047,0.053732
1,double,uniform,GPU,"P | P",128,19,0.019456,0,0.01969,0.02048,0.112822,0.059626
1,double,uniform,GPU,"P | P",192,0,0.032768,0,0.025128,0.023552,0.147497,0.081448
1,double,uniform,GPU,"P | P",192,1,0.022528,0,0.022056,0.022528,0.125153,0.067112
1,double,uniform,GPU,"P | P",192,2,0.02048,0,0.020354,0.017408,0.11617,0.058242
1,double,uniform,GPU,"P | P",192,3,0.02048,0,0.020282,0.018432,0.115568,0.059194
1,double,uniform,GPU,"P | P",192,4,0.021504,0,0.019899,0.02048,0.187689,0.061883
1,double,uniform,GPU,"P | P",192,5,0.019456,0,0.022585,0.019456,0.122165,0.061497
