dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"Ds | Ds",64,0,0.073728,0,0.047658,0.359424,0.565261,0.48081
1,float,uniform,GPU,"Ds | Ds",64,1,0.02048,0,0.026269,0.013312,0.109391,0.060061
1,float,uniform,GPU,"Ds | Ds",64,2,0.018432,0,0.021602,0.012288,0.108814,0.052322
1,float,uniform,GPU,"Ds | Ds",64,3,0.018432,0,0.02003,0.013312,0.098959,0.051774
1,float,uniform,GPU,"Ds | Ds",64,4,0.018432,0,0.020373,0.012288,0.098166,0.051093
1,float,uniform,GPU,"Ds | Ds",64,5,0.019456,0,0.02036,0.012288,0.099263,0.052104
1,float,uniform,GPU,"Ds | Ds",64,6,0.018432,0,0.02142,0.011264,0.099019,0.051116
1,float,uniform,GPU,"Ds | Ds",64,7,0.018432,0,0.020813,0.012288,0.097936,0.051533
1,float,uniform,GPU,"Ds | Ds",64,8,0.019456,0,0.020039,0.012288,0.097862,0.051783
1,float,uniform,GPU,"Ds | Ds",64,9,0.018432,0,0.020382,0.014336,0.097929,0.05315
1,float,uniform,GPU,"Ds | Ds",64,10,0.019456,0,0.020526,0.012288,0.099037,0.05227
1,float,uniform,GPU,"Ds | Ds",64,11,0.017408,0,0.020658,0.011264,0.09792,0.04933
1,float,uniform,GPU,"Ds | Ds",64,12,0.018432,0,0.020534,0.013312,0.097539,0.052278
1,float,uniform,GPU,"Ds | Ds",64,13,0.019456,0,0.020294,0.013312,0.09813,0.053062
1,float,uniform,GPU,"Ds | Ds",64,14,0.018432,0,0.026666,0.012288,0.103407,0.057386
1,float,uniform,GPU,"Ds | Ds",64,15,0.019456,0,0.020288,0.011264,0.098389,0.051008
1,float,uniform,GPU,"Ds | Ds",64,16,0.017408,0,0.020138,0.012288,0.097134,0.049834
1,float,uniform,GPU,"Ds | Ds",64,17,0.019456,0,0.020592,0.012288,0.102695,0.052336
1,float,uniform,GPU,"Ds | Ds",64,18,0.018432,0,0.021128,0.011264,0.097946,0.050824
1,float,uniform,GPU,"Ds | Ds",64,19,0.018432,0,0.021162,0.012288,0.097999,0.051882
1,float,uniform,GPU,"Ds | Ds",128,0,0.029696,0,0.031432,0.018432,0.134637,0.07956
1,float,uniform,GPU,"Ds | Ds",128,1,0.023552,0,0.02296,0.013312,0.109198,0.059824
1,float,uniform,GPU,"Ds | Ds",128,2,0.02048,0,0.021839,0.013312,0.101402,0.055631
1,float,uniform,GPU,"Ds | Ds",128,3,0.018432,0,0.021787,0.012288,0.099025,0.052507
1,float,uniform,GPU,"Ds | Ds",128,4,0.018432,0,0.022318,0.013312,0.099638,0.054062
1,float,uniform,GPU,"Ds | Ds",128,5,0.019456,0,0.020698,0.013312,0.098745,0.053466
1,float,uniform,GPU,"Ds | Ds",128,6,0.018432,0,0.020731,0.013312,0.097781,0.052475
1,float,uniform,GPU,"Ds | Ds",128,7,0.019456,0,0.020881,0.012288,0.098284,0.052625
1,float,uniform,GPU,"Ds | Ds",128,8,0.017408,0,0.020659,0.011264,0.096599,0.049331
1,float,uniform,GPU,"Ds | Ds",128,9,0.018432,0,0.020765,0.012288,0.097786,0.051485
1,float,uniform,GPU,"Ds | Ds",128,10,0.02048,0,0.022666,0.012288,0.106823,0.055434
1,float,uniform,GPU,"Ds | Ds",128,11,0.018432,0,0.02123,0.011264,0.097965,0.050926
1,float,uniform,GPU,"Ds | Ds",128,12,0.019456,0,0.020992,0.011264,0.096951,0.051712
1,float,uniform,GPU,"Ds | Ds",128,13,0.018432,0,0.020824,0.012288,0.098643,0.051544
1,float,uniform,GPU,"Ds | Ds",128,14,0.018432,0,0.021203,0.013312,0.098477,0.052947
1,float,uniform,GPU,"Ds | Ds",128,15,0.0256,0,0.021368,0.01536,0.107914,0.062328
1,float,uniform,GPU,"Ds | Ds",128,16,0.017408,0,0.0214,0.011264,0.096939,0.050072
1,float,uniform,GPU,"Ds | Ds",128,17,0.017408,0,0.021327,0.011264,0.097411,0.049999
1,float,uniform,GPU,"Ds | Ds",128,18,0.019456,0,0.021444,0.017408,0.103584,0.058308
1,float,uniform,GPU,"Ds | Ds",128,19,0.019456,0,0.021391,0.012288,0.098256,0.053135
1,float,uniform,GPU,"Ds | Ds",192,0,0.029696,0,0.033808,0.017408,0.134446,0.080912
1,float,uniform,GPU,"Ds | Ds",192,1,0.022528,0,0.023563,0.012288,0.108798,0.058379
1,float,uniform,GPU,"Ds | Ds",192,2,0.019456,0,0.023225,0.012288,0.10211,0.054969
1,float,uniform,GPU,"Ds | Ds",192,3,0.018432,0,0.023235,0.013312,0.100913,0.054979
1,float,uniform,GPU,"Ds | Ds",192,4,0.024576,0,0.022885,0.011264,0.258706,0.058725
1,float,uniform,GPU,"Ds | Ds",192,5,0.019456,0,0.021943,0.013312,0.099565,0.054711
1,float,uniform,GPU,"Ds | Ds",192,6,0.019456,0,0.021933,0.012288,0.099568,0.053677
1,float,uniform,GPU,"Ds | Ds",192,7,0.018432,0,0.021943,0.012288,0.099826,0.052663
1,float,uniform,GPU,"Ds | Ds",192,8,0.018432,0,0.022063,0.012288,0.105073,0.052783
1,float,uniform,GPU,"Ds | Ds",192,9,0.017408,0,0.021882,0.013312,0.101481,0.052602
1,float,uniform,GPU,"Ds | Ds",192,10,0.018432,0,0.021996,0.011264,0.098147,0.051692
1,float,uniform,GPU,"Ds | Ds",192,11,0.017408,0,0.022317,0.013312,0.098924,0.053037
1,float,uniform,GPU,"Ds | Ds",192,12,0.019456,0,0.021857,0.012288,0.098491,0.053601
1,float,uniform,GPU,"Ds | Ds",192,13,0.018432,0,0.022332,0.011264,0.09865,0.052028
1,float,uniform,GPU,"Ds | Ds",192,14,0.018432,0,0.022307,0.011264,0.098795,0.052003
1,float,uniform,GPU,"Ds | Ds",192,15,0.019456,0,0.02259,0.012288,0.100223,0.054334
1,float,uniform,GPU,"Ds | Ds",192,16,0.018432,0,0.022759,0.011264,0.098339,0.052455
1,float,uniform,GPU,"Ds | Ds",192,17,0.019456,0,0.021849,0.012288,0.098533,0.053593
1,float,uniform,GPU,"Ds | Ds",192,18,0.018432,0,0.022804,0.016384,0.10381,0.05762
1,float,uniform,GPU,"Ds | Ds",192,19,0.019456,0,0.021941,0.012288,0.099329,0.053685
1,float,uniform,GPU,"Ds | Ds",256,0,0.03072,0,0.03169,0.02048,0.138409,0.08289
1,float,uniform,GPU,"Ds | Ds",256,1,0.022528,0,0.022478,0.01536,0.106852,0.060366
1,float,uniform,GPU,"Ds | Ds",256,2,0.019456,0,0.021867,0.013312,0.102471,0.054635
1,float,uniform,GPU,"Ds | Ds",256,3,0.02048,0,0.021823,0.013312,0.100338,0.055615
1,float,uniform,GPU,"Ds | Ds",256,4,0.019456,0,0.021623,0.011264,0.098792,0.052343
1,float,uniform,GPU,"Ds | Ds",256,5,0.018432,0,0.021171,0.012288,0.098302,0.051891
1,float,uniform,GPU,"Ds | Ds",256,6,0.018432,0,0.020926,0.012288,0.098408,0.051646
1,float,uniform,GPU,"Ds | Ds",256,7,0.017408,0,0.021028,0.013312,0.097787,0.051748
1,float,uniform,GPU,"Ds | Ds",256,8,0.019456,0,0.02192,0.012288,0.098948,0.053664
1,float,uniform,GPU,"Ds | Ds",256,9,0.0256,0,0.021766,0.011264,0.104742,0.05863
1,float,uniform,GPU,"Ds | Ds",256,10,0.019456,0,0.020835,0.013312,0.099088,0.053603
1,float,uniform,GPU,"Ds | Ds",256,11,0.019456,0,0.021198,0.012288,0.099625,0.052942
1,float,uniform,GPU,"Ds | Ds",256,12,0.018432,0,0.020778,0.012288,0.09795,0.051498
1,float,uniform,GPU,"Ds | Ds",256,13,0.017408,0,0.021312,0.011264,0.098225,0.049984
1,float,uniform,GPU,"Ds | Ds",256,14,0.019456,0,0.021516,0.011264,0.098818,0.052236
1,float,uniform,GPU,"Ds | Ds",256,15,0.018432,0,0.020769,0.011264,0.097672,0.050465
1,float,uniform,GPU,"Ds | Ds",256,16,0.018432,0,0.021108,0.011264,0.098876,0.050804
1,float,uniform,GPU,"Ds | Ds",256,17,0.018432,0,0.021006,0.012288,0.097898,0.051726
1,float,uniform,GPU,"Ds | Ds",256,18,0.018432,0,0.021607,0.011264,0.097904,0.051303
1,float,uniform,GPU,"Ds | Ds",256,19,0.019456,0,0.021491,0.012288,0.106833,0.053235
1,float,uniform,GPU,"Ds | Ds",320,0,0.028672,0,0.030674,0.017408,0.131609,0.076754
