dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,18,0.1048,0.003793,0.375565,0.108544,0.728523,0.592702
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,19,0.10544,0.003922,0.362143,0.106496,0.715548,0.578001
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,0,0.3144,0.004067,1.19723,0.364544,2.01821,1.88024
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,1,0.349184,0.00517,1.19601,0.37376,2.07512,1.92413
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,2,0.315904,0.004474,1.15248,0.357376,1.96938,1.83023
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,3,0.309824,0.004118,1.1654,0.359424,1.97694,1.83876
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,4,0.308832,0.003969,1.16588,0.361472,1.97549,1.84016
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,5,0.314624,0.004074,1.17041,0.3584,1.98322,1.84751
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,6,0.309984,0.004133,1.16308,0.360448,1.97562,1.83764
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,7,0.317952,0.004114,1.16497,0.359424,1.98277,1.84646
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,8,0.314944,0.004172,1.16104,0.360448,1.9783,1.8406
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,9,0.3136,0.004084,1.16984,0.3584,1.98485,1.84593
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,10,0.311904,0.00405,1.16961,0.359424,1.98103,1.84499
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,11,0.313568,0.004334,1.16975,0.361472,1.98883,1.84913
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,12,0.313184,0.004116,1.16592,0.36352,1.98727,1.84674
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,13,0.317152,0.004184,1.16592,0.359424,1.98823,1.84668
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,14,0.31744,0.00406,1.16587,0.359424,1.98094,1.84679
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,15,0.313568,0.004147,1.17461,0.361472,1.99009,1.8538
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,16,0.311616,0.003966,1.16783,0.360448,1.97933,1.84386
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,17,0.311744,0.004109,1.16818,0.359424,1.98057,1.84346
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,18,0.314976,0.003706,1.16694,0.362496,1.98223,1.84812
