dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,0,0.04,0.004285,0.113316,0.462848,0.770589,0.620449
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,1,0.024064,0.00387,0.087048,0.031744,0.291133,0.146726
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,2,0.027936,0.003797,0.074689,0.028672,0.277892,0.135094
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,3,0.029984,0.003769,0.07324,0.028672,0.279597,0.135665
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,4,0.029696,0.003815,0.074638,0.027648,0.288467,0.135797
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,5,0.029728,0.003783,0.073355,0.027648,0.27688,0.134514
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,6,0.02976,0.003827,0.07285,0.029696,0.278221,0.136133
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,7,0.028448,0.00385,0.073439,0.028672,0.277046,0.134409
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,8,0.029504,0.003821,0.072768,0.027648,0.275812,0.133741
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,9,0.028448,0.003789,0.074471,0.03584,0.28842,0.142548
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,10,0.02992,0.003617,0.073229,0.028672,0.277658,0.135438
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,11,0.02784,0.003829,0.07339,0.029696,0.277784,0.134755
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,12,0.02928,0.003747,0.072977,0.029696,0.278176,0.1357
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,13,0.030624,0.00374,0.072499,0.027648,0.281877,0.134511
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,14,0.029088,0.003847,0.163727,0.028672,0.370257,0.225334
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,15,0.029536,0.00371,0.073379,0.027648,0.277093,0.134273
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,16,0.027712,0.003722,0.077415,0.029696,0.28779,0.138545
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,17,0.027424,0.003821,0.072815,0.028672,0.275341,0.132732
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,18,0.029344,0.003788,0.072216,0.027648,0.275953,0.132996
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,19,0.030432,0.003732,0.074104,0.028672,0.323139,0.13694
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,0,0.104512,0.004206,0.526386,0.251904,1.03827,0.887008
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,1,0.110336,0.004012,0.497925,0.247808,1.00675,0.860081
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,2,0.105696,0.004276,0.500334,0.242688,0.998018,0.852994
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,3,0.102464,0.004378,0.499576,0.243712,0.995216,0.85013
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,4,0.10432,0.004869,0.497292,0.243712,1.00075,0.850193
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,5,0.109504,0.003937,0.504011,0.243712,1.01398,0.861164
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,6,0.102432,0.004245,0.498205,0.239616,0.990065,0.844498
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,7,0.112576,0.004092,0.499874,0.242688,1.00616,0.85923
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,8,0.11024,0.004275,0.501691,0.243712,1.0112,0.859918
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,9,0.100704,0.004386,0.501301,0.241664,0.996738,0.848055
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,10,0.103232,0.004184,0.501216,0.242688,0.997418,0.85132
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,11,0.102112,0.004234,0.507796,0.242688,1.00076,0.85683
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,12,0.110144,0.004111,0.498309,0.24064,1.00051,0.853204
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,13,0.11008,0.003989,0.600186,0.244736,1.10611,0.958991
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,14,0.105568,0.004345,0.498957,0.238592,0.992885,0.847462
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,15,0.101568,0.003896,0.500552,0.242688,0.995565,0.848704
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,16,0.102464,0.004616,0.496372,0.242688,0.992117,0.84614
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,17,0.10416,0.0041,0.49831,0.243712,0.995206,0.850282
