dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | P | P",64,0,0.034688,0,0.080981,0.458752,0.716195,0.574421
3,double,uniform,GPU,"P | P | P | P | P | P",64,1,0.032576,0,0.066398,0.032768,0.268453,0.131742
3,double,uniform,GPU,"P | P | P | P | P | P",64,2,0.024768,0,0.057636,0.027648,0.247951,0.110052
3,double,uniform,GPU,"P | P | P | P | P | P",64,3,0.031648,0,0.058216,0.028672,0.256436,0.118536
3,double,uniform,GPU,"P | P | P | P | P | P",64,4,0.02384,0,0.056718,0.029696,0.249199,0.110254
3,double,uniform,GPU,"P | P | P | P | P | P",64,5,0.030752,0,0.058003,0.029696,0.254341,0.118451
3,double,uniform,GPU,"P | P | P | P | P | P",64,6,0.03136,0,0.059077,0.03584,0.268536,0.126277
3,double,uniform,GPU,"P | P | P | P | P | P",64,7,0.031328,0,0.057382,0.028672,0.253472,0.117382
3,double,uniform,GPU,"P | P | P | P | P | P",64,8,0.031616,0,0.056363,0.028672,0.253368,0.116651
3,double,uniform,GPU,"P | P | P | P | P | P",64,9,0.030496,0,0.056568,0.028672,0.253027,0.115736
3,double,uniform,GPU,"P | P | P | P | P | P",64,10,0.030976,0,0.056702,0.028672,0.255186,0.11635
3,double,uniform,GPU,"P | P | P | P | P | P",64,11,0.031584,0,0.056852,0.028672,0.26184,0.117108
3,double,uniform,GPU,"P | P | P | P | P | P",64,12,0.024032,0,0.056793,0.03072,0.248212,0.111545
3,double,uniform,GPU,"P | P | P | P | P | P",64,13,0.030912,0,0.056367,0.028672,0.251974,0.115951
3,double,uniform,GPU,"P | P | P | P | P | P",64,14,0.024096,0,0.056852,0.03072,0.247406,0.111668
3,double,uniform,GPU,"P | P | P | P | P | P",64,15,0.030368,0,0.056388,0.028672,0.253244,0.115428
3,double,uniform,GPU,"P | P | P | P | P | P",64,16,0.031168,0,0.058296,0.028672,0.255234,0.118136
3,double,uniform,GPU,"P | P | P | P | P | P",64,17,0.0312,0,0.056496,0.028672,0.251697,0.116368
3,double,uniform,GPU,"P | P | P | P | P | P",64,18,0.030816,0,0.059142,0.028672,0.256238,0.11863
3,double,uniform,GPU,"P | P | P | P | P | P",64,19,0.02384,0,0.057012,0.026624,0.246648,0.107476
3,double,uniform,GPU,"P | P | P | P | P | P",128,0,0.10448,0,0.57504,0.248832,1.06919,0.928352
3,double,uniform,GPU,"P | P | P | P | P | P",128,1,0.105312,0,0.550699,0.244736,1.03978,0.900747
3,double,uniform,GPU,"P | P | P | P | P | P",128,2,0.104064,0,0.548443,0.244736,1.0368,0.897243
3,double,uniform,GPU,"P | P | P | P | P | P",128,3,0.106688,0,0.547825,0.241664,1.06243,0.896177
3,double,uniform,GPU,"P | P | P | P | P | P",128,4,0.107616,0,0.547774,0.244736,1.0419,0.900126
3,double,uniform,GPU,"P | P | P | P | P | P",128,5,0.105472,0,0.551138,0.247808,1.04303,0.904418
3,double,uniform,GPU,"P | P | P | P | P | P",128,6,0.105824,0,0.547724,0.24576,1.03941,0.899308
3,double,uniform,GPU,"P | P | P | P | P | P",128,7,0.10688,0,0.551612,0.242688,1.04768,0.90118
3,double,uniform,GPU,"P | P | P | P | P | P",128,8,0.10784,0,0.549406,0.243712,1.15237,0.900958
3,double,uniform,GPU,"P | P | P | P | P | P",128,9,0.10288,0,0.546182,0.242688,1.03533,0.89175
3,double,uniform,GPU,"P | P | P | P | P | P",128,10,0.105056,0,0.550929,0.24576,1.04072,0.901745
3,double,uniform,GPU,"P | P | P | P | P | P",128,11,0.10544,0,0.549715,0.242688,1.04028,0.897843
3,double,uniform,GPU,"P | P | P | P | P | P",128,12,0.106784,0,0.548032,0.24064,1.0334,0.895456
3,double,uniform,GPU,"P | P | P | P | P | P",128,13,0.107936,0,0.547933,0.247808,1.05395,0.903677
3,double,uniform,GPU,"P | P | P | P | P | P",128,14,0.105824,0,0.549066,0.242688,1.0387,0.897578
3,double,uniform,GPU,"P | P | P | P | P | P",128,15,0.106272,0,0.547773,0.247808,1.04422,0.901853
3,double,uniform,GPU,"P | P | P | P | P | P",128,16,0.106912,0,0.549517,0.242688,1.04011,0.899117
3,double,uniform,GPU,"P | P | P | P | P | P",128,17,0.107264,0,0.550563,0.24576,1.04246,0.903587
3,double,uniform,GPU,"P | P | P | P | P | P",128,18,0.10736,0,0.633363,0.242688,1.12478,0.983411
3,double,uniform,GPU,"P | P | P | P | P | P",128,19,0.10544,0,0.549456,0.243712,1.03909,0.898608
3,double,uniform,GPU,"P | P | P | P | P | P",192,0,0.338016,0,2.5371,0.789504,3.85601,3.66462
3,double,uniform,GPU,"P | P | P | P | P | P",192,1,0.310048,0,1.78571,0.774144,3.01814,2.8699
3,double,uniform,GPU,"P | P | P | P | P | P",192,2,0.313312,0,1.76548,0.759808,2.97743,2.8386
