dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",128,4,0.018432,0,0.031807,0.011264,0.110714,0.061503
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",128,5,0.017408,0,0.031618,0.011264,0.110174,0.06029
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",128,6,0.016384,0,0.031945,0.012288,0.109293,0.060617
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",128,7,0.016384,0,0.031729,0.012288,0.10911,0.060401
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",128,8,0.017408,0,0.031368,0.012288,0.109058,0.061064
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",128,9,0.016384,0,0.031947,0.011264,0.110501,0.059595
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",128,10,0.016384,0,0.034009,0.012288,0.111894,0.062681
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",128,11,0.017408,0,0.031101,0.012288,0.108803,0.060797
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",128,12,0.016384,0,0.031127,0.011264,0.109287,0.058775
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",128,13,0.016384,0,0.031536,0.011264,0.109079,0.059184
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",128,14,0.018432,0,0.033292,0.011264,0.111552,0.062988
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",128,15,0.01536,0,0.031568,0.011264,0.109226,0.058192
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",128,16,0.018432,0,0.031546,0.105472,0.203999,0.15545
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",128,17,0.016384,0,0.031731,0.011264,0.109765,0.059379
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",128,18,0.021504,0,0.03158,0.012288,0.113303,0.065372
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",128,19,0.017408,0,0.031199,0.012288,0.115075,0.060895
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",192,0,0.025312,0,0.049844,0.018432,0.152324,0.093588
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",192,1,0.015968,0,0.035718,0.014336,0.122663,0.066022
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",192,2,0.013856,0,0.034528,0.017408,0.121868,0.065792
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",192,3,0.014144,0,0.035041,0.012288,0.117611,0.061473
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",192,4,0.014528,0,0.034424,0.012288,0.116657,0.06124
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",192,5,0.013248,0,0.03414,0.012288,0.116503,0.059676
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",192,6,0.013216,0,0.034651,0.012288,0.115782,0.060155
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",192,7,0.013504,0,0.034526,0.012288,0.11498,0.060318
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",192,8,0.013344,0,0.034443,0.013312,0.115975,0.061099
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",192,9,0.014912,0,0.03402,0.012288,0.115752,0.06122
