dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,0,1.07357,0.004406,0.064673,0.332128,1.8046,1.47477
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,1,0.99856,0.00414,0.052073,0.060768,1.24424,1.11554
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,2,0.988288,0.003968,0.044536,0.057056,1.21807,1.09385
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,3,0.9904,0.003953,0.043268,0.055488,1.21802,1.09311
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,4,0.984448,0.004,0.04375,0.056832,1.2119,1.08903
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,5,0.986144,0.003931,0.043774,0.056928,1.21305,1.09078
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,6,1.09005,0.004074,0.044183,0.0568,1.31721,1.19511
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,7,0.98848,0.003867,0.043234,0.056896,1.21441,1.09248
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,8,0.983072,0.003967,0.04437,0.057984,1.21139,1.08939
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,9,0.978816,0.004116,0.046558,0.056896,1.21187,1.08639
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,10,0.987072,0.003983,0.043633,0.055424,1.2139,1.09011
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,11,1.08554,0.003954,0.043279,0.054816,1.31038,1.18759
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,12,0.984,0.003988,0.043192,0.056864,1.20994,1.08804
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,13,0.986496,0.004065,0.043506,0.056992,1.21433,1.09106
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,14,0.992288,0.004023,0.044215,0.057152,1.22071,1.09768
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,15,1.05718,0.003971,0.044188,0.056928,1.28381,1.16227
