dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"D | N",64,0,0.073728,0,0.049591,0.349184,0.559414,0.472503
1,float,uniform,GPU,"D | N",64,1,0.022528,0,0.027775,0.012288,0.113312,0.062591
1,float,uniform,GPU,"D | N",64,2,0.02048,0,0.023421,0.013312,0.103972,0.057213
1,float,uniform,GPU,"D | N",64,3,0.019456,0,0.021662,0.011264,0.100891,0.052382
1,float,uniform,GPU,"D | N",64,4,0.019456,0,0.030006,0.013312,0.1137,0.062774
1,float,uniform,GPU,"D | N",64,5,0.02048,0,0.021685,0.011264,0.100858,0.053429
1,float,uniform,GPU,"D | N",64,6,0.018432,0,0.022081,0.012288,0.100537,0.052801
1,float,uniform,GPU,"D | N",64,7,0.018432,0,0.022535,0.011264,0.100194,0.052231
1,float,uniform,GPU,"D | N",64,8,0.019456,0,0.021853,0.012288,0.100439,0.053597
1,float,uniform,GPU,"D | N",64,9,0.018432,0,0.022037,0.012288,0.101479,0.052757
1,float,uniform,GPU,"D | N",64,10,0.02048,0,0.021454,0.012288,0.100791,0.054222
1,float,uniform,GPU,"D | N",64,11,0.018432,0,0.022248,0.013312,0.100909,0.053992
1,float,uniform,GPU,"D | N",64,12,0.018432,0,0.021873,0.012288,0.100818,0.052593
1,float,uniform,GPU,"D | N",64,13,0.018432,0,0.021622,0.012288,0.099911,0.052342
1,float,uniform,GPU,"D | N",64,14,0.017408,0,0.021628,0.013312,0.100753,0.052348
1,float,uniform,GPU,"D | N",64,15,0.018432,0,0.022388,0.012288,0.10526,0.053108
1,float,uniform,GPU,"D | N",64,16,0.019456,0,0.021692,0.013312,0.100642,0.05446
1,float,uniform,GPU,"D | N",64,17,0.018432,0,0.022218,0.012288,0.10191,0.052938
1,float,uniform,GPU,"D | N",64,18,0.018432,0,0.022079,0.011264,0.099465,0.051775
1,float,uniform,GPU,"D | N",64,19,0.018432,0,0.022127,0.011264,0.100526,0.051823
1,float,uniform,GPU,"D | N",128,0,0.029696,0,0.032104,0.016384,0.134867,0.078184
1,float,uniform,GPU,"D | N",128,1,0.026624,0,0.027442,0.014336,0.118582,0.068402
1,float,uniform,GPU,"D | N",128,2,0.019456,0,0.023361,0.013312,0.104729,0.056129
1,float,uniform,GPU,"D | N",128,3,0.018432,0,0.022355,0.012288,0.100814,0.053075
1,float,uniform,GPU,"D | N",128,4,0.017408,0,0.022887,0.011264,0.100387,0.051559
1,float,uniform,GPU,"D | N",128,5,0.019456,0,0.022388,0.019456,0.109145,0.0613
1,float,uniform,GPU,"D | N",128,6,0.021504,0,0.021937,0.012288,0.103987,0.055729
1,float,uniform,GPU,"D | N",128,7,0.018432,0,0.022156,0.013312,0.100488,0.0539
1,float,uniform,GPU,"D | N",128,8,0.017408,0,0.021936,0.012288,0.099842,0.051632
1,float,uniform,GPU,"D | N",128,9,0.018432,0,0.022175,0.013312,0.101529,0.053919
1,float,uniform,GPU,"D | N",128,10,0.018432,0,0.022033,0.013312,0.101002,0.053777
1,float,uniform,GPU,"D | N",128,11,0.018432,0,0.022282,0.011264,0.100551,0.051978
1,float,uniform,GPU,"D | N",128,12,0.018432,0,0.022493,0.012288,0.10009,0.053213
1,float,uniform,GPU,"D | N",128,13,0.019456,0,0.022033,0.012288,0.101025,0.053777
