dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | D | N",192,1,11.9161,0.004362,0.836481,0.432128,13.282,13.1891
3,float,uniform,CPU,"P | P | P | P | D | N",192,2,12.014,0.004392,0.835316,0.439296,13.3868,13.293
3,float,uniform,CPU,"P | P | P | P | D | N",192,3,11.7882,0.00429,0.836629,0.436224,13.1554,13.0653
3,float,uniform,CPU,"P | P | P | P | D | N",192,4,11.8187,0.004024,0.834161,0.431104,13.1803,13.088
3,float,uniform,CPU,"P | P | P | P | D | N",192,5,11.703,0.004311,0.835419,0.433152,13.0756,12.9759
3,float,uniform,CPU,"P | P | P | P | D | N",192,6,11.9625,0.004405,0.833938,0.436224,13.3292,13.2371
3,float,uniform,CPU,"P | P | P | P | D | N",192,7,11.8953,0.004515,0.836672,0.436224,13.2644,13.1727
3,float,uniform,CPU,"P | P | P | P | D | N",192,8,12.017,0.004361,0.834934,0.437248,13.3843,13.2935
3,float,uniform,CPU,"P | P | P | P | D | N",192,9,11.994,0.004611,0.834206,0.4352,13.3599,13.268
3,float,uniform,CPU,"P | P | P | P | D | N",192,10,11.8533,0.005065,0.838885,0.44032,13.2592,13.1376
3,float,uniform,CPU,"P | P | P | P | D | N",192,11,11.785,0.004243,0.846521,0.432128,13.1663,13.0679
3,float,uniform,CPU,"P | P | P | P | D | N",192,12,11.8043,0.004318,0.829307,0.4352,13.1634,13.0731
3,float,uniform,CPU,"P | P | P | P | D | N",192,13,12.0839,0.004346,0.831588,0.434176,13.4454,13.354
3,float,uniform,CPU,"P | P | P | P | D | N",192,14,11.9225,0.004298,0.833883,0.436224,13.2902,13.1969
3,float,uniform,CPU,"P | P | P | P | D | N",192,15,12.0618,0.004416,0.834244,0.436224,13.4302,13.3367
3,float,uniform,CPU,"P | P | P | P | D | N",192,16,11.7942,0.004286,0.832464,0.436224,13.1558,13.0672
3,float,uniform,CPU,"P | P | P | P | D | N",192,17,11.9836,0.004302,0.838122,0.4352,13.3549,13.2612
3,float,uniform,CPU,"P | P | P | P | D | N",192,18,11.9406,0.004437,0.835819,0.437248,13.3101,13.2181
3,float,uniform,CPU,"P | P | P | P | D | N",192,19,11.9551,0.004353,0.834647,0.4352,13.3206,13.2293
3,float,uniform,CPU,"P | P | P | P | D | N",256,0,28.0259,0.004067,2.12386,0.985088,31.2371,31.1389
3,float,uniform,CPU,"P | P | P | P | D | N",256,1,28.3069,0.004601,2.08099,0.987136,31.478,31.3796
3,float,uniform,CPU,"P | P | P | P | D | N",256,2,28.2984,0.004353,2.07763,0.982016,31.4584,31.3624
3,float,uniform,CPU,"P | P | P | P | D | N",256,3,27.8473,0.003598,2.08127,0.982016,31.0002,30.9142
3,float,uniform,CPU,"P | P | P | P | D | N",256,4,28.5566,0.004261,2.09221,0.978944,31.7246,31.6321
3,float,uniform,CPU,"P | P | P | P | D | N",256,5,28.5064,0.004363,2.08168,0.976896,31.666,31.5693
3,float,uniform,CPU,"P | P | P | P | D | N",256,6,28.3292,0.004458,2.0818,0.974848,31.4879,31.3903
3,float,uniform,CPU,"P | P | P | P | D | N",256,7,28.3016,0.004418,2.08497,0.986112,31.4763,31.3771
3,float,uniform,CPU,"P | P | P | P | D | N",256,8,28.3614,0.004802,2.0846,0.982016,31.5287,31.4329
3,float,uniform,CPU,"P | P | P | P | D | N",256,9,28.1924,0.004383,2.08095,0.978944,31.3523,31.2566
3,float,uniform,CPU,"P | P | P | P | D | N",256,10,28.5261,0.004451,2.08687,0.979968,31.6973,31.5974
3,float,uniform,CPU,"P | P | P | P | D | N",256,11,28.4155,0.004362,2.07959,0.980992,31.5721,31.4804
3,float,uniform,CPU,"P | P | P | P | D | N",256,12,28.4009,0.004418,2.08004,0.989184,31.5721,31.4745
3,float,uniform,CPU,"P | P | P | P | D | N",256,13,28.3862,0.004502,2.07892,0.982016,31.5476,31.4517
3,float,uniform,CPU,"P | P | P | P | D | N",256,14,28.4131,0.004464,2.07857,0.990208,31.5839,31.4864
3,float,uniform,CPU,"P | P | P | P | D | N",256,15,28.3574,0.004498,2.08117,0.98304,31.5237,31.4261
3,float,uniform,CPU,"P | P | P | P | D | N",256,16,28.5364,0.004699,2.0833,0.97488,31.6978,31.5993
3,float,uniform,CPU,"P | P | P | P | D | N",256,17,28.0709,0.004402,2.09377,0.97792,31.2435,31.147
3,float,uniform,CPU,"P | P | P | P | D | N",256,18,28.0825,0.004467,2.07938,0.975872,31.2357,31.1422
3,float,uniform,CPU,"P | P | P | P | D | N",256,19,28.4813,0.004476,2.08788,0.975872,31.6526,31.5495
3,float,uniform,CPU,"P | P | P | P | D | N",320,0,54.6392,0.003354,5.52849,1.90464,62.1803,62.0757
3,float,uniform,CPU,"P | P | P | P | D | N",320,1,54.4027,0.003316,5.49742,1.89235,61.8839,61.7957
3,float,uniform,CPU,"P | P | P | P | D | N",320,2,54.3529,0.003458,5.50498,1.88723,61.8383,61.7485
3,float,uniform,CPU,"P | P | P | P | D | N",320,3,54.3564,0.00337,5.49484,1.88621,61.8332,61.7408
3,float,uniform,CPU,"P | P | P | P | D | N",320,4,54.3782,0.003377,5.50046,1.89645,61.867,61.7785
3,float,uniform,CPU,"P | P | P | P | D | N",320,5,54.4935,0.003261,5.50412,1.8903,61.9858,61.8912
3,float,uniform,CPU,"P | P | P | P | D | N",320,6,54.5104,0.003274,5.49761,1.89338,61.998,61.9046
3,float,uniform,CPU,"P | P | P | P | D | N",320,7,54.0479,0.003919,5.49833,1.8944,61.5387,61.4445
3,float,uniform,CPU,"P | P | P | P | D | N",320,8,54.8666,0.003611,5.49583,1.88416,62.3499,62.2502
3,float,uniform,CPU,"P | P | P | P | D | N",320,9,65.3737,0.003391,5.50202,1.88621,72.8651,72.7654
3,float,uniform,CPU,"P | P | P | P | D | N",320,10,54.2196,0.003328,5.49645,1.89133,61.702,61.6107
3,float,uniform,CPU,"P | P | P | P | D | N",320,11,54.3965,0.00326,5.50095,1.89747,61.892,61.7982
3,float,uniform,CPU,"P | P | P | P | D | N",320,12,54.7931,0.00332,5.49904,1.89235,62.2838,62.1878
