dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,GPU,"D | D | D | D",64,0,0.07168,0,0.066854,0.36352,0.594828,0.502054
2,double,uniform,GPU,"D | D | D | D",64,1,0.023552,0,0.041865,0.02048,0.135082,0.085897
2,double,uniform,GPU,"D | D | D | D",64,2,0.019456,0,0.039035,0.011264,0.118924,0.069755
2,double,uniform,GPU,"D | D | D | D",64,3,0.019456,0,0.038058,0.012288,0.116806,0.069802
2,double,uniform,GPU,"D | D | D | D",64,4,0.019456,0,0.038757,0.012288,0.117529,0.070501
2,double,uniform,GPU,"D | D | D | D",64,5,0.018432,0,0.038945,0.011264,0.124001,0.068641
2,double,uniform,GPU,"D | D | D | D",64,6,0.019456,0,0.037794,0.011264,0.115407,0.068514
2,double,uniform,GPU,"D | D | D | D",64,7,0.019456,0,0.038313,0.012288,0.116491,0.070057
2,double,uniform,GPU,"D | D | D | D",64,8,0.019456,0,0.03764,0.019456,0.122995,0.076552
2,double,uniform,GPU,"D | D | D | D",64,9,0.018432,0,0.038238,0.012288,0.118382,0.068958
2,double,uniform,GPU,"D | D | D | D",64,10,0.018432,0,0.037835,0.011264,0.115044,0.067531
2,double,uniform,GPU,"D | D | D | D",64,11,0.018432,0,0.037879,0.011264,0.11647,0.067575
2,double,uniform,GPU,"D | D | D | D",64,12,0.018432,0,0.038777,0.012288,0.116611,0.069497
2,double,uniform,GPU,"D | D | D | D",64,13,0.018432,0,0.037696,0.011264,0.114393,0.067392
2,double,uniform,GPU,"D | D | D | D",64,14,0.019456,0,0.037829,0.011264,0.115197,0.068549
2,double,uniform,GPU,"D | D | D | D",64,15,0.019456,0,0.038607,0.011264,0.116823,0.069327
2,double,uniform,GPU,"D | D | D | D",64,16,0.019456,0,0.038344,0.013312,0.116473,0.071112
2,double,uniform,GPU,"D | D | D | D",64,17,0.019456,0,0.037867,0.012288,0.115253,0.069611
2,double,uniform,GPU,"D | D | D | D",64,18,0.018432,0,0.03741,0.014336,0.117838,0.070178
2,double,uniform,GPU,"D | D | D | D",64,19,0.019456,0,0.03798,0.012288,0.12007,0.069724
2,double,uniform,GPU,"D | D | D | D",128,0,0.025728,0,0.053625,0.019456,0.154471,0.098809
2,double,uniform,GPU,"D | D | D | D",128,1,0.01776,0,0.047118,0.013312,0.132651,0.07819
2,double,uniform,GPU,"D | D | D | D",128,2,0.014336,0,0.045973,0.019456,0.133766,0.079765
2,double,uniform,GPU,"D | D | D | D",128,3,0.014048,0,0.046383,0.011264,0.125499,0.071695
2,double,uniform,GPU,"D | D | D | D",128,4,0.01296,0,0.044851,0.011264,0.123946,0.069075
2,double,uniform,GPU,"D | D | D | D",128,5,0.015104,0,0.044784,0.011264,0.126215,0.071152
2,double,uniform,GPU,"D | D | D | D",128,6,0.013248,0,0.045549,0.011264,0.124526,0.070061
2,double,uniform,GPU,"D | D | D | D",128,7,0.012352,0,0.04558,0.011264,0.123112,0.069196
2,double,uniform,GPU,"D | D | D | D",128,8,0.012288,0,0.044763,0.011264,0.123039,0.068315
2,double,uniform,GPU,"D | D | D | D",128,9,0.017472,0,0.04523,0.012288,0.126673,0.07499
2,double,uniform,GPU,"D | D | D | D",128,10,0.01392,0,0.045736,0.018432,0.130729,0.078088
2,double,uniform,GPU,"D | D | D | D",128,11,0.01248,0,0.045113,0.012288,0.122765,0.069881
2,double,uniform,GPU,"D | D | D | D",128,12,0.01232,0,0.045035,0.012288,0.123084,0.069643
2,double,uniform,GPU,"D | D | D | D",128,13,0.015072,0,0.045423,0.011264,0.125145,0.071759
2,double,uniform,GPU,"D | D | D | D",128,14,0.016512,0,0.044944,0.013312,0.127409,0.074768
2,double,uniform,GPU,"D | D | D | D",128,15,0.014016,0,0.045478,0.011264,0.123627,0.070758
2,double,uniform,GPU,"D | D | D | D",128,16,0.013184,0,0.045254,0.011264,0.122641,0.069702
2,double,uniform,GPU,"D | D | D | D",128,17,0.014272,0,0.045102,0.012288,0.13094,0.071662
2,double,uniform,GPU,"D | D | D | D",128,18,0.01328,0,0.044565,0.013312,0.123805,0.071157
2,double,uniform,GPU,"D | D | D | D",128,19,0.013248,0,0.045473,0.016384,0.127579,0.075105
2,double,uniform,GPU,"D | D | D | D",192,0,0.028192,0,0.069401,0.0256,0.197665,0.123193
2,double,uniform,GPU,"D | D | D | D",192,1,0.017152,0,0.058395,0.019456,0.16337,0.095003
2,double,uniform,GPU,"D | D | D | D",192,2,0.018688,0,0.055269,0.013312,0.15403,0.087269
2,double,uniform,GPU,"D | D | D | D",192,3,0.019072,0,0.056104,0.013312,0.155434,0.088488
2,double,uniform,GPU,"D | D | D | D",192,4,0.020096,0,0.055617,0.011264,0.154507,0.086977
2,double,uniform,GPU,"D | D | D | D",192,5,0.018976,0,0.055532,0.013312,0.154732,0.08782
2,double,uniform,GPU,"D | D | D | D",192,6,0.018528,0,0.056203,0.013312,0.154109,0.088043
2,double,uniform,GPU,"D | D | D | D",192,7,0.019104,0,0.055927,0.013312,0.157329,0.088343
2,double,uniform,GPU,"D | D | D | D",192,8,0.01856,0,0.055568,0.012288,0.153147,0.086416
2,double,uniform,GPU,"D | D | D | D",192,9,0.017536,0,0.055221,0.012288,0.15249,0.085045
2,double,uniform,GPU,"D | D | D | D",192,10,0.018336,0,0.074495,0.012288,0.172251,0.105119
2,double,uniform,GPU,"D | D | D | D",192,11,0.020608,0,0.055685,0.012288,0.155712,0.088581
2,double,uniform,GPU,"D | D | D | D",192,12,0.019008,0,0.055734,0.011264,0.154063,0.086006
2,double,uniform,GPU,"D | D | D | D",192,13,0.018656,0,0.055658,0.012288,0.154666,0.086602
2,double,uniform,GPU,"D | D | D | D",192,14,0.019712,0,0.055244,0.012288,0.154074,0.087244
2,double,uniform,GPU,"D | D | D | D",192,15,0.017984,0,0.055877,0.012288,0.152384,0.086149
2,double,uniform,GPU,"D | D | D | D",192,16,0.018976,0,0.055361,0.011264,0.152991,0.085601
2,double,uniform,GPU,"D | D | D | D",192,17,0.017664,0,0.055602,0.012288,0.151946,0.085554
2,double,uniform,GPU,"D | D | D | D",192,18,0.019744,0,0.055837,0.013312,0.15513,0.088893
2,double,uniform,GPU,"D | D | D | D",192,19,0.01808,0,0.055868,0.012288,0.15318,0.086236
2,double,uniform,GPU,"D | D | D | D",256,0,0.017088,0,0.071451,0.017408,0.195651,0.105947
2,double,uniform,GPU,"D | D | D | D",256,1,0.02032,0,0.061481,0.014336,0.183346,0.096137
2,double,uniform,GPU,"D | D | D | D",256,2,0.018208,0,0.060435,0.013312,0.182,0.091955
2,double,uniform,GPU,"D | D | D | D",256,3,0.019904,0,0.061957,0.013312,0.180573,0.095173
2,double,uniform,GPU,"D | D | D | D",256,4,0.01904,0,0.061278,0.02048,0.186603,0.100798
2,double,uniform,GPU,"D | D | D | D",256,5,0.019808,0,0.061524,0.013312,0.179974,0.094644
2,double,uniform,GPU,"D | D | D | D",256,6,0.018912,0,0.060974,0.013312,0.178092,0.093198
2,double,uniform,GPU,"D | D | D | D",256,7,0.01808,0,0.061088,0.013312,0.177871,0.09248
2,double,uniform,GPU,"D | D | D | D",256,8,0.020512,0,0.061976,0.013312,0.180566,0.0958
2,double,uniform,GPU,"D | D | D | D",256,9,0.018368,0,0.061072,0.013312,0.176677,0.092752
2,double,uniform,GPU,"D | D | D | D",256,10,0.018176,0,0.061554,0.013312,0.178503,0.093042
2,double,uniform,GPU,"D | D | D | D",256,11,0.018432,0,0.061576,0.012288,0.178433,0.092296
2,double,uniform,GPU,"D | D | D | D",256,12,0.019072,0,0.060926,0.013312,0.178191,0.09331
2,double,uniform,GPU,"D | D | D | D",256,13,0.018784,0,0.061202,0.013312,0.177775,0.093298
2,double,uniform,GPU,"D | D | D | D",256,14,0.019168,0,0.061333,0.012288,0.17808,0.092789
2,double,uniform,GPU,"D | D | D | D",256,15,0.0168,0,0.061238,0.014336,0.176409,0.092374
2,double,uniform,GPU,"D | D | D | D",256,16,0.018368,0,0.061346,0.013312,0.178629,0.093026
2,double,uniform,GPU,"D | D | D | D",256,17,0.019552,0,0.060947,0.012288,0.177882,0.092787
2,double,uniform,GPU,"D | D | D | D",256,18,0.01952,0,0.061716,0.013312,0.179603,0.094548
