dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"Ns | Ds",64,0,0.0768,0,0.052487,0.376832,0.593835,0.506119
1,double,uniform,GPU,"Ns | Ds",64,1,0.022528,0,0.030127,0.014336,0.115138,0.066991
1,double,uniform,GPU,"Ns | Ds",64,2,0.019456,0,0.025238,0.077824,0.169337,0.122518
1,double,uniform,GPU,"Ns | Ds",64,3,0.019456,0,0.024267,0.012288,0.100578,0.056011
1,double,uniform,GPU,"Ns | Ds",64,4,0.017408,0,0.024266,0.011264,0.102007,0.052938
1,double,uniform,GPU,"Ns | Ds",64,5,0.018432,0,0.024098,0.012288,0.100393,0.054818
1,double,uniform,GPU,"Ns | Ds",64,6,0.019456,0,0.02545,0.011264,0.103913,0.05617
1,double,uniform,GPU,"Ns | Ds",64,7,0.017408,0,0.024093,0.011264,0.100188,0.052765
1,double,uniform,GPU,"Ns | Ds",64,8,0.018432,0,0.023373,0.012288,0.099317,0.054093
1,double,uniform,GPU,"Ns | Ds",64,9,0.018432,0,0.023819,0.012288,0.10014,0.054539
1,double,uniform,GPU,"Ns | Ds",64,10,0.018432,0,0.023508,0.013312,0.101106,0.055252
1,double,uniform,GPU,"Ns | Ds",64,11,0.019456,0,0.023313,0.012288,0.099152,0.055057
1,double,uniform,GPU,"Ns | Ds",64,12,0.017408,0,0.023439,0.012288,0.100455,0.053135
1,double,uniform,GPU,"Ns | Ds",64,13,0.018432,0,0.024123,0.012288,0.100849,0.054843
1,double,uniform,GPU,"Ns | Ds",64,14,0.019456,0,0.023391,0.012288,0.100247,0.055135
1,double,uniform,GPU,"Ns | Ds",64,15,0.017408,0,0.023554,0.012288,0.100023,0.05325
1,double,uniform,GPU,"Ns | Ds",64,16,0.017408,0,0.023139,0.011264,0.099385,0.051811
1,double,uniform,GPU,"Ns | Ds",64,17,0.017408,0,0.023464,0.013312,0.106202,0.054184
1,double,uniform,GPU,"Ns | Ds",64,18,0.018432,0,0.023629,0.012288,0.100467,0.054349
1,double,uniform,GPU,"Ns | Ds",64,19,0.018432,0,0.023373,0.012288,0.100077,0.054093
1,double,uniform,GPU,"Ns | Ds",128,0,0.029696,0,0.033607,0.02048,0.139286,0.083783
1,double,uniform,GPU,"Ns | Ds",128,1,0.02048,0,0.025361,0.013312,0.114685,0.059153
1,double,uniform,GPU,"Ns | Ds",128,2,0.018432,0,0.02409,0.012288,0.102944,0.05481
1,double,uniform,GPU,"Ns | Ds",128,3,0.018432,0,0.024852,0.012288,0.102254,0.055572
1,double,uniform,GPU,"Ns | Ds",128,4,0.019456,0,0.024534,0.012288,0.102378,0.056278
1,double,uniform,GPU,"Ns | Ds",128,5,0.018432,0,0.024438,0.012288,0.104591,0.055158
1,double,uniform,GPU,"Ns | Ds",128,6,0.018432,0,0.023957,0.012288,0.100445,0.054677
1,double,uniform,GPU,"Ns | Ds",128,7,0.018432,0,0.024317,0.011264,0.099806,0.054013
1,double,uniform,GPU,"Ns | Ds",128,8,0.018432,0,0.024109,0.011264,0.101241,0.053805
1,double,uniform,GPU,"Ns | Ds",128,9,0.019456,0,0.023821,0.012288,0.099837,0.055565
1,double,uniform,GPU,"Ns | Ds",128,10,0.021504,0,0.023513,0.012288,0.102802,0.057305
1,double,uniform,GPU,"Ns | Ds",128,11,0.017408,0,0.025854,0.013312,0.10508,0.056574
1,double,uniform,GPU,"Ns | Ds",128,12,0.018432,0,0.024056,0.011264,0.099577,0.053752
1,double,uniform,GPU,"Ns | Ds",128,13,0.019456,0,0.023981,0.012288,0.101395,0.055725
1,double,uniform,GPU,"Ns | Ds",128,14,0.018432,0,0.023761,0.012288,0.101074,0.054481
1,double,uniform,GPU,"Ns | Ds",128,15,0.019456,0,0.023831,0.011264,0.103066,0.054551
1,double,uniform,GPU,"Ns | Ds",128,16,0.018432,0,0.024335,0.011264,0.190146,0.054031
1,double,uniform,GPU,"Ns | Ds",128,17,0.018432,0,0.024051,0.011264,0.09959,0.053747
1,double,uniform,GPU,"Ns | Ds",128,18,0.019456,0,0.023825,0.012288,0.10098,0.055569
1,double,uniform,GPU,"Ns | Ds",128,19,0.021504,0,0.024508,0.011264,0.102752,0.057276
1,double,uniform,GPU,"Ns | Ds",192,0,0.03072,0,0.04001,0.018432,0.146207,0.089162
1,double,uniform,GPU,"Ns | Ds",192,1,0.02048,0,0.028878,0.013312,0.111358,0.06267
1,double,uniform,GPU,"Ns | Ds",192,2,0.019456,0,0.02819,0.013312,0.107759,0.060958
1,double,uniform,GPU,"Ns | Ds",192,3,0.022528,0,0.027635,0.013312,0.109257,0.063475
1,double,uniform,GPU,"Ns | Ds",192,4,0.019456,0,0.027152,0.011264,0.104691,0.057872
1,double,uniform,GPU,"Ns | Ds",192,5,0.018432,0,0.028084,0.011264,0.10474,0.05778
1,double,uniform,GPU,"Ns | Ds",192,6,0.019456,0,0.027017,0.012288,0.104513,0.058761
1,double,uniform,GPU,"Ns | Ds",192,7,0.018432,0,0.027591,0.012288,0.10478,0.058311
1,double,uniform,GPU,"Ns | Ds",192,8,0.021504,0,0.027056,0.01024,0.106223,0.0588
1,double,uniform,GPU,"Ns | Ds",192,9,0.018432,0,0.026675,0.011264,0.101765,0.056371
1,double,uniform,GPU,"Ns | Ds",192,10,0.028672,0,0.026776,0.011264,0.113293,0.066712
1,double,uniform,GPU,"Ns | Ds",192,11,0.019456,0,0.02682,0.011264,0.103188,0.05754
1,double,uniform,GPU,"Ns | Ds",192,12,0.017408,0,0.02694,0.013312,0.103568,0.05766
1,double,uniform,GPU,"Ns | Ds",192,13,0.018432,0,0.027316,0.012288,0.10401,0.058036
1,double,uniform,GPU,"Ns | Ds",192,14,0.019456,0,0.026944,0.011264,0.103153,0.057664
1,double,uniform,GPU,"Ns | Ds",192,15,0.019456,0,0.026641,0.012288,0.103446,0.058385
1,double,uniform,GPU,"Ns | Ds",192,16,0.017408,0,0.02701,0.011264,0.102505,0.055682
1,double,uniform,GPU,"Ns | Ds",192,17,0.021504,0,0.026844,0.012288,0.107406,0.060636
1,double,uniform,GPU,"Ns | Ds",192,18,0.018432,0,0.027048,0.103424,0.195535,0.148904
1,double,uniform,GPU,"Ns | Ds",192,19,0.018432,0,0.026668,0.012288,0.103022,0.057388
1,double,uniform,GPU,"Ns | Ds",256,0,0.043008,0,0.039962,0.023552,0.170104,0.106522
1,double,uniform,GPU,"Ns | Ds",256,1,0.02048,0,0.027442,0.013312,0.110686,0.061234
1,double,uniform,GPU,"Ns | Ds",256,2,0.02048,0,0.028505,0.013312,0.115,0.062297
1,double,uniform,GPU,"Ns | Ds",256,3,0.019456,0,0.025574,0.013312,0.104565,0.058342
1,double,uniform,GPU,"Ns | Ds",256,4,0.018432,0,0.026233,0.011264,0.104301,0.055929
1,double,uniform,GPU,"Ns | Ds",256,5,0.018432,0,0.026223,0.013312,0.232125,0.057967
1,double,uniform,GPU,"Ns | Ds",256,6,0.019456,0,0.025385,0.012288,0.102187,0.057129
1,double,uniform,GPU,"Ns | Ds",256,7,0.02048,0,0.025317,0.014336,0.105187,0.060133
1,double,uniform,GPU,"Ns | Ds",256,8,0.019456,0,0.026078,0.011264,0.10261,0.056798
1,double,uniform,GPU,"Ns | Ds",256,9,0.018432,0,0.025202,0.013312,0.102714,0.056946
1,double,uniform,GPU,"Ns | Ds",256,10,0.018432,0,0.025941,0.012288,0.103379,0.056661
1,double,uniform,GPU,"Ns | Ds",256,11,0.017408,0,0.026064,0.011264,0.102737,0.054736
1,double,uniform,GPU,"Ns | Ds",256,12,0.018432,0,0.025333,0.012288,0.1043,0.056053
1,double,uniform,GPU,"Ns | Ds",256,13,0.019456,0,0.028926,0.013312,0.10893,0.061694
1,double,uniform,GPU,"Ns | Ds",256,14,0.019456,0,0.025754,0.012288,0.102475,0.057498
1,double,uniform,GPU,"Ns | Ds",256,15,0.018432,0,0.025687,0.104448,0.195577,0.148567
1,double,uniform,GPU,"Ns | Ds",256,16,0.019456,0,0.025203,0.012288,0.101167,0.056947
1,double,uniform,GPU,"Ns | Ds",256,17,0.021504,0,0.025258,0.012288,0.104454,0.05905
1,double,uniform,GPU,"Ns | Ds",256,18,0.018432,0,0.02565,0.012288,0.101887,0.05637
1,double,uniform,GPU,"Ns | Ds",256,19,0.017408,0,0.025488,0.012288,0.102675,0.055184
1,double,uniform,GPU,"Ns | Ds",320,0,0.03072,0,0.035608,0.024576,0.146255,0.090904
1,double,uniform,GPU,"Ns | Ds",320,1,0.02048,0,0.031478,0.014336,0.116066,0.066294
1,double,uniform,GPU,"Ns | Ds",320,2,0.019456,0,0.026134,0.013312,0.105127,0.058902
1,double,uniform,GPU,"Ns | Ds",320,3,0.019456,0,0.025991,0.012288,0.103167,0.057735
1,double,uniform,GPU,"Ns | Ds",320,4,0.018432,0,0.025267,0.011264,0.101574,0.054963
1,double,uniform,GPU,"Ns | Ds",320,5,0.018432,0,0.025708,0.012288,0.102839,0.056428
1,double,uniform,GPU,"Ns | Ds",320,6,0.023552,0,0.025785,0.012288,0.107293,0.061625
1,double,uniform,GPU,"Ns | Ds",320,7,0.02048,0,0.025544,0.012288,0.10268,0.058312
1,double,uniform,GPU,"Ns | Ds",320,8,0.019456,0,0.025538,0.011264,0.103002,0.056258
1,double,uniform,GPU,"Ns | Ds",320,9,0.019456,0,0.025354,0.012288,0.104359,0.057098
1,double,uniform,GPU,"Ns | Ds",320,10,0.018432,0,0.024986,0.013312,0.102137,0.05673
1,double,uniform,GPU,"Ns | Ds",320,11,0.018432,0,0.025464,0.012288,0.102253,0.056184
1,double,uniform,GPU,"Ns | Ds",320,12,0.019456,0,0.025441,0.012288,0.103151,0.057185
1,double,uniform,GPU,"Ns | Ds",320,13,0.018432,0,0.025553,0.013312,0.102957,0.057297
1,double,uniform,GPU,"Ns | Ds",320,14,0.019456,0,0.025813,0.013312,0.103801,0.058581
1,double,uniform,GPU,"Ns | Ds",320,15,0.022528,0,0.025283,0.012288,0.104524,0.060099
1,double,uniform,GPU,"Ns | Ds",320,16,0.018432,0,0.025353,0.012288,0.103814,0.056073
1,double,uniform,GPU,"Ns | Ds",320,17,0.018432,0,0.02652,0.011264,0.104156,0.056216
1,double,uniform,GPU,"Ns | Ds",320,18,0.019456,0,0.025677,0.012288,0.102258,0.057421
1,double,uniform,GPU,"Ns | Ds",320,19,0.019456,0,0.025963,0.011264,0.102242,0.056683
1,double,uniform,GPU,"Ns | Ds",384,0,0.031744,0,0.04025,0.016384,0.14466,0.088378
1,double,uniform,GPU,"Ns | Ds",384,1,0.022528,0,0.028881,0.014336,0.113667,0.065745
1,double,uniform,GPU,"Ns | Ds",384,2,0.018432,0,0.027803,0.013312,0.108841,0.059547
1,double,uniform,GPU,"Ns | Ds",384,3,0.019456,0,0.031701,0.013312,0.110382,0.064469
1,double,uniform,GPU,"Ns | Ds",384,4,0.018432,0,0.02825,0.01536,0.110021,0.062042
1,double,uniform,GPU,"Ns | Ds",384,5,0.018432,0,0.027342,0.012288,0.1045,0.058062
1,double,uniform,GPU,"Ns | Ds",384,6,0.019456,0,0.027064,0.012288,0.103764,0.058808
1,double,uniform,GPU,"Ns | Ds",384,7,0.018432,0,0.027524,0.013312,0.105511,0.059268
1,double,uniform,GPU,"Ns | Ds",384,8,0.018432,0,0.027884,0.012288,0.104777,0.058604
1,double,uniform,GPU,"Ns | Ds",384,9,0.019456,0,0.027871,0.012288,0.107863,0.059615
1,double,uniform,GPU,"Ns | Ds",384,10,0.018432,0,0.027313,0.012288,0.105347,0.058033
1,double,uniform,GPU,"Ns | Ds",384,11,0.019456,0,0.027052,0.012288,0.10481,0.058796
1,double,uniform,GPU,"Ns | Ds",384,12,0.017408,0,0.027015,0.012288,0.103694,0.056711
1,double,uniform,GPU,"Ns | Ds",384,13,0.018432,0,0.027701,0.011264,0.103899,0.057397
1,double,uniform,GPU,"Ns | Ds",384,14,0.017408,0,0.031181,0.012288,0.107649,0.060877
1,double,uniform,GPU,"Ns | Ds",384,15,0.018432,0,0.027116,0.012288,0.104842,0.057836
1,double,uniform,GPU,"Ns | Ds",384,16,0.018432,0,0.027548,0.011264,0.103465,0.057244
1,double,uniform,GPU,"Ns | Ds",384,17,0.019456,0,0.027631,0.011264,0.104054,0.058351
1,double,uniform,GPU,"Ns | Ds",384,18,0.018432,0,0.027748,0.012288,0.104753,0.058468
1,double,uniform,GPU,"Ns | Ds",384,19,0.019456,0,0.027148,0.012288,0.105262,0.058892
1,double,uniform,GPU,"Ns | Ds",448,0,0.03072,0,0.034934,0.018432,0.137297,0.084086
