dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,0,0.070656,0,0.061828,0.36352,0.583643,0.496004
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,1,0.021504,0,0.036904,0.014336,0.122181,0.072744
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,2,0.02048,0,0.029745,0.014336,0.110762,0.064561
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,3,0.018432,0,0.030012,0.011264,0.109324,0.059708
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,4,0.019456,0,0.030702,0.011264,0.111938,0.061422
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,5,0.019456,0,0.029967,0.013312,0.109862,0.062735
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,6,0.019456,0,0.033102,0.012288,0.112406,0.064846
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,7,0.018432,0,0.029489,0.011264,0.107818,0.059185
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,8,0.019456,0,0.029784,0.013312,0.108883,0.062552
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,9,0.019456,0,0.029961,0.012288,0.108323,0.061705
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,10,0.018432,0,0.029266,0.012288,0.108629,0.059986
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,11,0.019456,0,0.029281,0.011264,0.107749,0.060001
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,12,0.018432,0,0.029369,0.012288,0.107982,0.060089
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,13,0.019456,0,0.030132,0.011264,0.109216,0.060852
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,14,0.018432,0,0.030089,0.013312,0.108859,0.061833
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,15,0.019456,0,0.029582,0.013312,0.107866,0.06235
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,16,0.019456,0,0.029303,0.013312,0.108818,0.062071
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,17,0.017408,0,0.029752,0.011264,0.10805,0.058424
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,18,0.019456,0,0.029155,0.01536,0.111413,0.063971
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,19,0.018432,0,0.029559,0.012288,0.107265,0.060279
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",128,0,0.032768,0,0.043911,0.016384,0.148099,0.093063
