dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,0,0.044288,0.004128,0.103202,0.441344,0.740786,0.592962
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,1,0.03152,0.003886,0.082945,0.031744,0.294753,0.150095
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,2,0.030976,0.004412,0.076998,0.029696,0.315272,0.142082
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,3,0.02368,0.003761,0.072214,0.028672,0.271625,0.128327
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,4,0.030528,0.003682,0.080073,0.027648,0.287208,0.141931
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,5,0.0296,0.003624,0.070731,0.027648,0.27424,0.131603
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,6,0.029504,0.003674,0.071262,0.027648,0.275812,0.132088
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,7,0.031104,0.003779,0.07288,0.028672,0.306443,0.136435
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,8,0.028864,0.003649,0.07157,0.027648,0.274949,0.131731
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,9,0.030336,0.00361,0.071824,0.028672,0.27771,0.134442
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,10,0.02944,0.003601,0.072089,0.026624,0.276479,0.131754
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,11,0.03024,0.003762,0.071169,0.028672,0.276762,0.133843
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,12,0.032672,0.003705,0.071228,0.027648,0.280314,0.135253
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,13,0.0248,0.003921,0.073748,0.028672,0.275218,0.131141
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,14,0.02592,0.003942,0.095532,0.028672,0.298097,0.154066
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,15,0.031264,0.003733,0.072023,0.029696,0.277671,0.136716
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,16,0.028352,0.003706,0.076562,0.028672,0.280605,0.137292
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,17,0.029696,0.003591,0.072539,0.029696,0.276805,0.135522
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,18,0.027648,0.003611,0.070628,0.029696,0.274358,0.131583
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,19,0.02976,0.003583,0.073934,0.027648,0.282441,0.134925
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,0,0.104832,0.004211,0.534961,0.248832,1.04991,0.892836
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,1,0.103104,0.003971,0.503404,0.238592,0.995351,0.849071
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,2,0.106208,0.003952,0.500366,0.242688,0.996648,0.853214
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,3,0.10656,0.003921,0.500335,0.242688,1.00241,0.853504
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,4,0.108064,0.004001,0.504809,0.241664,1.00509,0.858538
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,5,0.102272,0.00395,0.500666,0.24064,1.00293,0.847528
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,6,0.104704,0.004052,0.501251,0.239616,1.10064,0.849623
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,7,0.105056,0.004001,0.501495,0.27136,1.02988,0.881912
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,8,0.108832,0.004021,0.502572,0.239616,1.0021,0.855041
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,9,0.106432,0.004285,0.499389,0.241664,1.0021,0.85177
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,10,0.10448,0.0041,0.500633,0.243712,0.999937,0.852925
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,11,0.102752,0.004495,0.498201,0.24064,0.993304,0.846088
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,12,0.104384,0.004203,0.498714,0.24064,0.995155,0.847941
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,13,0.103072,0.003962,0.502235,0.241664,0.997017,0.850933
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,14,0.1016,0.004153,0.501133,0.242688,0.99692,0.849574
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,15,0.105152,0.004287,0.501618,0.24064,0.997997,0.851697
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,16,0.103616,0.003943,0.499046,0.243712,0.997057,0.850317
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,17,0.103968,0.004101,0.498993,0.241664,1.05607,0.848726
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,18,0.102752,0.004226,0.498911,0.24064,0.995778,0.846529
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,19,0.110464,0.003832,0.497538,0.239616,0.997828,0.85145
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,0,0.314528,0.003832,1.59556,0.758784,2.81954,2.67271
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,1,0.309472,0.00378,1.57124,0.756736,2.78603,2.64123
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,2,0.310656,0.003659,1.56946,0.755712,2.78234,2.63949
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,3,0.31168,0.003861,1.57871,0.755712,2.79557,2.64997
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,4,0.31296,0.004172,1.57581,0.758784,2.79501,2.65172
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,5,0.309408,0.003782,1.57145,0.754688,2.78506,2.63932
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,6,0.311648,0.003568,1.57318,0.756736,2.78732,2.64513
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,7,0.30992,0.00371,1.56972,0.75776,2.78415,2.64111
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,8,0.309504,0.003443,1.57216,0.756736,2.78466,2.64185
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,9,0.308672,0.004085,1.5733,0.75776,2.78915,2.64382
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,10,0.312672,0.003929,1.57559,0.760832,2.79905,2.65302
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,11,0.30976,0.003682,1.5711,0.756736,2.78928,2.64128
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,12,0.310464,0.003619,1.57373,0.758784,2.79164,2.6466
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,13,0.310144,0.003921,1.59818,0.75776,2.81744,2.67
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,14,0.3096,0.003643,1.56794,0.755712,2.78204,2.63689
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,15,0.311136,0.003844,1.56898,0.75776,2.78587,2.64172
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,16,0.310048,0.003555,1.57218,0.753664,2.78668,2.63945
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,17,0.31184,0.003856,1.57593,0.755712,2.79621,2.64734
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,18,0.308256,0.003456,1.57428,0.75776,2.78833,2.64375
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,19,0.307488,0.003649,1.572,0.760832,2.78709,2.64397
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",256,0,0.705952,0.002883,3.76778,1.77254,6.38546,6.24916
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",256,1,0.704896,0.002913,3.74214,1.76435,6.35054,6.2143
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",256,2,0.705472,0.002891,3.74348,1.76026,6.35085,6.2121
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",256,3,0.700736,0.002958,3.7312,1.76435,6.33768,6.19925
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",256,4,0.70192,0.002893,3.73574,1.76128,6.34175,6.20183
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",256,5,0.706656,0.002928,3.73791,1.7623,6.34765,6.20979
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",256,6,0.704448,0.002912,3.73176,1.7623,6.33909,6.20143
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",256,7,0.704608,0.002878,3.72324,1.7623,6.32943,6.19303
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",256,8,0.699424,0.003227,3.74612,1.76435,6.35037,6.21312
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",256,9,0.702112,0.003194,3.73528,1.76333,6.34322,6.20391
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",256,10,0.704416,0.00293,3.72983,1.7623,6.33787,6.19948
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",256,11,0.706496,0.003247,3.72882,1.76435,6.33969,6.20291
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",256,12,0.70432,0.002929,3.74371,1.76333,6.35142,6.21429
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",256,13,0.704128,0.00288,3.73382,1.7664,6.34449,6.20723
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",256,14,0.70496,0.002889,3.72922,1.76435,6.33885,6.20142
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",256,15,0.704032,0.002863,3.74245,1.76435,6.35238,6.2137
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",256,16,0.698656,0.002923,3.73395,1.7623,6.33585,6.19783
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",256,17,0.704576,0.00293,3.73252,1.76128,6.33982,6.20131
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",256,18,0.704288,0.002948,3.72823,1.76435,6.33598,6.19981
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",256,19,0.706368,0.002879,3.74457,1.76538,6.35584,6.21919
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",320,0,1.36938,0.002845,8.18425,3.46931,13.1647,13.0258
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",320,1,1.36646,0.003028,8.16408,3.46726,13.1387,13.0008
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",320,2,1.3655,0.002826,8.15565,3.46931,13.1334,12.9933
