dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,0,     649.208239
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,1,     634.509983
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,2,     634.843673
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,3,     632.132887
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,4,     632.630687
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,5,     633.572499
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,6,     637.037292
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,7,     631.694166
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,8,     631.380932
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,9,     629.076549
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,10,     635.866295
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,11,     632.715244
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,12,     629.855100
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,13,     632.350850
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,14,     630.830837
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,15,     635.150329
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,16,     639.187690
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,17,     633.720292
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,18,     634.654027
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,19,     630.213146
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,20,     635.136540
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,21,     632.290414
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,22,     634.727618
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,23,     632.871151
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,24,     632.252125
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,25,     630.991607
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,26,     629.612629
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,27,     629.990717
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,28,     631.421901
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,512,29,     636.503760
