dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,0,     884.965263
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,1,     880.245541
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,2,     882.645497
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,3,     882.880315
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,4,     881.617172
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,5,     881.561753
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,6,     881.347408
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,7,     882.667189
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,8,     880.568957
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,9,     882.123732
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,10,     881.314381
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,11,     881.775901
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,12,     881.970502
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,13,     882.106140
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,14,     881.738988
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,15,     883.280843
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,16,     881.333894
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,17,     881.189128
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,18,     884.384483
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,19,     879.744469
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,20,     881.167513
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,21,     880.260526
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,22,     880.962682
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,23,     880.905798
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,24,     882.128559
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,25,     881.866490
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,26,     881.600867
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,27,     881.295043
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,28,     880.271800
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,512,29,     880.951981
