dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,0,    1311.619027
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,1,    1275.444086
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,2,    1293.565179
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,3,    1282.097251
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,4,    1286.754563
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,5,    1279.741231
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,6,    1290.270203
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,7,    1279.803219
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,8,    1276.509035
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,9,    1284.359847
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,10,    1281.058188
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,11,    1280.155353
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,12,    1284.479097
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,13,    1276.795724
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,14,    1280.764018
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,15,    1281.866495
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,16,    1280.150786
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,17,    1287.318087
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,18,    1284.143053
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,19,    1276.858236
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,20,    1279.797884
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,21,    1274.002295
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,22,    1280.199822
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,23,    1284.130407
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,24,    1283.490181
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,25,    1292.384372
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,26,    1277.788380
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,27,    1277.611669
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,28,    1278.037267
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,512,29,    1285.195359
