dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,0,   13235.103295
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,1,   13253.915788
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,2,   13256.313611
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,3,   13259.532628
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,4,   13259.949427
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,5,   13258.839759
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,6,   13259.862848
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,7,   13251.110021
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,8,   13251.942794
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,9,   13253.390307
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,10,   13241.314374
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,11,   13256.827276
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,12,   13258.942771
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,13,   13245.679144
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,14,   13255.951598
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,15,   13243.201571
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,16,   13259.073206
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,17,   13258.866288
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,18,   13262.654419
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,19,   13253.538513
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,20,   13255.128447
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,21,   13250.305130
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,22,   13254.075245
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,23,   13248.599690
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,24,   13257.090864
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,25,   13249.558142
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,26,   13250.966578
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,27,   13254.336740
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,28,   13253.483702
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,29,   13250.243722
