dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,0,     810.625256
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,1,     772.459615
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,2,     774.766329
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,3,     775.675623
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,4,     765.878945
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,5,     772.939550
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,6,     775.893400
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,7,     773.552827
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,8,     768.892282
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,9,     767.680792
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,10,     770.114016
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,11,     768.762924
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,12,     770.429262
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,13,     767.864223
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,14,     773.983047
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,15,     777.472073
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,16,     770.437685
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,17,     776.502426
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,18,     777.029000
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,19,     773.833330
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,20,     772.411409
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,21,     775.261923
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,22,     770.465989
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,23,     771.477221
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,24,     771.829653
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,25,     769.355561
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,26,     772.007911
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,27,     775.016011
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,28,     770.236279
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,29,     770.417033
