dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,0,    4624.131076
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,1,    4544.777090
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,2,    4534.789252
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,3,    4566.981697
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,4,    4554.267462
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,5,    4524.832715
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,6,    4507.073967
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,7,    4511.461537
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,8,    4511.318055
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,9,    4512.626937
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,10,    4514.692163
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,11,    4515.014295
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,12,    4512.801522
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,13,    4512.452121
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,14,    4514.981750
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,15,    4514.745293
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,16,    4511.042979
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,17,    4508.473652
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,18,    4507.725359
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,19,    4504.958797
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,20,    4504.453111
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,21,    4504.669007
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,22,    4506.217284
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,23,    4505.483159
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,24,    4510.189692
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,25,    4504.624009
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,26,    4506.032249
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,27,    4503.657132
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,28,    4503.241900
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,29,    4505.932987
