dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,0,     916.809289
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,1,     915.717441
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,2,     916.866219
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,3,     918.174008
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,4,     920.788181
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,5,     933.960001
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,6,     918.453856
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,7,     916.962736
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,8,     915.757507
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,9,     919.170022
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,10,     921.808880
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,11,     917.986663
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,12,     923.027340
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,13,     915.364902
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,14,     917.820577
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,15,     919.592846
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,16,     910.869855
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,17,     910.790147
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,18,     917.178192
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,19,     929.651560
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,20,     918.144799
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,21,     913.340916
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,22,     920.224358
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,23,     917.417990
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,24,     911.977427
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,25,     916.648200
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,26,     915.511065
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,27,     935.186253
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,28,     917.726398
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,29,     912.946236
