dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,0,    9319.942335
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,1,    9300.647598
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,2,    9317.066496
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,3,    9314.144713
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,4,    9318.729592
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,5,    9351.486281
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,6,    9458.419067
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,7,    9311.481805
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,8,    9321.968209
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,9,    9314.760928
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,10,    9313.855631
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,11,    9308.006284
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,12,    9306.827630
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,13,    9311.512224
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,14,    9303.830437
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,15,    9296.642498
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,16,    9297.140444
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,17,    9357.483317
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,18,    9309.353236
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,19,    9305.391902
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,20,    9313.001961
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,21,    9308.835319
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,22,    9317.073244
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,23,    9325.626486
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,24,    9307.084796
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,25,    9315.672083
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,26,    9310.861042
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,27,    9308.633853
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,28,    9313.309663
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,512,29,    9304.860072
