dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,0,   11496.748449
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,1,   11458.085361
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,2,   11457.327406
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,3,   11453.198302
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,4,   11455.910359
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,5,   11453.375378
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,6,   11459.666196
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,7,   11458.529582
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,8,   11453.086033
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,9,   11457.846471
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,10,   11464.370394
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,11,   11455.238375
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,12,   11452.083837
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,13,   11457.004416
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,14,   11454.550685
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,15,   11453.076414
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,16,   11452.937379
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,17,   11455.295895
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,18,   11458.872854
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,19,   11454.982681
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,20,   11459.652449
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,21,   11450.707805
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,22,   11449.654790
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,23,   11451.143218
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,24,   11449.344867
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,25,   11450.120735
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,26,   11453.422332
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,27,   11457.747126
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,28,   11451.190497
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,512,29,   11455.244459
