dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,0,    1025.472626
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,1,    1019.119522
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,2,    1026.452742
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,3,    1024.315181
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,4,    1030.937231
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,5,    1016.496299
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,6,    1014.855402
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,7,    1023.686628
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,8,    1015.686593
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,9,    1029.450925
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,10,    1106.786591
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,11,    1116.950245
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,12,    1109.410958
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,13,    1106.881633
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,14,    1109.612897
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,15,    1116.506760
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,16,    1109.006123
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,17,    1115.880480
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,18,    1118.338259
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,19,    1121.301741
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,20,    1115.811532
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,21,    1113.644796
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,22,    1121.756749
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,23,    1114.426716
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,24,    1107.084931
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,25,    1117.317043
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,26,    1102.077020
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,27,    1107.061788
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,28,    1109.139677
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,29,    1107.945581
