dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,0,    6353.260407
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,1,    6223.622652
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,2,    6162.641678
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,3,    6141.591865
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,4,    6122.935892
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,5,    6132.000428
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,6,    6140.092050
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,7,    6138.962411
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,8,    6137.768077
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,9,    6138.808245
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,10,    6137.584983
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,11,    6140.680331
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,12,    6143.759770
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,13,    6142.729378
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,14,    6140.807120
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,15,    6142.101338
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,16,    6140.769179
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,17,    6141.035448
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,18,    6143.246245
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,19,    6143.102816
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,20,    6144.659552
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,21,    6143.878314
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,22,    6141.683189
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,23,    6140.267256
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,24,    6147.070414
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,25,    6138.150289
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,26,    6135.146927
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,27,    6144.127229
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,28,    6137.393594
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,512,29,    6135.425063
