dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,0,    7450.135320
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,1,    7445.513371
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,2,    7442.246100
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,3,    7441.248193
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,4,    7443.077271
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,5,    7440.396159
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,6,    7443.667538
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,7,    7445.335929
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,8,    7436.952154
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,9,    7438.007929
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,10,    7436.542845
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,11,    7443.314085
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,12,    7443.402693
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,13,    7432.440298
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,14,    7445.173482
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,15,    7435.683120
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,16,    7439.233387
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,17,    7571.141554
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,18,    7440.671592
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,19,    7444.675823
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,20,    7431.556624
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,21,    7438.591860
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,22,    7441.916869
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,23,    7444.436012
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,24,    7439.448854
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,25,    7437.570999
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,26,    7441.038060
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,27,    7444.172444
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,28,    7445.050525
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,29,    7445.833292
