dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,0,     680.293347
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,1,     694.434075
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,2,     708.788876
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,3,     704.703491
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,4,     751.998454
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,5,     693.228156
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,6,     709.761003
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,7,     697.834436
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,8,     710.538260
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,9,     725.736839
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,10,     748.249811
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,11,     684.364155
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,12,     764.538078
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,13,     680.882006
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,14,     694.667873
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,15,     716.561068
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,16,     705.625317
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,17,     727.590578
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,18,     706.336605
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,19,     689.702768
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,20,     715.414913
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,21,     684.235509
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,22,     705.680531
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,23,     720.473451
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,24,     677.046643
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,25,     720.643468
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,26,     703.183268
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,27,     796.439009
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,28,     695.646610
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,512,29,     728.346956
