dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,0,     690.255037
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,1,     708.334643
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,2,     718.262685
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,3,     720.887336
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,4,     704.339769
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,5,     736.972694
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,6,     700.029519
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,7,     695.785199
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,8,     712.461821
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,9,     727.450565
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,10,     712.627504
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,11,     698.754003
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,12,     716.436304
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,13,     696.523609
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,14,     698.595982
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,15,     701.937611
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,16,     763.398058
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,17,     715.983524
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,18,     710.347662
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,19,     720.705337
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,20,     710.191117
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,21,     699.641582
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,22,     721.076309
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,23,     712.979552
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,24,     699.326040
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,25,     703.529298
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,26,     711.497114
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,27,     715.954360
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,28,     715.842005
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,29,     702.110865
