dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,0,     375.189189
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,1,     363.053509
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,2,     362.443557
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,3,     361.846748
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,4,     361.577853
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,5,     366.943533
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,6,     364.747012
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,7,     362.609926
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,8,     362.822753
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,9,     363.874042
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,10,     361.712415
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,11,     362.996208
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,12,     363.496571
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,13,     364.438056
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,14,     361.431565
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,15,     363.379416
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,16,     363.879080
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,17,     363.874231
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,18,     363.366795
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,19,     361.773334
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,20,     361.870196
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,21,     361.490890
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,22,     361.910621
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,23,     361.921246
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,24,     360.945401
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,25,     361.904648
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,26,     363.157257
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,27,     362.284608
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,28,     362.782886
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,29,     362.131135
