dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,0,    2528.734673
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,1,    2523.857600
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,2,    2522.131583
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,3,    2523.913197
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,4,    2523.249322
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,5,    2521.986134
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,6,    2522.026504
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,7,    2521.516764
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,8,    2521.915120
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,9,    2521.759867
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,10,    2521.550164
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,11,    2523.185777
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,12,    2522.026771
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,13,    2521.586058
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,14,    2522.168826
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,15,    2521.741240
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,16,    2521.887092
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,17,    2522.017861
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,18,    2523.128341
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,19,    2522.399567
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,20,    2521.500248
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,21,    2522.302022
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,22,    2521.303041
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,23,    2522.236511
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,24,    2533.513755
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,25,    2532.106501
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,26,    2532.472420
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,27,    2532.225746
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,28,    2532.481274
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,29,    2533.382136
