dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,0,    1750.805464
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,1,    1741.522554
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,2,    1778.398180
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,3,    1747.955635
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,4,    1755.079216
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,5,    1764.080135
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,6,    1747.766251
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,7,    1761.039594
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,8,    1763.795900
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,9,    1746.338800
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,10,    1744.104886
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,11,    1745.425056
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,12,    1740.916023
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,13,    1765.399109
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,14,    1754.172937
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,15,    1750.029532
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,16,    1756.298464
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,17,    1755.637043
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,18,    1757.285734
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,19,    1757.415691
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,20,    1758.610981
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,21,    1742.291922
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,22,    1751.590820
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,23,    1758.187252
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,24,    1762.573657
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,25,    1752.681520
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,26,    1771.076079
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,27,    1750.364825
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,28,    1764.462184
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,512,29,    1755.458761
