dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,0,     741.548245
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,1,     749.312355
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,2,     747.651813
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,3,     743.634438
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,4,     733.483005
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,5,     742.677826
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,6,     748.675500
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,7,     749.568064
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,8,     746.786008
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,9,     744.332180
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,10,     746.646419
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,11,     746.467986
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,12,     744.957752
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,13,     738.796293
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,14,     746.910244
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,15,     748.320672
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,16,     737.236708
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,17,     746.213350
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,18,     758.004880
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,19,     744.532170
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,20,     745.063769
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,21,     741.799000
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,22,     745.899452
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,23,     742.269822
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,24,     788.871138
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,25,     741.591296
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,26,     746.779052
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,27,     758.008674
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,28,     699.292589
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,29,     694.204651
