dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,0,    8003.543425
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,1,    7989.943422
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,2,    7967.970376
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,3,    7928.372319
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,4,    7951.132135
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,5,    7918.286755
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,6,    7924.580801
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,7,    7926.543514
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,8,    7928.888332
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,9,    7925.481551
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,10,    7920.156489
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,11,    7926.757488
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,12,    7918.900435
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,13,    7924.738880
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,14,    7925.572952
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,15,    7920.201209
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,16,    7929.237264
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,17,    7916.995593
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,18,    7924.412791
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,19,    7918.202759
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,20,    7923.124315
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,21,    7922.901922
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,22,    7927.589234
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,23,    7922.662386
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,24,    7920.095235
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,25,    7925.843148
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,26,    7923.183435
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,27,    7927.413689
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,28,    7926.872134
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,512,29,    7926.306277
