dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,0,     793.699167
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,1,     597.698831
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,2,     574.760787
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,3,     590.147178
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,4,     592.705465
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,5,     588.502539
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,6,     587.864985
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,7,     599.557197
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,8,     584.609853
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,9,     598.139120
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,10,     587.810536
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,11,     583.880545
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,12,     581.564569
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,13,     589.837973
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,14,     584.839547
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,15,     585.012148
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,16,     590.027814
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,17,     584.325283
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,18,     593.504243
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,19,     599.765367
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,20,     583.004088
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,21,     657.234056
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,22,     591.162248
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,23,     584.357360
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,24,     598.652511
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,25,     591.385908
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,26,     596.123501
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,27,     597.107425
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,28,     600.584898
3,float,uniform,PoisFFT,"P | P | P | P | N | D",48,512,29,     590.221593
